A                : ok                  ay                  Ġrand               all                 Ġuh                 Ġuh                 Ġdo                 Ġyou                Ġhave               Ġany                Ġspecial            Ġinterest           Ġin                 Ġuh                 Ġspace             
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (14.454, 14.667)    (14.667, 15.029)    (15.029, 15.162)    (15.162, 15.342)    (15.342, 15.402)    (15.402, 15.884)    (15.884, 16.339)    (17.047, 17.446)    (17.933, 18.212)    (18.212, 18.726)    (19.235, 19.482)    (19.482, 19.652)    (19.652, 19.762)    (19.762, 20.279)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82397873831937      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġi                  Ġsuspect            Ġa                  Ġlot                Ġof                 Ġpeople             Ġuh                 Ġuh                 Ġgot                Ġuh                 Ġturned             Ġon                 Ġby                 Ġwatching          
Timings          : (14.102, 14.454)    (14.454, 14.667)    (14.667, 15.029)    (15.029, 15.162)    (15.162, 15.342)    (15.342, 15.402)    (15.402, 15.884)    (15.884, 16.339)    (17.047, 17.446)    (17.933, 18.212)    (18.212, 18.726)    (19.235, 19.482)    (19.482, 19.652)    (19.652, 19.762)    (19.762, 20.279)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (20.279, 20.682)    (20.682, 20.942)    (20.942, 21.192)    (21.192, 21.522)    (21.743, 21.895)    (21.895, 22.046)    (-1.0, -1.0)        (22.588, 22.822)    (22.822, 23.45)     (23.693, 24.069)    (-1.0, -1.0)        (24.415, 24.755)    (25.687, 26.129)    (26.739, 26.86)     (26.86, 26.98)     
Token Types      : 0                   0                   0                   0                   3                   3                   3                   0                   0                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82397873831938      82397873831938      82397873831938      0                   0                   82397873831939      82397873831939      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   0                   0                   1                   1                   0                   0                   0                   0                  

B                : Ġwatching           Ġthose              Ġgo                 Ġoff                <emp>               <emp>               Ġuh                 Ġvery               Ġexciting           <emp>               Ġthe                Ġuh                 Ġuh                 Ġi                  've                
Timings          : (20.279, 20.682)    (20.682, 20.942)    (20.942, 21.192)    (21.192, 21.522)    (21.743, 21.895)    (21.895, 22.046)    (22.208, 22.588)    (22.588, 22.822)    (22.822, 23.45)     (23.693, 24.069)    (24.212, 24.415)    (24.415, 24.755)    (25.687, 26.129)    (26.739, 26.86)     (26.86, 26.98)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (26.98, 27.321)     (27.6, 27.685)      (27.685, 27.771)    (27.771, 28.24)     (28.24, 28.617)     (29.378, 29.836)    (30.035, 30.451)    (30.451, 30.74)     (30.74, 31.144)     (31.694, 32.095)    (32.333, 32.635)    (32.635, 33.116)    (33.61, 33.701)     (33.701, 34.19)     (34.19, 34.681)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġalways             Ġi                  've                 Ġalways             Ġuh                 Ġwanted             Ġwanted             Ġvery               Ġmuch               Ġuh                 Ġto                 Ġuh                 Ġbe                 Ġsomehow            Ġinvolved          
Timings          : (26.98, 27.321)     (27.6, 27.685)      (27.685, 27.771)    (27.771, 28.24)     (28.24, 28.617)     (29.378, 29.836)    (30.035, 30.451)    (30.451, 30.74)     (30.74, 31.144)     (31.694, 32.095)    (32.333, 32.635)    (32.635, 33.116)    (33.61, 33.701)     (33.701, 34.19)     (34.19, 34.681)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (34.681, 34.771)    (34.771, 34.931)    (34.931, 35.373)    (35.638, 35.777)    (35.777, 35.915)    (-1.0, -1.0)        (36.395, 36.785)    (37.293, 37.655)    (37.655, 37.929)    (38.057, 38.305)    (38.305, 38.645)    (38.645, 38.765)    (38.765, 38.865)    (38.865, 39.265)    (39.265, 39.465)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82397873831940      82397873831940      82397873831940      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġall                Ġthat               <emp>               <emp>               Ġand                Ġuh                 Ġto                 Ġuh                 Ġmeet               Ġand                Ġand                Ġto                 Ġsee                Ġsee               
Timings          : (34.681, 34.771)    (34.771, 34.931)    (34.931, 35.373)    (35.638, 35.777)    (35.777, 35.915)    (35.925, 36.395)    (36.395, 36.785)    (37.293, 37.655)    (37.655, 37.929)    (38.057, 38.305)    (38.305, 38.645)    (38.645, 38.765)    (38.765, 38.865)    (38.865, 39.265)    (39.265, 39.465)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.465, 39.555)    (39.555, 39.815)    (39.815, 40.115)    (40.115, 40.217)    (40.662, 40.845)    (40.845, 40.95)     (40.95, 41.055)     (41.055, 41.335)    (41.335, 41.695)    (42.109, 42.175)    (42.175, 42.445)    (42.445, 42.785)    (42.785, 42.875)    (42.875, 43.045)    (43.045, 43.275)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġit                 Ġactually           Ġhappen             Ġof                 Ġcourse             Ġi                  've                 Ġreally             Ġwanted             Ġto                 Ġactually           Ġmanage             Ġto                 Ġget                Ġinto              
Timings          : (39.465, 39.555)    (39.555, 39.815)    (39.815, 40.115)    (40.115, 40.217)    (40.662, 40.845)    (40.845, 40.95)     (40.95, 41.055)     (41.055, 41.335)    (41.335, 41.695)    (42.109, 42.175)    (42.175, 42.445)    (42.445, 42.785)    (42.785, 42.875)    (42.875, 43.045)    (43.045, 43.275)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwhat              
Timings          : (43.275, 43.605)    (43.605, 44.163)    (44.337, 44.489)    (44.489, 44.641)    (-1.0, -1.0)        (45.026, 45.206)    (45.206, 45.386)    (45.386, 45.706)    (45.706, 45.936)    (45.936, 46.326)    (46.326, 46.416)    (46.416, 46.566)    (46.566, 46.926)    (46.926, 47.75)     (48.49, 48.623)    
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   82397873831941      82397873831941      82397873831941      0                   0                   0                   0                   0                   0                   0                   0                   0                   82395726348290     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġspace              Ġsomeday            <emp>               <emp>               Ġbut                Ġuh                 Ġthat               Ġseems              Ġrather             Ġunlikely           Ġat                 Ġthis               Ġpoint              Ġunfortunately      <eot>              
Timings          : (43.275, 43.605)    (43.605, 44.163)    (44.337, 44.489)    (44.489, 44.641)    (44.753, 45.026)    (45.026, 45.206)    (45.206, 45.386)    (45.386, 45.706)    (45.706, 45.936)    (45.936, 46.326)    (46.326, 46.416)    (46.416, 46.566)    (46.566, 46.926)    (46.926, 47.75)     (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201      82396263219201     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġdo                 Ġyou                Ġdo                 Ġnow                <eot>               <emp>               <emp>               Ġoh                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.623, 48.693)    (48.693, 48.803)    (48.803, 48.974)    (48.974, 49.247)    (-1.0, -1.0)        (49.778, 50.188)    (50.188, 50.817)    (50.992, 51.279)    (-1.0, -1.0)        (52.254, 52.414)    (52.414, 52.544)    (52.544, 52.624)    (52.624, 52.804)    (52.804, 52.944)    (52.944, 53.043)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82395726348290      82395726348290      82395726348290      82395726348290      82395726348290      0                   0                   82397873831943      82397873831943      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġcomputer           Ġprogrammer         <emp>               Ġunfortunately      Ġthat               Ġcan                Ġbe                 Ġdone               Ġfrom               Ġthe               
Timings          : (48.623, 48.693)    (48.693, 48.803)    (48.803, 48.974)    (48.974, 49.247)    (49.629, 49.778)    (49.778, 50.188)    (50.188, 50.817)    (50.992, 51.279)    (51.669, 52.254)    (52.254, 52.414)    (52.414, 52.544)    (52.544, 52.624)    (52.624, 52.804)    (52.804, 52.944)    (52.944, 53.043)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203      82396263219203     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               Ġto                 Ġbad                Ġuh                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (53.043, 53.582)    (53.475, 55.45)     (55.543, 55.668)    (55.668, 55.958)    (55.958, 56.104)    (-1.0, -1.0)        (57.379, 57.625)    (57.625, 57.724)    (57.724, 58.159)    (58.159, 58.576)    (58.851, 59.204)    (59.204, 59.494)    (59.494, 59.595)    (59.595, 59.724)    (59.724, 59.875)   
Token Types      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82395726348292      82395726348292      82395726348292      82395726348292      82395726348292      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġground             <eot>               <emp>               <emp>               <emp>               Ġyeah               Ġmade               Ġthe                Ġwrong              Ġwrong              Ġcareer             Ġchoice             Ġto                 Ġget                Ġup                
Timings          : (53.043, 53.582)    (-1.0, -1.0)        (55.543, 55.668)    (55.668, 55.958)    (55.958, 56.104)    (56.229, 56.942)    (57.379, 57.625)    (57.625, 57.724)    (57.724, 58.159)    (58.159, 58.576)    (58.851, 59.204)    (59.204, 59.494)    (59.494, 59.595)    (59.595, 59.724)    (59.724, 59.875)   
Token Types      : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82396263219203      82396263219203      0                   0                   0                   82396263219205      82396263219205      82396263219205      82396263219205      82396263219205      82396263219205      82396263219205      82396263219205      82396263219205      82396263219205     
turn_end_types   : 1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (59.875, 60.105)    (60.105, 60.597)    (62.187, 62.368)    (62.368, 62.678)    (63.582, 64.032)    (65.275, 65.375)    (65.375, 65.575)    (65.575, 65.725)    (65.725, 65.995)    (65.995, 66.085)    (66.085, 66.155)    (66.155, 66.345)    (66.345, 66.505)    (66.505, 66.565)    (66.565, 66.685)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġinto               Ġspace              Ġthe                Ġuh                 Ġuh                 Ġi                  Ġused               Ġto                 Ġthink              Ġwhen               Ġi                  Ġwas                Ġwhen               Ġi                  Ġwas               
Timings          : (59.875, 60.105)    (60.105, 60.597)    (62.187, 62.368)    (62.368, 62.678)    (63.582, 64.032)    (65.275, 65.375)    (65.375, 65.575)    (65.575, 65.725)    (65.725, 65.995)    (65.995, 66.085)    (66.085, 66.155)    (66.155, 66.345)    (66.345, 66.505)    (66.505, 66.565)    (66.565, 66.685)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
