A                : what                Ġdo                 Ġyou                Ġthink              Ġabout              Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.476, 4.636)      (4.636, 4.786)      (4.786, 5.086)      (5.086, 5.566)      (5.859, 6.179)      (6.179, 6.398)      (6.398, 6.808)      (6.808, 6.929)      (6.929, 7.069)      (7.069, 7.328)      (7.328, 7.679)      (-1.0, -1.0)        (9.695, 9.805)      (9.805, 10.045)     (10.045, 10.305)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82481625694210      82481625694210      82481625694210      82481625694210      82481625694210      82481625694210      82481625694210      82481625694210      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġit                 Ġfor                Ġcertain            Ġcrimes             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġthink              Ġfirst             
Timings          : (4.476, 4.636)      (4.636, 4.786)      (4.786, 5.086)      (5.086, 5.566)      (-1.0, -1.0)        (6.179, 6.398)      (6.398, 6.808)      (6.808, 6.929)      (6.929, 7.069)      (7.069, 7.328)      (7.328, 7.679)      (8.049, 8.439)      (9.695, 9.805)      (9.805, 10.045)     (10.045, 10.305)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 82482162565121      82482162565121      82482162565121      82482162565121      82482162565121      0                   0                   0                   0                   0                   0                   82482162565123      82482162565123      82482162565123      82482162565123     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġbecause            Ġmost               Ġso                 Ġmany               Ġtimes              Ġthat               's                  Ġso                
Timings          : (10.305, 10.575)    (10.575, 11.063)    (11.498, 12.325)    (13.286, 14.246)    (14.246, 14.806)    (14.806, 15.126)    (15.575, 16.072)    (16.209, 16.455)    (16.455, 16.775)    (16.775, 16.945)    (16.945, 17.155)    (17.155, 17.505)    (17.505, 17.625)    (17.625, 17.745)    (17.745, 17.915)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġdegree             Ġmurder             Ġum                 Ġprobably           Ġwarrants           Ġit                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.305, 10.575)    (10.575, 11.063)    (11.498, 12.325)    (13.286, 14.246)    (14.246, 14.806)    (14.806, 15.126)    (-1.0, -1.0)        (16.209, 16.455)    (16.455, 16.775)    (16.775, 16.945)    (16.945, 17.155)    (17.155, 17.505)    (17.505, 17.625)    (17.625, 17.745)    (17.745, 17.915)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82482162565123      82482162565123      82482162565123      82482162565123      82482162565123      82482162565123      82482162565123      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbrutal             Ġand                Ġjust               Ġrecurrent          <emp>               Ġfel                ons                 Ġi                  Ġthink              Ġshould             Ġalso               <eot>               <emp>               <emp>               <emp>              
Timings          : (17.915, 18.415)    (18.415, 18.625)    (18.625, 18.825)    (18.825, 19.488)    (20.049, 20.459)    (20.51, 20.79)      (20.79, 21.07)      (21.07, 21.21)      (21.21, 21.82)      (21.82, 22.12)      (22.12, 22.846)     (-1.0, -1.0)        (23.327, 23.737)    (23.737, 24.167)    (24.167, 24.428)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      82481625694212      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               right               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġexactly            Ġrecurrent          Ġcrimes             Ġlike              
Timings          : (17.915, 18.415)    (18.415, 18.625)    (18.625, 18.825)    (18.825, 19.488)    (20.049, 20.459)    (-1.0, -1.0)        (20.79, 21.07)      (21.07, 21.21)      (21.21, 21.82)      (21.82, 22.12)      (22.12, 22.846)     (22.747, 23.327)    (23.327, 23.737)    (23.737, 24.167)    (24.167, 24.428)   
Token Types      : 0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   82484310048770      82484310048770      0                   0                   0                   0                   0                   82482162565125      82482162565125      82482162565125      82482162565125     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (24.583, 25.087)    (25.087, 25.527)    (25.527, 25.617)    (25.617, 26.007)    (26.007, 26.697)    (26.697, 27.057)    (26.887, 27.487)    (-1.0, -1.0)        (28.389, 28.599)    (28.599, 28.769)    (28.769, 28.819)    (28.819, 29.179)    (29.179, 29.299)    (29.299, 29.839)    (30.381, 30.649)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82483773177859      82483773177859      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġserial             Ġrapists            Ġor                 Ġserial             Ġmurderers          Ġor                 Ġwhatever           Ġi                  Ġcome               Ġfrom               Ġa                  Ġstate              Ġthat               Ġhas                Ġwell              
Timings          : (24.583, 25.087)    (25.087, 25.527)    (25.527, 25.617)    (25.617, 26.007)    (26.007, 26.697)    (26.697, 27.057)    (27.057, 27.587)    (28.319, 28.389)    (28.389, 28.599)    (28.599, 28.769)    (28.769, 28.819)    (28.819, 29.179)    (29.179, 29.299)    (29.299, 29.839)    (30.381, 30.649)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (30.649, 30.689)    (30.689, 31.109)    (31.109, 31.279)    (31.279, 31.459)    (31.459, 31.499)    (31.499, 31.799)    (31.799, 31.939)    (31.939, 32.38)     (32.38, 32.759)     (33.971, 34.071)    (34.071, 34.281)    (34.281, 34.601)    (34.601, 34.671)    (34.671, 34.851)    (34.851, 35.001)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġoriginally         Ġcome               Ġfrom               Ġa                  Ġstate              Ġthat               Ġhas                Ġuh                 Ġthe                Ġdeath              Ġpenalty            Ġi                  Ġcome               Ġfrom              
Timings          : (30.649, 30.689)    (30.689, 31.109)    (31.109, 31.279)    (31.279, 31.459)    (31.459, 31.499)    (31.499, 31.799)    (31.799, 31.939)    (31.939, 32.38)     (32.38, 32.759)     (33.971, 34.071)    (34.071, 34.281)    (34.281, 34.601)    (34.601, 34.671)    (34.671, 34.851)    (34.851, 35.001)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.001, 35.245)    (35.245, 35.49)     (35.49, 35.734)     (35.793, 35.935)    (35.935, 36.077)    (36.077, 36.218)    (-1.0, -1.0)        (36.761, 37.17)     (37.968, 38.039)    (38.039, 38.111)    (38.111, 38.341)    (38.341, 38.751)    (38.751, 38.881)    (38.881, 39.001)    (39.001, 39.101)   
Token Types      : 0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82483773177860      82483773177860      82483773177860      82483773177860      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfl                 or                  ida                 <emp>               <emp>               <emp>               Ġand                Ġuh                 Ġthey               're                 Ġpretty             Ġliberal            Ġon                 Ġit                 Ġthey              
Timings          : (35.001, 35.245)    (35.245, 35.49)     (35.49, 35.734)     (35.793, 35.935)    (35.935, 36.077)    (36.077, 36.218)    (36.269, 36.761)    (36.761, 37.17)     (37.968, 38.039)    (38.039, 38.111)    (38.111, 38.341)    (38.341, 38.751)    (38.751, 38.881)    (38.881, 39.001)    (39.001, 39.101)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                Ġthat               's                  Ġa                  <eint>              <emp>               Ġgo                
Timings          : (39.101, 39.341)    (39.341, 39.401)    (39.401, 39.621)    (39.771, 40.011)    (40.011, 40.331)    (40.331, 40.561)    (40.561, 40.661)    (40.661, 41.055)    (41.265, 41.745)    (41.745, 41.855)    (41.855, 41.965)    (41.965, 42.174)    (-1.0, -1.0)        (42.951, 43.191)    (43.298, 43.388)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82485920661509      82485920661509      82485920661509      82485920661509      82485920661509      0                   82481625694214     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                  

B                : Ġtend               Ġto                 Ġlike               Ġfry                Ġpeople             Ġleft               Ġand                Ġright              <emp>               Ġwhich              <emp>               <emp>               Ġgo                 Ġahead              <yield>            
Timings          : (39.101, 39.341)    (39.341, 39.401)    (39.401, 39.621)    (39.771, 40.011)    (40.011, 40.331)    (40.331, 40.561)    (40.561, 40.661)    (40.661, 41.055)    (41.265, 41.745)    (41.755, 42.217)    (41.855, 41.965)    (41.965, 42.174)    (42.798, 42.951)    (42.951, 43.191)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125      82482162565125     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġahead              Ġtex                as                  Ġis                 Ġtoo                Ġtex                as                  Ġi                  Ġsaw                Ġon                 Ġtv                 Ġthe                Ġother              Ġnight              Ġis                
Timings          : (43.388, 43.588)    (43.848, 44.038)    (44.038, 44.228)    (44.228, 44.408)    (44.408, 44.808)    (44.808, 45.103)    (45.103, 45.398)    (45.398, 45.578)    (45.578, 45.738)    (45.738, 45.878)    (45.878, 46.268)    (46.268, 46.328)    (46.328, 46.448)    (46.448, 46.897)    (46.897, 47.188)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (43.388, 43.588)    (43.848, 44.038)    (44.038, 44.228)    (44.228, 44.408)    (44.408, 44.808)    (44.808, 45.103)    (45.103, 45.398)    (45.398, 45.578)    (45.578, 45.738)    (45.738, 45.878)    (45.878, 46.268)    (46.268, 46.328)    (46.328, 46.448)    (46.448, 46.897)    (46.897, 47.188)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġhas                Ġhad                Ġforty              Ġsix                Ġin                 Ġlike               Ġthe                Ġpast               Ġseveral            Ġyears              <emp>               Ġso                 Ġthey               're                
Timings          : (47.188, 47.537)    (47.763, 48.058)    (48.058, 48.378)    (48.378, 48.698)    (48.698, 49.188)    (49.188, 49.298)    (49.298, 49.508)    (49.508, 49.578)    (49.578, 49.938)    (49.938, 50.228)    (50.228, 50.741)    (50.967, 51.297)    (51.726, 51.946)    (51.946, 52.026)    (52.026, 52.106)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>              
Timings          : (47.188, 47.537)    (47.763, 48.058)    (48.058, 48.378)    (48.378, 48.698)    (48.698, 49.188)    (49.188, 49.298)    (49.298, 49.508)    (49.508, 49.578)    (49.578, 49.938)    (49.938, 50.228)    (50.228, 50.741)    (50.967, 51.297)    (-1.0, -1.0)        (51.946, 52.026)    (52.026, 52.106)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82484310048772      82484310048772      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                  


A                : Ġpretty             Ġhip                Ġon                 Ġit                 Ġtoo                Ġi                  Ġguess              Ġthey               Ġdo                 Ġit                 Ġby                 Ġlethal             Ġinjection          Ġat                 Ġhunts             
Timings          : (52.106, 52.659)    (53.788, 54.006)    (54.006, 54.166)    (54.166, 54.306)    (54.306, 54.496)    (54.496, 54.606)    (54.606, 54.976)    (54.976, 55.146)    (55.146, 55.256)    (55.256, 55.396)    (55.396, 55.516)    (55.516, 55.976)    (55.976, 56.695)    (56.846, 56.986)    (56.986, 57.347)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214      82481625694214     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah              
Timings          : (52.106, 52.659)    (53.788, 54.006)    (54.006, 54.166)    (54.166, 54.306)    (54.306, 54.496)    (54.496, 54.606)    (54.606, 54.976)    (54.976, 55.146)    (55.146, 55.256)    (55.256, 55.396)    (55.396, 55.516)    (55.516, 55.976)    (55.976, 56.695)    (56.846, 56.986)    (56.946, 57.384)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82485383790599     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : ville               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (57.347, 57.708)    (-1.0, -1.0)        (58.028, 58.246)    (58.365, 58.498)    (58.498, 58.632)    (58.632, 58.765)    (58.765, 58.995)    (58.995, 59.305)    (59.305, 59.625)    (59.625, 59.985)    (60.148, 60.548)    (-1.0, -1.0)        (61.404, 61.517)    (61.517, 61.637)    (61.637, 61.757)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 82481625694214      82481625694214      0                   0                   0                   0                   0                   0                   0                   0                   82483773177862      82483773177862      0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : Ġokay               Ġi                  Ġthink              Ġfl                 or                  ida                 Ġstill              Ġuses               Ġelectric           Ġchair              <emp>               Ġum                 Ġi                  Ġdon                't                 
Timings          : (57.384, 57.889)    (57.889, 58.028)    (58.028, 58.246)    (58.365, 58.498)    (58.498, 58.632)    (58.632, 58.765)    (58.765, 58.995)    (58.995, 59.305)    (59.305, 59.625)    (59.625, 59.985)    (60.148, 60.548)    (60.817, 61.223)    (61.404, 61.517)    (61.517, 61.637)    (61.637, 61.757)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
