A                : ok                  ay                  Ġum                 Ġi                  'm                  Ġi                  'm                  Ġnot                Ġto                 Ġfamiliar           Ġwith               Ġthe                Ġtopic              Ġbecause            Ġuh                
Timings          : (-1.0, -1.0)        (16.876, 17.352)    (17.352, 17.792)    (17.792, 18.244)    (19.443, 19.917)    (19.917, 20.056)    (20.056, 20.586)    (20.586, 20.686)    (20.686, 20.871)    (20.871, 21.014)    (21.014, 21.126)    (21.126, 21.376)    (21.376, 21.516)    (21.516, 21.596)    (21.596, 21.726)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550882041857      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbe                 Ġleft               Ġup                 Ġto                 Ġthe                Ġjudge              Ġor                 Ġtrial              Ġby                 Ġjury               Ġor                 Ġto                 Ġthe                Ġpeople             Ġthat              
Timings          : (21.726, 21.866)    (21.866, 22.116)    (22.116, 22.206)    (22.206, 22.366)    (22.366, 22.456)    (22.456, 23.151)    (23.482, 23.606)    (23.606, 24.046)    (24.046, 24.216)    (24.216, 24.838)    (24.838, 24.985)    (24.985, 25.126)    (25.126, 25.247)    (25.247, 25.729)    (25.729, 25.966)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946      82550345170946     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.726, 21.866)    (21.866, 22.116)    (22.116, 22.206)    (22.206, 22.366)    (22.366, 22.456)    (22.456, 23.151)    (23.482, 23.606)    (23.606, 24.046)    (24.046, 24.216)    (24.216, 24.838)    (24.838, 24.985)    (24.985, 25.126)    (25.126, 25.247)    (25.247, 25.729)    (25.729, 25.966)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġkind               Ġof                 Ġthing              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.966, 26.176)    (26.176, 26.236)    (26.236, 26.606)    (-1.0, -1.0)        (26.887, 27.034)    (27.034, 27.239)    (27.239, 27.365)    (27.365, 27.491)    (27.491, 28.084)    (28.389, 28.521)    (28.521, 28.689)    (28.689, 28.819)    (28.819, 29.049)    (29.049, 29.159)    (29.159, 29.769)   
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550345170946      82550345170946      82550345170946      82550345170946      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġthink              Ġit                 's                  Ġuh                 Ġthe                Ġway                Ġit                 Ġis                 Ġis                 Ġprobably          
Timings          : (25.966, 26.176)    (26.176, 26.236)    (26.236, 26.606)    (26.603, 26.887)    (26.887, 27.034)    (27.034, 27.239)    (27.239, 27.365)    (27.365, 27.491)    (27.491, 28.084)    (28.389, 28.521)    (28.521, 28.689)    (28.689, 28.819)    (28.819, 29.049)    (29.049, 29.159)    (29.159, 29.769)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.769, 30.056)    (31.43, 31.741)     (31.741, 32.081)    (32.081, 32.211)    (32.211, 32.561)    (32.561, 32.661)    (32.661, 32.929)    (32.929, 33.242)    (33.449, 33.531)    (33.531, 33.771)    (33.771, 34.021)    (34.021, 34.111)    (34.111, 34.271)    (34.271, 34.67)     (35.069, 35.191)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġpretty             Ġgood               Ġas                 Ġfar                Ġas                 Ġthe                Ġuh                 Ġyou                Ġknow               Ġsome               Ġof                 Ġthem               Ġare                Ġi                 
Timings          : (29.769, 30.056)    (31.43, 31.741)     (31.741, 32.081)    (32.081, 32.211)    (32.211, 32.561)    (32.561, 32.661)    (32.661, 32.929)    (32.929, 33.242)    (33.449, 33.531)    (33.531, 33.771)    (33.771, 34.021)    (34.021, 34.111)    (34.111, 34.271)    (34.271, 34.67)     (35.069, 35.191)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.191, 35.561)    (35.561, 35.861)    (35.861, 36.181)    (36.697, 36.807)    (36.807, 37.331)    (37.331, 37.581)    (37.581, 37.727)    (38.837, 39.255)    (39.255, 39.486)    (39.486, 40.043)    (40.585, 40.896)    (40.896, 41.067)    (41.067, 41.507)    (41.507, 41.676)    (41.676, 41.802)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbelieve            Ġyou                Ġuh                 Ġthe                Ġdefendant          Ġhas                Ġa                  Ġchance             Ġto                 Ġrequest            Ġtrial              Ġby                 Ġjury               Ġif                 Ġthey              
Timings          : (35.191, 35.561)    (35.561, 35.861)    (35.861, 36.181)    (36.697, 36.807)    (36.807, 37.331)    (37.331, 37.581)    (37.581, 37.727)    (38.837, 39.255)    (39.255, 39.486)    (39.486, 40.043)    (40.585, 40.896)    (40.896, 41.067)    (41.067, 41.507)    (41.507, 41.676)    (41.676, 41.802)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               yeah                <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (41.802, 42.217)    (43.143, 43.562)    (-1.0, -1.0)        (44.144, 44.268)    (44.268, 44.572)    (44.572, 44.863)    (46.57, 46.723)     (46.723, 46.904)    (46.904, 47.074)    (47.074, 47.314)    (47.314, 47.734)    (47.734, 47.884)    (47.884, 48.064)    (48.064, 48.174)    (48.174, 48.274)   
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82552492654594      82552492654594      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwant               <emp>               Ġand                Ġi                  Ġguess              Ġuh                 Ġand                Ġthere              Ġare                Ġsome               Ġcases              Ġthat               Ġgo                 Ġto                 Ġthe               
Timings          : (41.802, 42.217)    (43.143, 43.562)    (43.993, 44.144)    (44.144, 44.268)    (44.268, 44.572)    (44.572, 44.863)    (46.57, 46.723)     (46.723, 46.904)    (46.904, 47.074)    (47.074, 47.314)    (47.314, 47.734)    (47.734, 47.884)    (47.884, 48.064)    (48.064, 48.174)    (48.174, 48.274)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859      82550882041859     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 Ġand                Ġi                  Ġthink              Ġthe                Ġtopic              Ġwas                Ġlike               Ġum                 Ġshould             Ġit                 Ġbe                 Ġthat               Ġway               
Timings          : (48.274, 48.914)    (49.884, 50.322)    (50.619, 50.851)    (50.851, 50.998)    (50.998, 51.246)    (51.246, 51.306)    (51.306, 51.657)    (51.657, 52.154)    (53.118, 53.506)    (53.506, 53.804)    (53.804, 54.124)    (54.124, 54.304)    (54.304, 54.544)    (54.544, 54.841)    (54.841, 55.47)    
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġjudge              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.274, 48.914)    (-1.0, -1.0)        (50.619, 50.851)    (50.851, 50.998)    (50.998, 51.246)    (51.246, 51.306)    (51.306, 51.657)    (51.657, 52.154)    (53.118, 53.506)    (53.506, 53.804)    (53.804, 54.124)    (54.124, 54.304)    (54.304, 54.544)    (54.544, 54.841)    (54.841, 55.47)    
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82550882041859      82550882041859      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġor                 Ġshould             Ġit                 Ġbe                 Ġum                 Ġup                 Ġto                 Ġthe                Ġpeople             Ġor                 Ġum                 <eot>               Ġi                  Ġthink              <eint>             
Timings          : (55.47, 55.994)     (55.994, 56.374)    (56.374, 56.544)    (56.544, 57.12)     (58.019, 58.805)    (59.712, 59.979)    (59.979, 60.146)    (60.146, 60.29)     (60.29, 61.296)     (61.296, 61.653)    (62.626, 63.121)    (-1.0, -1.0)        (64.477, 64.596)    (64.596, 64.847)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   5                   5                   5                  
turn_ids         : 82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82550345170948      82554640138245      82554640138245      82554640138245     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġuh                
Timings          : (55.47, 55.994)     (55.994, 56.374)    (56.374, 56.544)    (56.544, 57.12)     (58.019, 58.805)    (59.712, 59.979)    (59.979, 60.146)    (60.146, 60.29)     (60.29, 61.296)     (61.296, 61.653)    (62.626, 63.121)    (-1.0, -1.0)        (64.36, 64.698)     (64.698, 64.909)    (64.909, 65.147)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
