A                : why                 Ġdon                't                  Ġyou                Ġgo                 Ġahead              Ġand                Ġstart              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġconv               icts                Ġa                  Ġperson             Ġwhich              Ġi                  Ġdon                't                  Ġthink              Ġis                 Ġall                Ġthe                Ġtime               Ġgood              
Timings          : (17.988, 18.327)    (18.327, 18.582)    (18.582, 18.837)    (18.837, 18.907)    (18.907, 19.457)    (20.267, 20.427)    (20.427, 20.617)    (20.617, 20.752)    (20.752, 20.887)    (20.887, 21.227)    (21.227, 21.387)    (21.387, 21.687)    (21.687, 21.797)    (21.797, 22.217)    (22.217, 22.597)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (22.597, 23.171)    (23.791, 24.402)    (24.402, 24.472)    (24.472, 24.542)    (24.542, 24.812)    (24.812, 24.892)    (24.892, 25.072)    (25.072, 25.342)    (25.342, 25.442)    (25.442, 25.992)    (26.172, 26.312)    (26.312, 26.382)    (26.382, 26.732)    (26.732, 26.832)    (26.832, 27.312)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbecause            Ġsometimes          Ġit                 's                  Ġhard               Ġto                 Ġget                Ġall                Ġthe                Ġfacts              Ġand                Ġto                 Ġprove              Ġa                  Ġperson            
Timings          : (22.597, 23.171)    (23.791, 24.402)    (24.402, 24.472)    (24.472, 24.542)    (24.542, 24.812)    (24.812, 24.892)    (24.892, 25.072)    (25.072, 25.342)    (25.342, 25.442)    (25.442, 25.992)    (26.172, 26.312)    (26.312, 26.382)    (26.382, 26.732)    (26.732, 26.832)    (26.832, 27.312)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.312, 27.81)     (29.051, 29.24)     (29.24, 29.423)     (29.423, 29.831)    (29.831, 29.921)    (29.921, 30.241)    (30.241, 30.878)    (31.277, 31.791)    (32.011, 32.251)    (32.251, 32.391)    (32.391, 32.531)    (32.531, 32.831)    (32.831, 33.401)    (33.401, 33.561)    (33.561, 33.731)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġinnocent           Ġi                  Ġmean               Ġprove              Ġa                  Ġperson             Ġguilty             Ġif                 Ġyou                Ġdon                't                  Ġreally             Ġknow               Ġor                 Ġyou               
Timings          : (27.312, 27.81)     (29.051, 29.24)     (29.24, 29.423)     (29.423, 29.831)    (29.831, 29.921)    (29.921, 30.241)    (30.241, 30.878)    (31.277, 31.791)    (32.011, 32.251)    (32.251, 32.391)    (32.391, 32.531)    (32.531, 32.831)    (32.831, 33.401)    (33.401, 33.561)    (33.561, 33.731)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.731, 33.856)    (33.856, 33.981)    (33.981, 34.221)    (34.221, 34.42)     (34.42, 34.499)     (34.499, 35.371)    (36.161, 36.331)    (36.331, 36.511)    (36.511, 36.961)    (36.961, 37.269)    (37.39, 37.801)     (37.801, 38.291)    (38.291, 38.741)    (38.741, 38.998)    (38.998, 39.254)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdon                't                  Ġreally             Ġhave               Ġa                  Ġeyewitness         Ġand                Ġhow                Ġcan                Ġyou                Ġconvict            Ġsomebody           Ġon                 Ġcircumst           ant                
Timings          : (33.731, 33.856)    (33.856, 33.981)    (33.981, 34.221)    (34.221, 34.42)     (34.42, 34.499)     (34.499, 35.371)    (36.161, 36.331)    (36.331, 36.511)    (36.511, 36.961)    (36.961, 37.269)    (37.39, 37.801)     (37.801, 38.291)    (38.291, 38.741)    (38.741, 38.998)    (38.998, 39.254)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġyou                Ġthink              Ġif                 Ġif                 Ġtrials            
Timings          : (39.254, 39.511)    (39.511, 40.811)    (40.811, 40.891)    (40.891, 41.371)    (41.371, 41.631)    (41.631, 41.731)    (41.731, 41.841)    (41.841, 41.951)    (41.951, 42.287)    (42.727, 42.827)    (42.827, 42.897)    (42.897, 43.127)    (43.127, 43.357)    (43.517, 43.699)    (44.057, 44.397)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : ial                 Ġevidence           Ġis                 Ġbeyond             Ġme                 Ġi                  Ġdon                't                  Ġknow               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.254, 39.511)    (39.511, 40.811)    (40.811, 40.891)    (40.891, 41.371)    (41.371, 41.631)    (41.631, 41.731)    (41.731, 41.841)    (41.841, 41.951)    (41.951, 42.287)    (-1.0, -1.0)        (42.827, 42.897)    (42.897, 43.127)    (43.127, 43.357)    (43.517, 43.699)    (44.057, 44.397)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      80386218524673      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġwere               Ġheld               Ġby                 Ġjudges             Ġor                 Ġexperts            Ġthat               Ġthey               Ġthey               Ġwould              Ġtend               Ġnot                Ġto                 Ġuh                 Ġadmit             
Timings          : (44.397, 44.577)    (44.577, 44.817)    (44.817, 45.007)    (45.007, 45.487)    (45.487, 45.607)    (45.607, 46.137)    (46.137, 46.337)    (46.337, 46.677)    (46.956, 47.037)    (47.037, 47.207)    (47.207, 47.427)    (47.427, 47.617)    (47.617, 47.78)     (48.42, 48.693)     (48.693, 49.04)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (44.397, 44.577)    (44.577, 44.817)    (44.817, 45.007)    (45.007, 45.487)    (45.487, 45.607)    (45.607, 46.137)    (46.137, 46.337)    (46.337, 46.677)    (46.956, 47.037)    (47.037, 47.207)    (47.207, 47.427)    (47.427, 47.617)    (47.617, 47.78)     (48.42, 48.693)     (48.693, 49.04)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġor                 Ġnot                Ġto                 Ġconvict            Ġpeople             Ġon                 Ġcircumst           ant                 ial                 Ġevidence           <eot>               <emp>               <emp>               Ġyou                Ġknow              
Timings          : (49.477, 49.577)    (49.577, 49.807)    (49.807, 49.897)    (49.897, 50.247)    (50.247, 50.507)    (50.507, 50.607)    (50.607, 50.82)     (50.82, 51.034)     (51.034, 51.247)    (51.247, 51.557)    (-1.0, -1.0)        (52.28, 52.521)     (52.521, 53.021)    (53.347, 53.46)     (53.46, 53.54)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                  
turn_ids         : 80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      80385681653762      0                   0                   80385681653764      80385681653764     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġthink              Ġso                 <eot>               <emp>              
Timings          : (49.477, 49.577)    (49.577, 49.807)    (49.807, 49.897)    (49.897, 50.247)    (50.247, 50.507)    (50.507, 50.607)    (50.607, 50.82)     (50.82, 51.034)     (51.034, 51.247)    (51.247, 51.557)    (52.152, 52.28)     (52.28, 52.521)     (52.521, 53.021)    (-1.0, -1.0)        (53.46, 53.54)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80386218524675      80386218524675      80386218524675      80386218524675      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                  


A                : Ġi                  Ġi                  Ġattended           Ġa                  Ġtrial              Ġin                 Ġuh                 Ġin                 Ġg                  erman               y                   Ġwhen               Ġi                  Ġwas                Ġa                 
Timings          : (53.54, 53.729)     (55.03, 55.15)      (55.15, 55.54)      (55.54, 55.61)      (55.61, 55.97)      (55.97, 56.15)      (56.15, 56.386)     (57.188, 57.329)    (57.329, 57.443)    (57.443, 57.556)    (57.556, 57.669)    (57.669, 57.81)     (57.81, 57.869)     (57.869, 57.989)    (57.989, 58.06)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (53.54, 53.729)     (55.03, 55.15)      (55.15, 55.54)      (55.54, 55.61)      (55.61, 55.97)      (55.97, 56.15)      (56.15, 56.386)     (57.188, 57.329)    (57.329, 57.443)    (57.443, 57.556)    (57.556, 57.669)    (57.669, 57.81)     (57.81, 57.869)     (57.869, 57.989)    (57.989, 58.06)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġstudent            Ġand                Ġuh                 <emp>               Ġthat               's                  Ġthe                Ġsort               Ġof                 Ġsystem             Ġthey               Ġhave               Ġthe                Ġtrials             Ġare               
Timings          : (58.06, 58.479)     (58.479, 58.729)    (58.729, 58.84)     (59.666, 59.858)    (59.957, 60.074)    (60.074, 60.19)     (60.19, 60.276)     (60.276, 60.516)    (60.516, 60.576)    (60.576, 60.946)    (60.946, 61.099)    (61.099, 61.343)    (61.343, 61.446)    (61.446, 61.886)    (61.886, 61.976)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764      80385681653764     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (58.06, 58.479)     (58.479, 58.729)    (58.729, 58.84)     (59.666, 59.858)    (59.858, 60.051)    (-1.0, -1.0)        (60.19, 60.276)     (60.276, 60.516)    (60.516, 60.576)    (60.576, 60.946)    (60.946, 61.099)    (61.099, 61.343)    (61.343, 61.446)    (61.446, 61.886)    (61.886, 61.976)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
