A                : ok                  ay                  Ġgo                 Ġahead              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (14.15, 14.52)      (14.52, 14.62)      (14.62, 14.9)       (14.9, 15.3)        (15.523, 15.639)    (15.639, 15.756)    (15.756, 15.873)    (-1.0, -1.0)        (16.997, 17.152)    (17.152, 17.307)    (17.307, 17.407)    (17.407, 17.507)    (17.507, 17.717)    (17.717, 17.787)    (17.787, 17.927)   
Token Types      : 0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   82844550430722      82844550430722      82844550430722      82844550430722      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġfunded             Ġat                 Ġcurrent            Ġlevels             <emp>               <emp>               <emp>               Ġum                 Ġthey               're                 Ġthey               're                 Ġgoing              Ġto                 Ġbe                
Timings          : (14.15, 14.52)      (14.52, 14.62)      (14.62, 14.9)       (14.9, 15.3)        (15.523, 15.639)    (15.639, 15.756)    (15.756, 15.873)    (16.427, 16.857)    (16.997, 17.152)    (17.152, 17.307)    (17.307, 17.407)    (17.407, 17.507)    (17.507, 17.717)    (17.717, 17.787)    (17.787, 17.927)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.927, 18.177)    (18.177, 18.207)    (18.207, 18.437)    (18.437, 18.517)    (18.517, 19.017)    (19.017, 19.402)    (19.583, 19.952)    (20.132, 20.197)    (20.197, 20.417)    (20.417, 20.607)    (20.607, 20.687)    (20.687, 20.807)    (21.117, 21.217)    (21.217, 21.417)    (21.417, 21.647)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdoing              Ġa                  Ġlot                Ġof                 Ġinteresting        Ġthings             Ġum                 Ġi                  Ġthink              Ġone                Ġof                 Ġthe                Ġthe                Ġbig                Ġthings            
Timings          : (17.927, 18.177)    (18.177, 18.207)    (18.207, 18.437)    (18.437, 18.517)    (18.517, 19.017)    (19.017, 19.402)    (19.583, 19.952)    (20.132, 20.197)    (20.197, 20.417)    (20.417, 20.607)    (20.607, 20.687)    (20.687, 20.807)    (21.117, 21.217)    (21.217, 21.417)    (21.417, 21.647)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.647, 21.747)    (21.747, 21.837)    (21.837, 21.927)    (21.927, 22.317)    (22.317, 22.527)    (22.527, 22.627)    (22.627, 22.757)    (22.757, 23.047)    (23.047, 23.387)    (23.387, 23.717)    (23.717, 24.047)    (24.861, 25.441)    (26.388, 26.718)    (26.838, 27.168)    (27.168, 27.268)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġhe                 's                  Ġinvolved           Ġwith               Ġis                 Ġthe                Ġmicro              Ġgravity            Ġpayload            s                   Ġand                Ġthat               Ġhas                Ġa                 
Timings          : (21.647, 21.747)    (21.747, 21.837)    (21.837, 21.927)    (21.927, 22.317)    (22.317, 22.527)    (22.527, 22.627)    (22.627, 22.757)    (22.757, 23.047)    (23.047, 23.387)    (23.387, 23.717)    (23.717, 24.047)    (24.861, 25.441)    (26.388, 26.718)    (26.838, 27.168)    (27.168, 27.268)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.268, 27.658)    (27.658, 28.188)    (28.188, 28.398)    (28.398, 28.448)    (28.448, 28.658)    (28.658, 28.758)    (28.758, 29.258)    (29.448, 29.597)    (29.597, 29.789)    (29.789, 30.028)    (30.028, 30.173)    (30.173, 30.318)    (30.318, 30.428)    (30.428, 30.658)    (30.658, 30.828)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdirect             Ġimpact             Ġon                 Ġa                  Ġlot                Ġof                 Ġthings             Ġthat               Ġwe                 Ġreally             Ġcan                't                  Ġdo                 Ġdown               Ġhere              
Timings          : (27.268, 27.658)    (27.658, 28.188)    (28.188, 28.398)    (28.398, 28.448)    (28.448, 28.658)    (28.658, 28.758)    (28.758, 29.258)    (29.448, 29.597)    (29.597, 29.789)    (29.789, 30.028)    (30.028, 30.173)    (30.173, 30.318)    (30.318, 30.428)    (30.428, 30.658)    (30.658, 30.828)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyou                're                 Ġkidding            Ġyeah               <eot>               <emp>              
Timings          : (30.828, 30.978)    (30.978, 31.308)    (31.308, 31.888)    (31.888, 32.118)    (32.118, 32.348)    (32.348, 32.458)    (32.458, 33.148)    (33.148, 33.818)    (34.522, 34.632)    (34.632, 34.712)    (34.712, 34.792)    (34.792, 35.212)    (35.212, 35.552)    (-1.0, -1.0)        (36.288, 36.358)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82842402947074      82842402947074      82842402947074      82842402947074      82842402947074      82842402947074      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                  

B                : Ġon                 Ġearth              Ġincluding          Ġum                 Ġsome               Ġnew                Ġpharmaceutical     Ġtechniques         <eot>               <emp>               <emp>               <emp>               <emp>               Ġso                 Ġyou               
Timings          : (30.828, 30.978)    (30.978, 31.308)    (31.308, 31.888)    (31.888, 32.118)    (32.118, 32.348)    (32.348, 32.458)    (32.458, 33.148)    (33.148, 33.818)    (-1.0, -1.0)        (34.632, 34.712)    (34.712, 34.792)    (34.792, 35.212)    (35.212, 35.552)    (35.728, 36.148)    (36.288, 36.358)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                  
turn_ids         : 82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      82842939817985      0                   0                   0                   0                   82842939817987      82842939817987     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                  


A                : <emp>               <emp>               Ġh                  m                   <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (36.358, 36.65)     (36.774, 36.936)    (36.94, 37.01)      (37.01, 37.08)      (-1.0, -1.0)        (37.203, 37.308)    (37.308, 37.418)    (37.528, 37.688)    (37.688, 37.868)    (37.868, 38.458)    (38.458, 38.658)    (38.658, 38.788)    (38.788, 38.948)    (38.948, 39.671)    (39.976, 40.318)   
Token Types      : 0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82846697914373      82846697914373      82846697914373      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġthere              's                  <emp>               Ġthere              's                  Ġa                  Ġa                  Ġbig                Ġopportunity        Ġfor                Ġus                 Ġto                 Ġexplore            Ġuh                
Timings          : (36.358, 36.65)     (36.774, 36.936)    (36.936, 37.098)    (37.01, 37.08)      (37.098, 37.203)    (37.203, 37.308)    (37.308, 37.418)    (37.528, 37.688)    (37.688, 37.868)    (37.868, 38.458)    (38.458, 38.658)    (38.658, 38.788)    (38.788, 38.948)    (38.948, 39.671)    (39.976, 40.318)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġsure              
Timings          : (40.318, 40.498)    (40.498, 40.768)    (40.768, 40.848)    (40.848, 41.068)    (41.068, 41.158)    (41.158, 41.298)    (41.298, 41.498)    (41.498, 41.588)    (41.588, 41.668)    (41.668, 41.938)    (41.938, 42.308)    (42.308, 42.958)    (43.014, 43.207)    (43.207, 43.4)      (43.852, 44.062)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82842402947076      82842402947076      82842402947076     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġwhat               Ġsorts              Ġof                 Ġthings             Ġyou                Ġcan                Ġdo                 Ġin                 Ġa                  Ġzero               Ġgravity            Ġenvironment        <eot>               <emp>               Ġso                
Timings          : (40.318, 40.498)    (40.498, 40.768)    (40.768, 40.848)    (40.848, 41.068)    (41.068, 41.158)    (41.158, 41.298)    (41.298, 41.498)    (41.498, 41.588)    (41.588, 41.668)    (41.668, 41.938)    (41.938, 42.308)    (42.308, 42.958)    (-1.0, -1.0)        (43.207, 43.4)      (43.645, 44.055)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   4                  
turn_ids         : 82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      82842939817987      0                   82846161043461     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthat               's                 
Timings          : (-1.0, -1.0)        (44.688, 45.075)    (45.075, 45.185)    (45.185, 45.245)    (45.245, 45.305)    (45.305, 45.485)    (45.485, 45.535)    (45.535, 45.695)    (45.695, 45.825)    (45.825, 46.165)    (46.165, 46.375)    (46.375, 46.745)    (46.99, 47.11)      (47.11, 47.24)      (47.24, 47.37)     
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 82842402947076      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82842402947078      82842402947078      82842402947078     
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġi                  Ġsuspect            Ġthat               Ġwe                 'll                 Ġsee                Ġa                  Ġlot                Ġof                 Ġgains              Ġfrom               Ġthat               <eot>               <emp>               <emp>              
Timings          : (44.56, 44.688)     (44.688, 45.075)    (45.075, 45.185)    (45.185, 45.245)    (45.245, 45.305)    (45.305, 45.485)    (45.485, 45.535)    (45.535, 45.695)    (45.695, 45.825)    (45.825, 46.165)    (46.165, 46.375)    (46.375, 46.745)    (-1.0, -1.0)        (47.11, 47.24)      (47.24, 47.37)     
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                  
