A                : now                 Ġum                 Ġwe                 're                 Ġdriving            Ġa                  Ġnineteen           Ġeighty             Ġfive               Ġuh                 Ġbu                 ick                 Ġpark               Ġavenue             Ġthat              
turn_ids         : 81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      81588272496640      0                   0                   0                   0                   81588272496642      81588272496642      81588272496642      81588272496642      81588272496642     
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               you                 Ġmust               Ġhave               Ġa                  Ġfamily             <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.84, 6.96)        (6.96, 7.29)        (7.29, 7.48)        (7.48, 7.56)        (7.56, 8.002)       (8.604, 8.67)       (8.67, 8.89)        (8.89, 9.03)        (9.03, 9.12)        (9.12, 9.709)       (-1.0, -1.0)        (11.537, 11.714)    (11.714, 11.89)     (11.89, 12.42)      (12.42, 12.673)    
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   81588809367553      81588809367553      81588809367553      81588809367553      81588809367553      81588809367553      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġit                 's                  Ġan                 Ġinteresting        Ġcar                Ġwith               Ġall                Ġsorts              Ġof                 Ġproblems           Ġthat               Ġcrop               Ġup                 Ġnow                Ġthat              
Timings          : (12.673, 12.813)    (12.813, 12.953)    (12.953, 13.093)    (13.093, 13.703)    (13.703, 14.103)    (14.103, 14.283)    (14.283, 14.463)    (14.463, 14.793)    (14.793, 14.998)    (15.104, 15.653)    (15.653, 15.823)    (15.823, 16.163)    (16.163, 16.373)    (16.373, 16.543)    (16.543, 16.683)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (12.673, 12.813)    (12.813, 12.953)    (12.953, 13.093)    (13.093, 13.703)    (13.703, 14.103)    (14.103, 14.283)    (14.283, 14.463)    (14.463, 14.793)    (14.793, 14.998)    (15.104, 15.653)    (15.653, 15.823)    (15.823, 16.163)    (16.163, 16.373)    (16.373, 16.543)    (16.543, 16.683)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 's                  Ġin                 Ġit                 's                  Ġseventh            Ġyear               <emp>               <emp>               Ġand                Ġuh                 Ġlike               Ġanytime            Ġanything           Ġhappens           
Timings          : (16.683, 16.808)    (16.808, 16.933)    (16.933, 17.053)    (17.053, 17.188)    (17.188, 17.323)    (17.323, 17.793)    (17.793, 18.212)    (18.458, 18.703)    (18.703, 18.948)    (19.051, 19.959)    (19.959, 20.248)    (20.662, 21.138)    (21.138, 21.698)    (21.698, 22.058)    (22.058, 22.518)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.683, 16.808)    (16.808, 16.933)    (16.933, 17.053)    (17.053, 17.188)    (17.188, 17.323)    (17.323, 17.793)    (17.793, 18.212)    (18.458, 18.703)    (18.703, 18.948)    (-1.0, -1.0)        (19.959, 20.248)    (20.662, 21.138)    (21.138, 21.698)    (21.698, 22.058)    (22.058, 22.518)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81590956851201      81590956851201      81590956851201      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġit                 's                  Ġimmediately        Ġfive               Ġhundred            Ġdollar             Ġrepair             Ġor                 <eot>               <emp>               Ġwhat               Ġhave               Ġyou                Ġso                 Ġi                 
Timings          : (22.518, 22.563)    (22.563, 22.608)    (22.608, 23.118)    (23.118, 23.428)    (23.428, 23.668)    (23.668, 23.958)    (23.958, 24.578)    (24.578, 24.877)    (-1.0, -1.0)        (25.013, 25.179)    (25.642, 25.795)    (25.795, 26.035)    (26.035, 26.215)    (26.215, 26.785)    (27.225, 27.562)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      81588272496642      0                   81588272496644      81588272496644      81588272496644      81588272496644      81588272496644     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġo                  oh                  <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (22.518, 22.563)    (22.563, 22.608)    (22.608, 23.118)    (23.118, 23.428)    (23.428, 23.668)    (23.668, 23.958)    (23.958, 24.578)    (24.578, 24.877)    (24.847, 25.013)    (25.013, 25.179)    (-1.0, -1.0)        (25.795, 26.035)    (26.035, 26.215)    (26.215, 26.785)    (27.225, 27.562)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81588809367555      81588809367555      81588809367555      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġuh                 Ġyou                Ġknow               Ġin                 Ġlooking            Ġfor                Ġthe                Ġnext               Ġcar                Ġthat               Ġwe                 Ġget                Ġhere               Ġwe                 're                
Timings          : (27.562, 27.765)    (27.765, 27.945)    (27.945, 28.135)    (28.135, 28.285)    (28.285, 28.665)    (28.665, 28.855)    (28.855, 28.945)    (28.945, 29.325)    (29.325, 29.783)    (29.783, 30.039)    (30.194, 30.425)    (30.425, 30.675)    (30.675, 31.039)    (31.227, 31.316)    (31.316, 31.405)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.562, 27.765)    (27.765, 27.945)    (27.945, 28.135)    (28.135, 28.285)    (28.285, 28.665)    (28.665, 28.855)    (28.855, 28.945)    (28.945, 29.325)    (29.325, 29.783)    (29.783, 30.039)    (30.194, 30.425)    (30.425, 30.675)    (30.675, 31.039)    (31.227, 31.316)    (31.316, 31.405)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġgonna              Ġlook               Ġfor                Ġsomething          Ġthat               Ġhas                Ġa                  Ġvery               Ġgood               Ġtrack              Ġrecord             Ġthat               <emp>               Ġisn                't                 
Timings          : (31.405, 31.625)    (31.625, 31.815)    (31.815, 31.925)    (31.925, 32.395)    (32.395, 32.565)    (32.565, 32.765)    (32.765, 32.865)    (32.865, 33.165)    (33.165, 33.425)    (33.425, 33.835)    (33.835, 34.215)    (34.215, 34.485)    (34.761, 35.178)    (35.347, 35.444)    (35.444, 35.54)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>              
Timings          : (31.405, 31.625)    (31.625, 31.815)    (31.815, 31.925)    (31.925, 32.395)    (32.395, 32.565)    (32.565, 32.765)    (32.765, 32.865)    (32.865, 33.165)    (33.165, 33.425)    (33.425, 33.835)    (33.835, 34.215)    (34.215, 34.485)    (34.761, 35.178)    (-1.0, -1.0)        (35.444, 35.54)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81590956851203      81590956851203      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : Ġgoing              Ġto                 Ġcost               Ġus                 Ġa                  Ġbundle             Ġevery              Ġtime               Ġsomething          Ġgoes               Ġwrong              <eot>               <emp>               <emp>               <emp>              
Timings          : (35.54, 35.69)      (35.69, 35.75)      (35.75, 36.16)      (36.16, 36.26)      (36.26, 36.461)     (36.461, 36.85)     (36.85, 37.04)      (37.04, 37.34)      (37.34, 37.68)      (37.68, 37.94)      (37.94, 38.268)     (-1.0, -1.0)        (39.254, 39.294)    (39.294, 39.494)    (39.494, 39.654)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      81588272496644      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġcan                Ġtell              
Timings          : (35.54, 35.69)      (35.69, 35.75)      (35.75, 36.16)      (36.16, 36.26)      (36.26, 36.461)     (36.461, 36.85)     (36.85, 37.04)      (37.04, 37.34)      (37.34, 37.68)      (37.68, 37.94)      (37.94, 38.268)     (39.141, 39.254)    (39.254, 39.294)    (39.294, 39.494)    (39.494, 39.654)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.654, 39.854)    (39.854, 40.154)    (40.154, 40.884)    (40.884, 41.004)    (41.004, 41.324)    (41.324, 41.474)    (41.474, 41.804)    (41.804, 41.884)    (41.884, 41.964)    (41.964, 42.174)    (42.174, 42.264)    (42.264, 42.524)    (42.524, 42.664)    (42.664, 42.859)    (42.859, 43.054)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġabout              Ġreliability        Ġthe                Ġlast               Ġtwo                Ġcars               Ġi                  've                 Ġhad                Ġhave               Ġboth               Ġbeen               Ġh                  onda               
Timings          : (39.654, 39.854)    (39.854, 40.154)    (40.154, 40.884)    (40.884, 41.004)    (41.004, 41.324)    (41.324, 41.474)    (41.474, 41.804)    (41.804, 41.884)    (41.884, 41.964)    (41.964, 42.174)    (42.174, 42.264)    (42.264, 42.524)    (42.524, 42.664)    (42.664, 42.859)    (42.859, 43.054)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (43.054, 43.366)    (43.366, 43.679)    (44.915, 45.258)    (45.258, 45.602)    (45.602, 45.728)    (45.728, 45.863)    (45.863, 45.923)    (45.923, 45.983)    (45.983, 46.163)    (46.163, 46.258)    (46.258, 46.353)    (46.353, 46.583)    (46.583, 46.643)    (46.643, 46.993)    (46.993, 47.463)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġacc                ords                Ġand                Ġuh                 Ġi                  Ġmean               Ġit                 's                  Ġprobably           Ġit                 's                  Ġnot                Ġa                  Ġhuge               Ġcar               
Timings          : (43.054, 43.366)    (43.366, 43.679)    (44.915, 45.258)    (45.258, 45.602)    (45.602, 45.728)    (45.728, 45.863)    (45.863, 45.923)    (45.923, 45.983)    (45.983, 46.163)    (46.163, 46.258)    (46.258, 46.353)    (46.353, 46.583)    (46.583, 46.643)    (46.643, 46.993)    (46.993, 47.463)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (47.463, 47.643)    (47.643, 47.713)    (47.713, 47.783)    (47.783, 47.963)    (47.963, 48.253)    (48.253, 48.967)    (49.701, 50.033)    (50.033, 50.083)    (50.083, 50.193)    (50.193, 50.353)    (50.353, 50.513)    (50.513, 50.843)    (50.843, 51.353)    (51.353, 51.553)    (51.553, 51.838)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġit                 's                  Ġbeen               Ġvery               Ġreliable           Ġand                Ġuh                 Ġi                  Ġwas                Ġjust               Ġvery               Ġimpressed          Ġby                 Ġit                
Timings          : (47.463, 47.643)    (47.643, 47.713)    (47.713, 47.783)    (47.783, 47.963)    (47.963, 48.253)    (48.253, 48.967)    (49.701, 50.033)    (50.033, 50.083)    (50.083, 50.193)    (50.193, 50.353)    (50.353, 50.513)    (50.513, 50.843)    (50.843, 51.353)    (51.353, 51.553)    (51.553, 51.838)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557      81588809367557     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (52.466, 52.826)    (52.982, 53.062)    (53.062, 53.091)    (53.091, 53.411)    (53.411, 53.661)    (53.661, 53.792)    (53.792, 53.911)    (53.911, 54.001)    (54.001, 54.102)    (54.102, 54.189)    (54.189, 54.442)    (54.442, 54.472)    (54.472, 54.602)    (54.602, 54.951)    (54.951, 55.062)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġwhen               Ġi                  Ġfirst              Ġlooked             Ġat                 Ġit                 Ġand                Ġwhen               Ġi                  Ġtalked             Ġto                 Ġother              Ġpeople             Ġthat              
Timings          : (52.466, 52.826)    (52.982, 53.062)    (53.062, 53.091)    (53.091, 53.411)    (53.411, 53.661)    (53.661, 53.792)    (53.792, 53.911)    (53.911, 54.001)    (54.001, 54.102)    (54.102, 54.189)    (54.189, 54.442)    (54.442, 54.472)    (54.472, 54.602)    (54.602, 54.951)    (54.951, 55.062)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
