A                : ok                  ay                  Ġuh                 Ġwe                 Ġkeep               Ġa                  Ġmonthly            Ġbudget             Ġi                  Ġjust               Ġrecently           Ġstopped            Ġworking            Ġso                 Ġi                 
B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.619, 6.02)       (6.02, 6.17)        (6.17, 6.28)        (6.28, 6.41)        (6.41, 6.57)        (6.57, 7.048)       (8.05, 8.24)        (8.24, 8.342)       (8.342, 8.628)      (8.628, 8.858)      (8.858, 8.93)       (8.93, 9.39)        (9.39, 9.74)        (9.74, 9.94)        (9.94, 10.02)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġtry                Ġto                 Ġstick              Ġto                 Ġit                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.02, 10.33)      (10.33, 10.43)      (10.43, 10.658)     (10.658, 10.882)    (10.882, 11.036)    (-1.0, -1.0)        (12.316, 12.625)    (12.625, 12.736)    (12.736, 12.845)    (12.845, 12.995)    (12.995, 13.106)    (13.106, 13.215)    (13.215, 13.526)    (13.526, 14.105)    (14.105, 14.455)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      81760071188480      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               i                   Ġknow               Ġit                 's                  Ġreally             Ġit                 's                  Ġreally             Ġdifficult          Ġhere              
Timings          : (10.02, 10.33)      (10.33, 10.43)      (10.43, 10.658)     (10.658, 10.882)    (10.882, 11.036)    (12.186, 12.316)    (12.316, 12.625)    (12.625, 12.736)    (12.736, 12.845)    (12.845, 12.995)    (12.995, 13.106)    (13.106, 13.215)    (13.215, 13.526)    (13.526, 14.105)    (14.105, 14.455)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <emp>               Ġyeah               Ġthat               's                 
Timings          : (14.817, 14.995)    (14.995, 15.285)    (15.285, 15.391)    (15.391, 15.495)    (15.495, 15.866)    (15.866, 16.256)    (16.256, 16.836)    (16.836, 17.115)    (17.115, 17.476)    (17.476, 18.045)    (18.152, 18.88)     (18.625, 18.816)    (18.88, 19.121)     (19.121, 19.229)    (19.229, 19.336)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81763292413954      81763292413954      81763292413954      81763292413954      81763292413954     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġall                Ġbecause            Ġthere              's                  Ġalways             Ġsomething          Ġbreaking           Ġcar                Ġneeds              Ġtires              Ġor                 Ġyou                Ġknow               <emp>               <emp>              
Timings          : (14.817, 14.995)    (14.995, 15.285)    (15.285, 15.391)    (15.391, 15.495)    (15.495, 15.866)    (15.866, 16.256)    (16.256, 16.836)    (16.836, 17.115)    (17.115, 17.476)    (17.476, 18.045)    (18.476, 18.625)    (18.625, 18.816)    (18.816, 19.103)    (19.121, 19.229)    (19.229, 19.336)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393      81760608059393     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġthat               's                  Ġthe                Ġkind               Ġof                 Ġthings             Ġthat               Ġthrow              Ġyou                Ġoff                <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (19.336, 19.484)    (19.484, 19.632)    (19.632, 19.768)    (19.768, 19.926)    (19.926, 20.002)    (20.002, 20.172)    (20.172, 20.332)    (20.332, 20.552)    (20.552, 20.762)    (20.762, 21.226)    (-1.0, -1.0)        (22.022, 22.442)    (22.442, 22.72)     (22.72, 22.915)     (22.915, 23.128)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                  
turn_ids         : 81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      81763292413954      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               Ġsomething          <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 Ġuh                 Ġwe                 Ġwe                 Ġdo                
Timings          : (19.336, 19.484)    (19.494, 20.185)    (-1.0, -1.0)        (19.768, 19.926)    (19.926, 20.002)    (20.002, 20.172)    (20.172, 20.332)    (20.332, 20.552)    (20.552, 20.762)    (20.762, 21.226)    (21.362, 21.745)    (22.022, 22.442)    (22.442, 22.72)     (22.72, 22.915)     (22.915, 23.128)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059393      81760608059393      81760608059393      0                   0                   0                   0                   0                   0                   0                   81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (23.128, 23.537)    (23.687, 23.977)    (23.977, 24.607)    (24.607, 24.797)    (24.797, 25.137)    (25.137, 25.702)    (25.702, 26.077)    (27.03, 27.36)      (27.36, 27.626)     (28.007, 28.19)     (28.19, 28.56)      (28.56, 28.71)      (28.71, 29.02)      (29.02, 29.3)       (29.3, 29.33)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġours               Ġmore               Ġmonthly            Ġthan               Ġlong               Ġrange              Ġum                 Ġwe                 Ġuh                 Ġmy                 Ġhusband            Ġgets               Ġpaid               Ġonce               Ġa                 
Timings          : (23.128, 23.537)    (23.687, 23.977)    (23.977, 24.607)    (24.607, 24.797)    (24.797, 25.137)    (25.137, 25.702)    (25.702, 26.077)    (27.03, 27.36)      (27.36, 27.626)     (28.007, 28.19)     (28.19, 28.56)      (28.56, 28.71)      (28.71, 29.02)      (29.02, 29.3)       (29.3, 29.33)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                
Timings          : (29.33, 29.739)     (29.984, 30.124)    (30.124, 30.264)    (30.264, 30.405)    (-1.0, -1.0)        (30.67, 30.78)      (30.78, 30.86)      (30.86, 31.06)      (31.06, 31.36)      (31.36, 31.449)     (31.449, 31.57)     (31.57, 31.811)     (31.811, 31.909)    (31.909, 32.217)    (32.954, 33.208)   
Token Types      : 0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   81762218672130      81762218672130      81762218672130      81762218672130      0                   0                   0                   0                   0                   0                   0                   0                   0                   81762218672131     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġmonth              <emp>               <emp>               <emp>               Ġand                Ġwhen               Ġhe                 Ġgets               Ġpaid               Ġi                  Ġpay                Ġall                Ġthe                Ġbills              <emp>              
Timings          : (29.33, 29.739)     (29.984, 30.124)    (30.124, 30.264)    (30.264, 30.405)    (30.432, 30.67)     (30.67, 30.78)      (30.78, 30.86)      (30.86, 31.06)      (31.06, 31.36)      (31.36, 31.449)     (31.449, 31.57)     (31.57, 31.811)     (31.811, 31.909)    (31.909, 32.217)    (32.954, 33.208)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.208, 33.461)    (-1.0, -1.0)        (34.15, 34.279)     (34.279, 34.489)    (34.639, 35.04)     (35.04, 35.318)     (35.695, 35.966)    (36.124, 36.319)    (36.319, 37.122)    (37.499, 37.63)     (37.63, 37.759)     (37.759, 37.84)     (37.84, 38.009)     (38.009, 38.36)     (38.36, 38.479)    
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81762218672131      81762218672131      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġout                Ġof                 Ġhis                Ġcheck              Ġthey               Ġtake               Ġa                  Ġsavings            Ġand                Ġout                Ġof                 Ġmy                 Ġcheck              Ġthey              
Timings          : (33.258, 33.801)    (33.91, 34.15)      (34.15, 34.279)     (34.279, 34.489)    (34.639, 35.04)     (35.04, 35.318)     (35.695, 35.966)    (36.124, 36.319)    (36.319, 37.122)    (37.499, 37.63)     (37.63, 37.759)     (37.759, 37.84)     (37.84, 38.009)     (38.009, 38.36)     (38.36, 38.479)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (38.479, 38.77)     (38.77, 39.276)     (39.487, 39.617)    (39.617, 39.747)    (39.747, 39.877)    (-1.0, -1.0)        (40.095, 40.634)    (40.634, 40.994)    (40.994, 41.075)    (41.075, 41.145)    (41.145, 41.384)    (41.384, 41.794)    (41.919, 42.309)    (-1.0, -1.0)        (42.854, 43.125)   
Token Types      : 0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 0                   0                   81762218672132      81762218672132      81762218672132      81762218672132      0                   0                   0                   0                   0                   0                   81762218672133      81762218672133      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   0                  

B                : Ġtake               Ġsavings            <emp>               <emp>               <emp>               Ġand                Ġretirement         Ġboth               Ġout                Ġof                 Ġboth               Ġchecks             Ġso                 Ġas                 Ġfar               
Timings          : (38.479, 38.77)     (38.77, 39.276)     (39.487, 39.617)    (39.617, 39.747)    (39.747, 39.877)    (39.904, 40.095)    (40.095, 40.634)    (40.634, 40.994)    (40.994, 41.075)    (41.075, 41.145)    (41.145, 41.384)    (41.384, 41.794)    (41.794, 42.062)    (42.612, 42.854)    (42.854, 43.125)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (43.125, 43.314)    (43.314, 43.834)    (43.834, 44.395)    (44.395, 44.606)    (44.606, 45.033)    (45.033, 45.174)    (45.174, 45.314)    (45.314, 45.654)    (46.145, 46.395)    (46.395, 46.665)    (46.665, 47.084)    (47.084, 47.235)    (47.235, 47.755)    (48.006, 48.488)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81762218672134      81762218672134     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġas                 Ġextra              Ġsavings            Ġwe                 Ġreally             Ġdon                't                  Ġhave               Ġthat               Ġmuch               Ġextra              Ġto                 Ġsave               <emp>               Ġum                
Timings          : (43.125, 43.314)    (43.314, 43.834)    (43.834, 44.395)    (44.395, 44.606)    (44.606, 45.033)    (45.033, 45.174)    (45.174, 45.314)    (45.314, 45.654)    (46.145, 46.395)    (46.395, 46.665)    (46.665, 47.084)    (47.084, 47.235)    (47.235, 47.755)    (48.006, 48.488)    (48.597, 48.889)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (49.943, 50.263)    (50.523, 51.1)      (51.1, 51.423)      (51.423, 51.473)    (51.473, 51.773)    (51.773, 52.153)    (52.153, 52.273)    (52.273, 52.393)    (52.393, 52.743)    (52.743, 52.983)    (52.983, 53.243)    (53.333, 53.773)    (53.773, 54.083)    (54.083, 54.653)    (54.653, 54.894)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġhis                Ġcheck              Ġonce               Ġa                  Ġmonth              Ġpays               Ġall                Ġthe                Ġbills              Ġmy                 Ġcheck              Ġweekly             Ġbuys               Ġgroceries          Ġand               
Timings          : (49.943, 50.263)    (50.523, 51.1)      (51.1, 51.423)      (51.423, 51.473)    (51.473, 51.773)    (51.773, 52.153)    (52.153, 52.273)    (52.273, 52.393)    (52.393, 52.743)    (52.743, 52.983)    (52.983, 53.243)    (53.333, 53.773)    (53.773, 54.083)    (54.083, 54.653)    (54.653, 54.894)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395      81760608059395     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               oh                  Ġhow                Ġnice               <eint>              <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>              
Timings          : (54.894, 55.283)    (55.373, 55.579)    (55.79, 55.971)     (55.971, 56.174)    (56.174, 56.733)    (-1.0, -1.0)        (56.513, 56.753)    (56.753, 57.013)    (57.013, 57.083)    (57.083, 57.507)    (57.777, 58.553)    (-1.0, -1.0)        (58.643, 59.023)    (59.023, 59.263)    (59.263, 59.483)   
Token Types      : 0                   0                   5                   5                   5                   5                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   81764366155783      81764366155783      81764366155783      81764366155783      0                   0                   0                   0                   81762218672135      81762218672135      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : Ġgas                Ġand                <emp>               <emp>               Ġyou                Ġknow               Ġthat               Ġkind               Ġof                 Ġthing              Ġand                Ġit                 Ġworks              Ġout                Ġreal              
Timings          : (54.894, 55.283)    (55.373, 55.579)    (55.79, 55.971)     (55.971, 56.174)    (56.178, 56.313)    (56.313, 56.513)    (56.513, 56.753)    (56.753, 57.013)    (57.013, 57.083)    (57.083, 57.507)    (58.313, 58.543)    (58.543, 58.643)    (58.643, 59.023)    (59.023, 59.263)    (59.263, 59.483)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
