A                : do                  Ġyou                Ġhave               Ġany                Ġthoughts           Ġon                 Ġcompany            Ġbenefits           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (15.202, 15.372)    (15.372, 15.472)    (15.472, 15.662)    (15.662, 15.772)    (15.772, 16.227)    (-1.0, -1.0)        (16.584, 16.732)    (16.732, 16.879)    (16.879, 17.349)    (17.349, 17.489)    (17.489, 17.629)    (17.629, 18.089)    (18.089, 18.209)    (18.209, 18.299)    (18.299, 18.439)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82653424386052      82653424386052      82653424386052      82653424386052      82653424386052      82653424386052      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  Ġso                 Ġyou                Ġknow               Ġuh                 Ġwhat               Ġi                  Ġwould             
Timings          : (15.202, 15.372)    (15.372, 15.472)    (15.472, 15.662)    (15.662, 15.772)    (15.772, 16.227)    (16.437, 16.584)    (16.584, 16.732)    (16.732, 16.879)    (16.879, 17.349)    (17.349, 17.489)    (17.489, 17.629)    (17.629, 18.089)    (18.089, 18.209)    (18.209, 18.299)    (18.299, 18.439)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (18.439, 18.629)    (18.629, 18.729)    (18.729, 19.045)    (19.387, 19.623)    (19.623, 19.815)    (19.815, 19.925)    (19.925, 20.129)    (20.129, 20.429)    (20.429, 20.639)    (20.639, 20.709)    (20.709, 20.909)    (20.909, 21.299)    (21.299, 21.679)    (21.679, 21.754)    (21.754, 21.829)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġto                 Ġsee                Ġwell               Ġuh                 Ġthe                Ġreally             Ġsad                Ġpart               Ġof                 Ġthis               Ġis                 Ġthat               Ġi                  'm                 
Timings          : (18.439, 18.629)    (18.629, 18.729)    (18.729, 19.045)    (19.387, 19.623)    (19.623, 19.815)    (19.815, 19.925)    (19.925, 20.129)    (20.129, 20.429)    (20.429, 20.639)    (20.639, 20.709)    (20.709, 20.909)    (20.909, 21.299)    (21.299, 21.679)    (21.679, 21.754)    (21.754, 21.829)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82653961256965     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġnot                Ġthat               Ġbad                <yield>             <emp>               <emp>               Ġthat               's                 
Timings          : (21.829, 22.109)    (22.109, 22.389)    (22.389, 22.589)    (22.589, 22.88)     (-1.0, -1.0)        (24.021, 24.116)    (24.116, 24.211)    (24.211, 24.401)    (24.401, 24.621)    (24.621, 25.098)    (-1.0, -1.0)        (25.437, 25.527)    (25.527, 25.816)    (26.146, 26.228)    (26.228, 26.311)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82653424386054      82653424386054      82653424386054      82653424386054      82653424386054      82653424386054      0                   0                   82653424386056      82653424386056     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   1                   1                  

B                : Ġfifty              Ġfive               Ġyears              Ġold                <eot>               and                 <eint>              <emp>               <emp>               <emp>               Ġbeg                Ġyour               Ġpardon             <eot>               <emp>              
Timings          : (21.829, 22.109)    (22.109, 22.389)    (22.389, 22.589)    (22.589, 22.88)     (-1.0, -1.0)        (24.024, 24.265)    (-1.0, -1.0)        (24.211, 24.401)    (24.401, 24.621)    (24.621, 25.098)    (25.336, 25.437)    (25.437, 25.527)    (25.527, 25.816)    (-1.0, -1.0)        (26.228, 26.311)   
Token Types      : 1                   1                   1                   1                   1                   5                   5                   0                   0                   0                   1                   1                   1                   1                   0                  
turn_ids         : 82653961256965      82653961256965      82653961256965      82653961256965      82653961256965      82658256224259      82658256224259      0                   0                   0                   82653961256967      82653961256967      82653961256967      82653961256967      0                  
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                   0                  


A                : Ġnot                Ġso                 Ġsad                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                 
Timings          : (26.311, 26.501)    (26.501, 26.661)    (26.661, 27.07)     (-1.0, -1.0)        (27.264, 27.424)    (27.424, 27.974)    (27.974, 28.124)    (28.124, 28.384)    (28.384, 28.624)    (28.624, 28.984)    (28.984, 29.074)    (29.074, 29.304)    (29.304, 29.524)    (29.524, 29.908)    (30.476, 30.647)   
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 82653424386056      82653424386056      82653424386056      82653424386056      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82653424386058     
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : <emp>               <emp>               <emp>               Ġoh                 Ġmy                 Ġchances            Ġof                 Ġgetting            Ġanother            Ġjob                Ġare                Ġjust               Ġreally             Ġslim               <eot>              
Timings          : (26.311, 26.501)    (26.501, 26.661)    (26.661, 27.07)     (27.164, 27.264)    (27.264, 27.424)    (27.424, 27.974)    (27.974, 28.124)    (28.124, 28.384)    (28.384, 28.624)    (28.624, 28.984)    (28.984, 29.074)    (29.074, 29.304)    (29.304, 29.524)    (29.524, 29.908)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969      82653961256969     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : m                   <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>              
Timings          : (30.647, 30.818)    (-1.0, -1.0)        (31.102, 31.242)    (31.242, 31.312)    (31.312, 31.742)    (31.742, 32.142)    (32.142, 32.292)    (32.292, 32.392)    (32.392, 32.639)    (32.639, 33.059)    (33.477, 33.959)    (-1.0, -1.0)        (34.803, 34.903)    (34.903, 35.103)    (35.103, 35.253)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                  
turn_ids         : 82653424386058      82653424386058      0                   0                   0                   0                   0                   0                   0                   0                   82655571869703      82655571869703      0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                  

B                : <emp>               Ġi                  Ġwas                Ġa                  Ġsystems            Ġanalyst            Ġfor                Ġan                 Ġoil                Ġcompany            <emp>               Ġand                Ġyou                Ġknow               Ġthey              
Timings          : (30.647, 30.818)    (31.019, 31.102)    (31.102, 31.242)    (31.242, 31.312)    (31.312, 31.742)    (31.742, 32.142)    (32.142, 32.292)    (32.292, 32.392)    (32.392, 32.639)    (32.639, 33.059)    (33.477, 33.959)    (34.381, 34.803)    (34.803, 34.903)    (34.903, 35.103)    (35.103, 35.253)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.253, 35.526)    (35.914, 36.018)    (36.018, 36.217)    (36.869, 37.356)    (37.356, 37.783)    (37.783, 37.913)    (37.913, 38.133)    (38.133, 38.503)    (38.503, 38.833)    (38.833, 39.143)    (39.143, 39.183)    (39.183, 39.371)    (39.371, 39.447)    (39.447, 39.523)    (39.523, 39.723)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġjust               Ġi                  Ġmean               Ġsprint             Ġhad                Ġuh                 Ġtwo                Ġthousand           Ġjobs               Ġopen               Ġi                  Ġmean               Ġi                  'm                  Ġsorry             
Timings          : (35.253, 35.526)    (35.914, 36.018)    (36.018, 36.217)    (36.869, 37.356)    (37.356, 37.783)    (37.783, 37.913)    (37.913, 38.133)    (38.133, 38.503)    (38.503, 38.833)    (38.833, 39.143)    (39.143, 39.183)    (39.183, 39.371)    (39.371, 39.447)    (39.447, 39.523)    (39.523, 39.723)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                 
Timings          : (39.723, 39.893)    (39.893, 40.143)    (40.143, 40.433)    (40.433, 40.673)    (40.673, 40.773)    (40.773, 40.943)    (40.943, 41.103)    (41.103, 41.483)    (41.483, 42.221)    (43.333, 43.466)    (43.466, 43.626)    (43.626, 43.917)    (43.917, 43.996)    (43.996, 44.32)     (44.423, 44.617)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82655571869704     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġtwo                Ġhundred            Ġjobs               Ġopen               Ġthey               Ġhad                Ġtwo                Ġthousand           Ġapplications       Ġfor                Ġthis               Ġtype               Ġof                 Ġwork               <emp>              
Timings          : (39.723, 39.893)    (39.893, 40.143)    (40.143, 40.433)    (40.433, 40.673)    (40.673, 40.773)    (40.773, 40.943)    (40.943, 41.103)    (41.103, 41.483)    (41.483, 42.221)    (43.333, 43.466)    (43.466, 43.626)    (43.626, 43.917)    (43.917, 43.996)    (43.996, 44.32)     (44.423, 44.617)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (44.617, 44.811)    (44.811, 45.005)    (-1.0, -1.0)        (45.067, 45.176)    (45.176, 45.271)    (45.271, 45.367)    (45.367, 45.662)    (46.092, 46.479)    (47.413, 47.579)    (47.579, 47.724)    (47.724, 48.105)    (48.463, 48.693)    (48.693, 48.924)    (48.924, 49.045)    (49.045, 49.167)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82655571869704      82655571869704      82655571869704      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġyou                Ġknow               Ġit                 's                  Ġjust               Ġuh                 Ġand                Ġi                  Ġguess              Ġthat               's                  Ġthat               's                 
Timings          : (44.617, 44.811)    (44.811, 45.005)    (45.005, 45.067)    (45.067, 45.176)    (45.176, 45.271)    (45.271, 45.367)    (45.367, 45.662)    (46.092, 46.479)    (47.413, 47.579)    (47.579, 47.724)    (47.724, 48.105)    (48.463, 48.693)    (48.693, 48.924)    (48.924, 49.045)    (49.045, 49.167)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971      82653961256971     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (49.167, 49.387)    (49.387, 49.681)    (49.681, 49.977)    (49.977, 50.086)    (50.086, 50.536)    (50.536, 50.944)    (52.167, 52.289)    (52.289, 52.444)    (52.444, 52.599)    (52.599, 52.679)    (52.679, 52.829)    (52.829, 52.939)    (52.939, 53.259)    (53.259, 53.409)    (53.409, 53.559)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġpretty             Ġfar                fetched             Ġas                 Ġbenefits           Ġgo                 Ġbut                Ġg                  osh                 Ġyou                Ġknow               Ġi                  Ġsaw                Ġit                 Ġi                 
Timings          : (49.167, 49.387)    (49.387, 49.681)    (49.681, 49.977)    (49.977, 50.086)    (50.086, 50.536)    (50.536, 50.944)    (52.167, 52.289)    (52.289, 52.444)    (52.444, 52.599)    (52.599, 52.679)    (52.679, 52.829)    (52.829, 52.939)    (52.939, 53.259)    (53.259, 53.409)    (53.409, 53.559)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
