A                : um                  Ġin                 Ġtex                as                  Ġthey               Ġdo                 Ġhave               Ġthe                Ġum                 Ġcapital            Ġpunishment         Ġand                Ġum                 Ġi                  Ġi                 
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 're                 Ġare                Ġsome               Ġthings             Ġthat               Ġgo                 Ġon                 Ġthat               Ġi                  Ġjust               Ġfeel               Ġthat               Ġi                  Ġi                  Ġjust              
Timings          : (13.741, 13.907)    (14.912, 15.212)    (15.491, 15.705)    (15.705, 15.955)    (15.955, 16.115)    (16.115, 16.305)    (16.305, 16.745)    (16.745, 16.885)    (16.885, 17.005)    (17.005, 17.235)    (17.235, 17.485)    (17.485, 17.624)    (19.701, 19.9)      (19.9, 20.039)      (20.039, 20.219)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.741, 13.907)    (14.912, 15.212)    (15.491, 15.705)    (15.705, 15.955)    (15.955, 16.115)    (16.115, 16.305)    (16.305, 16.745)    (16.745, 16.885)    (16.885, 17.005)    (17.005, 17.235)    (17.235, 17.485)    (17.485, 17.624)    (19.701, 19.9)      (19.9, 20.039)      (20.039, 20.219)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfeel               Ġthat               Ġthat               Ġthat               Ġthat               Ġis                 Ġa                  Ġneed               Ġi                  Ġdon                't                  Ġi                  Ġdon                't                  Ġknow              
Timings          : (20.219, 20.359)    (20.359, 20.511)    (20.846, 21.036)    (21.156, 21.336)    (21.539, 21.679)    (21.679, 21.879)    (21.879, 21.999)    (21.999, 22.478)    (22.478, 22.652)    (22.652, 22.766)    (22.766, 22.879)    (22.879, 22.981)    (22.981, 23.04)     (23.04, 23.099)     (23.099, 23.189)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (20.219, 20.359)    (20.359, 20.511)    (20.846, 21.036)    (21.156, 21.336)    (21.539, 21.679)    (21.679, 21.879)    (21.879, 21.999)    (21.999, 22.478)    (22.478, 22.652)    (22.652, 22.766)    (22.766, 22.879)    (22.879, 22.981)    (22.981, 23.04)     (23.04, 23.099)     (23.099, 23.189)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġa                  Ġlot                Ġof                 Ġpeople             Ġdon                't                  Ġfeel               Ġthat               Ġway                Ġeither             Ġbut                Ġi                  Ġjust               Ġfeel               Ġthat              
Timings          : (23.189, 23.219)    (23.219, 23.309)    (23.309, 23.369)    (23.369, 23.579)    (23.579, 23.694)    (23.694, 23.809)    (23.809, 24.019)    (24.019, 24.189)    (24.189, 24.479)    (24.479, 24.679)    (24.679, 24.849)    (24.849, 24.98)     (24.98, 25.294)     (25.294, 25.409)    (25.409, 25.515)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328      83426518499328     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (23.189, 23.219)    (23.219, 23.309)    (23.309, 23.369)    (23.369, 23.579)    (23.579, 23.694)    (23.694, 23.809)    (23.809, 24.019)    (24.019, 24.189)    (24.189, 24.479)    (24.479, 24.679)    (24.679, 24.849)    (24.849, 24.98)     (24.98, 25.294)     (25.294, 25.409)    (25.409, 25.515)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.844, 25.963)    (-1.0, -1.0)        (27.678, 27.778)    (27.778, 27.878)    (27.878, 27.979)    (27.979, 28.159)    (28.159, 28.309)    (28.309, 28.549)    (28.549, 29.059)    (29.059, 29.108)    (29.108, 29.159)    (29.159, 29.409)    (29.409, 29.719)    (29.719, 29.778)    (29.778, 29.838)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83426518499328      83426518499328      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               well                Ġi                  Ġdon                't                  Ġknow               Ġhow                Ġmuch               Ġpublicity          Ġit                 's                  Ġgotten             Ġoutside            Ġof                 Ġthe               
Timings          : (25.844, 25.963)    (27.466, 27.678)    (27.678, 27.778)    (27.778, 27.878)    (27.878, 27.979)    (27.979, 28.159)    (28.159, 28.309)    (28.309, 28.549)    (28.549, 29.059)    (29.059, 29.108)    (29.108, 29.159)    (29.159, 29.409)    (29.409, 29.719)    (29.719, 29.778)    (29.778, 29.838)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>              
Timings          : (29.838, 30.317)    (30.317, 30.542)    (31.156, 31.357)    (31.357, 31.558)    (31.558, 31.758)    (31.758, 31.868)    (31.868, 32.4)      (32.4, 32.528)      (32.528, 33.24)     (33.24, 33.357)     (33.357, 33.777)    (34.173, 34.33)     (34.33, 34.486)     (-1.0, -1.0)        (35.177, 35.316)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83428665982977      83428665982977      83428665982977      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : Ġstate              Ġbut                Ġcal                if                  ornia               Ġwe                 Ġjust               Ġput                Ġsomebody           Ġto                 Ġdeath              <emp>               <emp>               Ġum                 Ġfor               
Timings          : (29.838, 30.317)    (30.317, 30.542)    (31.156, 31.357)    (31.357, 31.558)    (31.558, 31.758)    (31.758, 31.868)    (31.868, 32.4)      (32.4, 32.528)      (32.528, 33.24)     (33.24, 33.357)     (33.357, 33.777)    (34.173, 34.33)     (34.33, 34.486)     (34.535, 34.917)    (35.177, 35.316)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.316, 35.346)    (35.346, 35.526)    (35.526, 35.596)    (35.596, 35.726)    (35.726, 35.796)    (35.796, 36.086)    (36.086, 36.587)    (36.864, 37.067)    (37.067, 37.166)    (37.166, 37.266)    (37.266, 37.546)    (37.546, 37.586)    (37.586, 37.681)    (37.681, 37.776)    (37.776, 37.876)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  Ġthink              Ġit                 Ġwas                Ġa                  Ġdouble             Ġmurder             Ġuh                 Ġto                 Ġbe                 Ġhonest             Ġi                  Ġdidn               't                  Ġpay               
Timings          : (35.316, 35.346)    (35.346, 35.526)    (35.526, 35.596)    (35.596, 35.726)    (35.726, 35.796)    (35.796, 36.086)    (36.086, 36.587)    (36.864, 37.067)    (37.067, 37.166)    (37.166, 37.266)    (37.266, 37.546)    (37.546, 37.586)    (37.586, 37.681)    (37.681, 37.776)    (37.776, 37.876)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (37.876, 38.026)    (38.026, 38.206)    (38.206, 38.696)    (39.363, 39.626)    (39.626, 39.796)    (39.796, 39.866)    (39.866, 40.416)    (40.416, 40.556)    (40.556, 40.818)    (41.095, 41.558)    (43.051, 43.638)    (43.638, 43.788)    (43.788, 43.988)    (43.988, 44.068)    (44.068, 44.418)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthat               Ġmuch               Ġattention          Ġuh                 Ġto                 Ġthe                Ġdetails            Ġof                 Ġit                 Ġum                 Ġbut                Ġit                 Ġhad                Ġa                  Ġlot               
Timings          : (37.876, 38.026)    (38.026, 38.206)    (38.206, 38.696)    (39.363, 39.626)    (39.626, 39.796)    (39.796, 39.866)    (39.866, 40.416)    (40.416, 40.556)    (40.556, 40.818)    (41.095, 41.558)    (43.051, 43.638)    (43.638, 43.788)    (43.788, 43.988)    (43.988, 44.068)    (44.068, 44.418)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (44.418, 44.538)    (44.538, 45.178)    (45.178, 45.308)    (45.308, 45.768)    (45.768, 46.121)    (46.475, 46.748)    (46.748, 46.998)    (46.998, 47.078)    (47.078, 47.328)    (47.328, 47.578)    (47.578, 47.828)    (47.828, 48.148)    (48.148, 48.288)    (48.288, 48.388)    (48.388, 48.808)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġcontroversy        Ġout                Ġhere               Ġuh                 Ġbasically          Ġbecause            Ġin                 Ġcal                if                  ornia               Ġpeople             Ġlike               Ġto                 Ġprotest           
Timings          : (44.418, 44.538)    (44.538, 45.178)    (45.178, 45.308)    (45.308, 45.768)    (45.768, 46.121)    (46.475, 46.748)    (46.748, 46.998)    (46.998, 47.078)    (47.078, 47.328)    (47.328, 47.578)    (47.578, 47.828)    (47.828, 48.148)    (48.148, 48.288)    (48.288, 48.388)    (48.388, 48.808)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.808, 49.048)    (49.048, 49.848)    (50.486, 51.032)    (52.163, 52.234)    (52.234, 52.353)    (52.353, 52.753)    (52.753, 52.884)    (52.884, 53.183)    (53.183, 53.51)     (53.51, 53.643)     (53.643, 53.733)    (53.733, 53.793)    (53.793, 53.823)    (53.823, 54.053)    (54.053, 54.123)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġabout              Ġeverything         Ġum                 Ġbut                Ġi                  Ġagree              Ġi                  Ġbelieve            Ġthat               Ġthat               Ġthere              Ġare                Ġa                  Ġnumber             Ġof                
Timings          : (48.808, 49.048)    (49.048, 49.848)    (50.486, 51.032)    (52.163, 52.234)    (52.234, 52.353)    (52.353, 52.753)    (52.753, 52.884)    (52.884, 53.183)    (53.183, 53.51)     (53.51, 53.643)     (53.643, 53.733)    (53.733, 53.793)    (53.793, 53.823)    (53.823, 54.053)    (54.053, 54.123)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241      83427055370241     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (54.123, 54.613)    (54.613, 54.863)    (54.863, 55.173)    (55.173, 55.633)    (55.633, 55.733)    (55.733, 55.793)    (55.793, 56.053)    (56.053, 56.143)    (56.143, 56.241)    (56.241, 56.542)    (56.712, 56.928)    (56.928, 57.144)    (-1.0, -1.0)        (58.589, 58.779)    (58.779, 59.279)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83428665982978      83428665982978      83428665982978      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġcrimes             Ġthat               Ġcapital            Ġpunishment         Ġis                 Ġthe                Ġbest               Ġway                Ġto                 Ġgo                 Ġum                 <emp>               Ġthe                Ġbig                Ġdisagreement      
Timings          : (54.123, 54.613)    (54.613, 54.863)    (54.863, 55.173)    (55.173, 55.633)    (55.633, 55.733)    (55.733, 55.793)    (55.793, 56.053)    (56.053, 56.143)    (56.143, 56.241)    (56.241, 56.542)    (56.792, 57.21)     (56.928, 57.144)    (58.126, 58.589)    (58.589, 58.779)    (58.779, 59.279)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
