A                : any                 way                 Ġi                  Ġguess              Ġthere              Ġwas                Ġjust               Ġsomebody           Ġrecently           Ġdown               Ġthere              Ġwasn               't                  Ġtoday              Ġin                
B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               i                   'm                  Ġnot                <yield>             Ġuh                 Ġi                 
Timings          : (3.138, 3.343)      (3.343, 3.548)      (3.548, 3.708)      (3.708, 3.828)      (3.828, 4.156)      (4.683, 4.858)      (4.858, 5.208)      (5.208, 5.571)      (-1.0, -1.0)        (6.424, 6.64)       (6.64, 6.855)       (6.855, 7.235)      (-1.0, -1.0)        (8.27, 9.256)       (9.742, 9.816)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82430622957569      82430622957569      82430622957569      82430622957569      82430622957571      82430622957571     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  <emp>               <emp>               <emp>               <emp>              
Timings          : (9.816, 9.889)      (9.889, 10.049)     (10.049, 10.259)    (10.259, 10.369)    (10.369, 10.509)    (10.509, 10.579)    (10.579, 10.769)    (10.769, 10.969)    (10.969, 11.361)    (11.361, 11.729)    (11.561, 11.972)    (11.809, 11.869)    (11.869, 12.079)    (12.079, 12.269)    (12.269, 12.489)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82434381053954      82434381053954      82434381053954      82434381053954      82434381053954     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : 'm                  Ġnot                Ġsure               Ġthere              Ġwas                Ġthe                Ġbig                Ġone                Ġuh                 Ġearlier            Ġin                 Ġthe                Ġweek               Ġin                 Ġuh                
Timings          : (9.816, 9.889)      (9.889, 10.049)     (10.049, 10.259)    (10.259, 10.369)    (10.369, 10.509)    (10.509, 10.579)    (10.579, 10.769)    (10.769, 10.969)    (10.969, 11.361)    (11.361, 11.729)    (11.729, 11.809)    (11.809, 11.869)    (11.869, 12.079)    (12.079, 12.269)    (12.269, 12.489)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġin                 Ġcal                if                  ornia               Ġyeah               <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġso                 Ġhow               
Timings          : (12.413, 12.566)    (12.566, 12.829)    (12.829, 13.093)    (13.093, 13.356)    (13.356, 13.628)    (-1.0, -1.0)        (13.948, 14.179)    (14.179, 14.289)    (14.289, 14.539)    (14.539, 14.629)    (14.629, 14.809)    (14.809, 14.929)    (15.024, 15.426)    (15.426, 15.684)    (15.684, 15.804)   
Token Types      : 5                   5                   5                   5                   5                   5                   0                   0                   0                   0                   0                   0                   5                   5                   5                  
turn_ids         : 82434381053954      82434381053954      82434381053954      82434381053954      82434381053954      82434381053954      0                   0                   0                   0                   0                   0                   82434381053955      82434381053955      82434381053955     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   1                   1                   1                  

B                : Ġcal                <emp>               if                  ornia               Ġthat               Ġon                 Ġon                 Ġand                Ġoff                Ġand                Ġon                 Ġand                Ġoff                <emp>               <emp>              
Timings          : (12.489, 12.749)    (12.566, 12.829)    (12.749, 13.009)    (13.009, 13.269)    (13.269, 13.573)    (13.573, 13.948)    (13.948, 14.179)    (14.179, 14.289)    (14.289, 14.539)    (14.539, 14.629)    (14.629, 14.809)    (14.809, 14.929)    (14.929, 15.306)    (15.426, 15.684)    (15.684, 15.804)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571      82430622957571     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġdo                 Ġyou                Ġfeel               Ġabout              Ġit                 <eint>              Ġabout              Ġcapital            Ġpunishment         <yield>             <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (15.804, 15.874)    (15.874, 15.934)    (15.934, 16.124)    (16.124, 16.384)    (16.384, 16.565)    (-1.0, -1.0)        (17.492, 17.682)    (17.682, 17.972)    (17.972, 18.549)    (-1.0, -1.0)        (18.955, 19.066)    (19.066, 19.176)    (19.176, 19.515)    (19.515, 19.953)    (19.953, 20.391)   
Token Types      : 5                   5                   5                   5                   5                   5                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 82434381053955      82434381053955      82434381053955      82434381053955      82434381053955      82434381053955      82430086086660      82430086086660      82430086086660      82430086086660      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               Ġum                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġi                  Ġdon                't                  Ġknow               Ġi                  'm                 
Timings          : (15.804, 15.874)    (15.852, 16.81)     (-1.0, -1.0)        (16.124, 16.384)    (16.384, 16.565)    (-1.0, -1.0)        (17.492, 17.682)    (17.682, 17.972)    (18.348, 18.574)    (18.793, 18.955)    (18.955, 19.066)    (19.066, 19.176)    (19.176, 19.515)    (19.515, 19.953)    (19.953, 20.391)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82430622957571      82430622957571      82430622957571      0                   0                   0                   0                   0                   82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.061, 21.238)    (21.238, 21.416)    (21.416, 21.884)    (22.174, 22.615)    (22.615, 23.076)    (23.076, 23.265)    (23.265, 23.445)    (23.445, 23.556)    (23.556, 23.792)    (23.792, 24.029)    (24.029, 24.46)     (25.012, 25.331)    (25.331, 25.65)     (26.359, 26.589)    (26.589, 26.699)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  'm                  Ġuh                 Ġmixed              Ġviews              Ġon                 Ġit                 Ġi                  Ġdon                't                  Ġi                  Ġdon                't                  Ġthink              Ġthat              
Timings          : (21.061, 21.238)    (21.238, 21.416)    (21.416, 21.884)    (22.174, 22.615)    (22.615, 23.076)    (23.076, 23.265)    (23.265, 23.445)    (23.445, 23.556)    (23.556, 23.792)    (23.792, 24.029)    (24.029, 24.46)     (25.012, 25.331)    (25.331, 25.65)     (26.359, 26.589)    (26.589, 26.699)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>              
Timings          : (26.699, 26.809)    (26.809, 27.009)    (27.009, 27.219)    (27.219, 27.459)    (27.459, 27.659)    (27.659, 27.809)    (27.809, 28.089)    (28.089, 28.279)    (28.279, 28.359)    (28.359, 29.073)    (29.267, 29.502)    (29.502, 29.737)    (-1.0, -1.0)        (30.749, 30.989)    (30.989, 31.199)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82432233570307      82432233570307      82432233570307      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : Ġit                 Ġreally             Ġdoes               Ġmuch               Ġgood               Ġas                 Ġit                 Ġas                 Ġa                  Ġdeterrent          Ġuh                 <emp>               Ġthe                Ġold                Ġthing             
Timings          : (26.699, 26.809)    (26.809, 27.009)    (27.009, 27.219)    (27.219, 27.459)    (27.459, 27.659)    (27.659, 27.809)    (27.809, 28.089)    (28.089, 28.279)    (28.279, 28.359)    (28.359, 29.073)    (29.073, 29.899)    (29.502, 29.737)    (30.49, 30.749)     (30.749, 30.989)    (30.989, 31.199)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.199, 31.479)    (31.479, 31.569)    (31.569, 31.919)    (31.919, 32.059)    (32.059, 32.089)    (32.089, 32.319)    (32.319, 32.783)    (33.303, 33.689)    (33.689, 33.895)    (33.895, 34.399)    (34.399, 34.569)    (34.569, 34.699)    (34.699, 34.926)    (34.926, 35.153)    (35.153, 35.379)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġin                 Ġin                 Ġterms              Ġof                 Ġuh                 Ġthe                Ġthe                Ġthe                Ġuh                 Ġbiggest            Ġday                Ġfor                Ġpick               p                   ockets             
Timings          : (31.199, 31.479)    (31.479, 31.569)    (31.569, 31.919)    (31.919, 32.059)    (32.059, 32.089)    (32.089, 32.319)    (32.319, 32.783)    (33.303, 33.689)    (33.689, 33.895)    (33.895, 34.399)    (34.399, 34.569)    (34.569, 34.699)    (34.699, 34.926)    (34.926, 35.153)    (35.153, 35.379)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.379, 35.609)    (35.609, 35.739)    (35.739, 36.086)    (36.383, 36.579)    (36.579, 36.659)    (36.659, 36.789)    (36.789, 37.129)    (37.129, 37.319)    (37.319, 37.509)    (37.509, 37.699)    (37.699, 37.951)    (38.501, 38.689)    (38.689, 39.089)    (39.089, 39.429)    (39.429, 40.013)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwas                Ġat                 Ġthe                Ġwhen               Ġthey               Ġwere               Ġhanging            Ġpick               p                   ockets              Ġbut                Ġin                 Ġpublic             Ġbut                Ġuh                
Timings          : (35.379, 35.609)    (35.609, 35.739)    (35.739, 36.086)    (36.383, 36.579)    (36.579, 36.659)    (36.659, 36.789)    (36.789, 37.129)    (37.129, 37.319)    (37.319, 37.509)    (37.509, 37.699)    (37.699, 37.951)    (38.501, 38.689)    (38.689, 39.089)    (39.089, 39.429)    (39.429, 40.013)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (40.566, 41.161)    (41.161, 41.251)    (41.251, 41.341)    (41.341, 41.542)    (41.542, 41.891)    (41.891, 42.069)    (42.069, 42.541)    (42.541, 42.94)     (42.94, 43.262)     (43.262, 43.532)    (43.532, 43.841)    (43.841, 44.051)    (44.051, 44.172)    (44.172, 44.442)    (44.442, 44.629)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġon                 Ġthe                Ġother              Ġhand               Ġit                 Ġit                 Ġthe                Ġit                 Ġseems              Ġlike               Ġthat               Ġthere              Ġjust               Ġaren              
Timings          : (40.566, 41.161)    (41.161, 41.251)    (41.251, 41.341)    (41.341, 41.542)    (41.542, 41.891)    (41.891, 42.069)    (42.069, 42.541)    (42.541, 42.94)     (42.94, 43.262)     (43.262, 43.532)    (43.532, 43.841)    (43.841, 44.051)    (44.051, 44.172)    (44.172, 44.442)    (44.442, 44.629)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (44.629, 44.817)    (45.307, 45.701)    (45.701, 45.963)    (48.635, 49.065)    (49.065, 49.486)    (49.486, 49.745)    (49.745, 50.026)    (50.026, 50.276)    (50.276, 50.655)    (50.655, 50.875)    (50.875, 51.238)    (51.596, 51.911)    (51.911, 52.053)    (52.053, 52.195)    (52.195, 52.386)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 't                  Ġare                Ġuh                 Ġsome               Ġcrimes             Ġand                Ġand                Ġsome               Ġlives              Ġthat               Ġthat               Ġthat               Ġthere              's                  Ġno                
Timings          : (44.629, 44.817)    (45.307, 45.701)    (45.701, 45.963)    (48.635, 49.065)    (49.065, 49.486)    (49.486, 49.745)    (49.745, 50.026)    (50.026, 50.276)    (50.276, 50.655)    (50.655, 50.875)    (50.875, 51.238)    (51.596, 51.911)    (51.911, 52.053)    (52.053, 52.195)    (52.195, 52.386)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045      82433844183045     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  've                 Ġyou                Ġknow              
Timings          : (52.386, 52.814)    (53.089, 53.568)    (-1.0, -1.0)        (53.526, 53.995)    (53.995, 54.465)    (54.465, 54.546)    (54.546, 54.725)    (54.725, 54.826)    (54.826, 55.065)    (55.065, 55.472)    (55.795, 56.138)    (56.138, 56.27)     (56.27, 56.402)     (56.402, 56.698)    (56.698, 56.868)   
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82432233570308      82432233570308      0                   0                   0                   0                   0                   0                   0                   82430086086662      82430086086662      82430086086662      82430086086662      82430086086662     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġother              Ġat                 Ġleast              Ġemotional          Ġreaction           Ġto                 Ġit                 Ġwhat               Ġabout              Ġyou                <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (52.386, 52.814)    (53.153, 53.326)    (53.326, 53.526)    (53.526, 53.995)    (53.995, 54.465)    (54.465, 54.546)    (54.546, 54.725)    (54.725, 54.826)    (54.826, 55.065)    (55.065, 55.472)    (-1.0, -1.0)        (56.138, 56.27)     (56.27, 56.402)     (56.402, 56.698)    (56.698, 56.868)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                   0                  
