A                : well                Ġwhat               's                  Ġyour               Ġopinion            Ġon                 Ġcapital            Ġpunishment         <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83066278117379      83066278117379      83066278117379      83066278117379     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               what                <eint>             
Timings          : (52.355, 52.565)    (52.565, 52.825)    (52.825, 53.275)    (53.275, 53.455)    (53.455, 53.794)    (54.08, 54.255)     (54.255, 54.614)    (55.285, 55.675)    (55.675, 56.04)     (57.099, 57.362)    (57.362, 57.592)    (57.592, 57.732)    (57.732, 57.953)    (58.289, 58.538)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83070036213762      83070036213762     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġnot                Ġvery               Ġoften              Ġbut                Ġthey               Ġthey               Ġdo                 Ġsend               Ġsome               Ġevery              Ġnow                Ġand                Ġthen               Ġyou                Ġknow              
Timings          : (52.355, 52.565)    (52.565, 52.825)    (52.825, 53.275)    (53.275, 53.455)    (53.455, 53.794)    (54.08, 54.255)     (54.255, 54.614)    (55.285, 55.675)    (55.675, 56.04)     (57.099, 57.362)    (57.362, 57.592)    (57.592, 57.732)    (57.732, 57.953)    (58.243, 58.394)    (58.394, 58.542)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379      83066278117379     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġwell               Ġneedless           Ġto                 Ġsay                Ġtex                as                  Ġis                 Ġuh                 Ġprobably           Ġthe                Ġleader             Ġuh                 Ġi                  Ġwe                
Timings          : (58.542, 58.845)    (59.76, 59.935)     (59.935, 60.245)    (60.245, 60.335)    (60.335, 60.669)    (60.868, 61.082)    (61.082, 61.295)    (61.295, 61.609)    (61.82, 61.885)     (61.885, 62.405)    (62.405, 62.541)    (62.541, 62.979)    (63.943, 64.343)    (64.618, 64.76)     (65.009, 65.23)    
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġas                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>              
Timings          : (58.542, 58.845)    (-1.0, -1.0)        (59.935, 60.245)    (60.245, 60.335)    (60.335, 60.669)    (60.868, 61.082)    (61.082, 61.295)    (61.295, 61.609)    (61.82, 61.885)     (61.885, 62.405)    (62.405, 62.541)    (62.541, 62.979)    (64.144, 64.397)    (-1.0, -1.0)        (65.009, 65.23)    
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
turn_ids         : 83066278117379      83066278117379      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83068425601027      83068425601027      0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   0                  


A                : Ġmay                Ġhave               Ġstarted            Ġyou                Ġknow               Ġcapital            Ġpunishment         Ġback               Ġup                 Ġagain              <emp>               Ġand                Ġuh                 Ġi                  Ġthink             
Timings          : (65.23, 65.42)      (65.42, 65.55)      (65.55, 66.273)     (66.273, 66.46)     (66.46, 66.683)     (66.683, 67.16)     (67.16, 67.62)      (67.62, 67.9)       (67.9, 68.04)       (68.04, 68.489)     (68.809, 68.962)    (68.982, 69.62)     (69.62, 70.021)     (70.021, 70.16)     (70.16, 70.43)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (65.23, 65.42)      (65.42, 65.55)      (65.55, 66.273)     (66.273, 66.46)     (66.46, 66.683)     (66.683, 67.16)     (67.16, 67.62)      (67.62, 67.9)       (67.9, 68.04)       (68.04, 68.489)     (68.809, 68.962)    (68.962, 69.115)    (-1.0, -1.0)        (70.021, 70.16)     (70.16, 70.43)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83068425601028      83068425601028      83068425601028      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                  


A                : Ġwe                 've                 Ġprobably           Ġexecuted           Ġmore               Ġpeople             Ġthan               Ġany                Ġother              Ġstate              <emp>               <emp>               Ġbut                Ġuh                 Ġa                 
Timings          : (70.43, 70.5)       (70.5, 70.57)       (70.57, 70.99)      (70.99, 71.53)      (71.53, 71.7)       (71.7, 72.07)       (72.07, 72.341)     (72.341, 72.59)     (72.59, 72.77)      (72.77, 73.16)      (73.472, 73.641)    (73.641, 73.81)     (74.127, 74.663)    (74.663, 74.953)    (75.928, 76.291)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468      83065741246468     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (70.43, 70.5)       (70.5, 70.57)       (70.57, 70.99)      (70.99, 71.53)      (71.53, 71.7)       (71.7, 72.07)       (72.07, 72.341)     (72.341, 72.59)     (72.59, 72.77)      (72.77, 73.16)      (73.472, 73.641)    (73.641, 73.81)     (-1.0, -1.0)        (74.663, 74.953)    (75.928, 76.291)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
