A                : my                  Ġfeelings           Ġon                 Ġcrime              Ġbeing              Ġup                 Ġhere               Ġin                 Ġro                 chester             Ġwe                 're                 Ġin                 Ġwestern            Ġnew               
Timings          : (18.809, 18.896)    (18.896, 19.161)    (19.161, 19.426)    (19.426, 20.019)    (20.524, 20.766)    (20.766, 20.846)    (20.846, 21.226)    (21.226, 21.416)    (21.416, 21.696)    (21.696, 21.796)    (21.796, 21.986)    (21.986, 22.266)    (22.266, 22.476)    (22.476, 22.646)    (22.646, 22.947)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880      81330574458880     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well               
Timings          : (18.809, 18.896)    (18.896, 19.161)    (19.161, 19.426)    (19.426, 20.019)    (20.524, 20.766)    (20.766, 20.846)    (20.846, 21.226)    (21.226, 21.416)    (21.416, 21.696)    (21.696, 21.796)    (21.796, 21.986)    (21.986, 22.266)    (22.266, 22.476)    (22.476, 22.646)    (22.635, 22.742)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81334332555265     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġno                 Ġthat              
Timings          : (-1.0, -1.0)        (22.812, 22.947)    (22.947, 23.082)    (23.082, 23.252)    (23.252, 23.472)    (23.472, 23.752)    (23.752, 23.962)    (23.962, 24.152)    (24.152, 24.292)    (24.292, 24.537)    (24.537, 24.662)    (24.662, 24.752)    (24.752, 25.005)    (24.966, 25.173)    (25.173, 25.333)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 81330574458880      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81330574458882      81330574458882     
turn_end_types   : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġnow                Ġthat               's                  Ġnot                Ġso                 Ġfar                Ġthis               Ġyear               Ġis                 Ġit                 Ġor                 Ġis                 Ġthat               <eot>               <emp>              
Timings          : (22.742, 22.812)    (22.812, 22.947)    (22.947, 23.082)    (23.082, 23.252)    (23.252, 23.472)    (23.472, 23.752)    (23.752, 23.962)    (23.962, 24.152)    (24.152, 24.292)    (24.292, 24.537)    (24.537, 24.662)    (24.662, 24.752)    (24.752, 25.005)    (-1.0, -1.0)        (25.173, 25.333)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                  
turn_ids         : 81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      81334332555265      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġwas                Ġall                Ġof                 Ġlast               Ġyear               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġand                Ġthe                Ġmayor              Ġkept              
Timings          : (25.333, 25.493)    (25.493, 25.702)    (25.702, 25.802)    (25.802, 26.112)    (26.112, 26.382)    (-1.0, -1.0)        (26.571, 26.694)    (26.694, 27.096)    (27.096, 27.218)    (27.218, 27.34)     (27.34, 27.461)     (27.818, 27.998)    (27.998, 28.058)    (28.058, 28.574)    (28.849, 29.118)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 81330574458882      81330574458882      81330574458882      81330574458882      81330574458882      81330574458882      0                   0                   0                   0                   0                   81330574458884      81330574458884      81330574458884      81330574458884     
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġi                  Ġsee                Ġu                  hh                  uh                  <eot>               <emp>               <emp>               <emp>              
Timings          : (25.333, 25.493)    (25.493, 25.702)    (25.702, 25.802)    (25.802, 26.112)    (26.112, 26.382)    (26.425, 26.571)    (26.571, 26.694)    (26.694, 27.096)    (27.096, 27.218)    (27.218, 27.34)     (27.34, 27.461)     (-1.0, -1.0)        (27.998, 28.058)    (28.058, 28.574)    (28.849, 29.118)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   81331111329795      81331111329795      81331111329795      81331111329795      81331111329795      81331111329795      81331111329795      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġsaying             Ġwell               Ġyou                Ġknow               Ġwhat               Ġcan                Ġyou                Ġdo                 Ġyou                Ġknow               Ġit                 Ġmost               Ġof                 Ġthe                Ġmurders           
Timings          : (29.118, 29.418)    (29.418, 29.548)    (29.548, 29.658)    (29.658, 29.808)    (29.808, 29.988)    (29.988, 30.238)    (30.238, 30.318)    (30.318, 30.558)    (30.558, 30.688)    (30.688, 30.838)    (30.838, 31.08)     (31.08, 31.478)     (31.478, 31.548)    (31.548, 31.608)    (31.608, 32.168)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.118, 29.418)    (29.418, 29.548)    (29.548, 29.658)    (29.658, 29.808)    (29.808, 29.988)    (29.988, 30.238)    (30.238, 30.318)    (30.318, 30.558)    (30.558, 30.688)    (30.688, 30.838)    (30.838, 31.08)     (31.08, 31.478)     (31.478, 31.548)    (31.548, 31.608)    (31.608, 32.168)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               Ġhave               Ġtaken              Ġplace              Ġup                 Ġhere               Ġhave               Ġbeen               Ġdrug               Ġrelated            <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.168, 32.318)    (32.318, 32.438)    (32.438, 32.788)    (32.788, 33.108)    (33.108, 33.268)    (33.268, 33.418)    (33.418, 33.518)    (33.518, 33.708)    (33.708, 34.068)    (34.068, 34.534)    (-1.0, -1.0)        (35.048, 35.245)    (35.245, 35.345)    (35.345, 35.575)    (35.575, 35.705)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      81330574458884      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġthat               's                  Ġi                  Ġthink              Ġthat              
Timings          : (32.168, 32.318)    (32.318, 32.438)    (32.438, 32.788)    (32.788, 33.108)    (33.108, 33.268)    (33.268, 33.418)    (33.418, 33.518)    (33.518, 33.708)    (33.708, 34.068)    (34.068, 34.534)    (34.852, 35.048)    (35.048, 35.245)    (35.245, 35.345)    (35.345, 35.575)    (35.575, 35.705)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81331111329797      81331111329797      81331111329797      81331111329797      81331111329797     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġit                 's                  Ġit                 's                  Ġgetting            Ġa                 
Timings          : (35.705, 35.835)    (35.835, 35.895)    (35.895, 36.065)    (36.065, 36.385)    (36.385, 36.445)    (36.445, 36.505)    (36.505, 36.825)    (36.825, 37.296)    (37.666, 38.157)    (38.157, 38.36)     (38.36, 38.562)     (38.761, 38.844)    (38.844, 38.928)    (38.928, 39.228)    (39.228, 39.278)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81333795684358      81333795684358      81333795684358      81333795684358      81333795684358      81333795684358      81333795684358     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : 's                  Ġthe                Ġthe                Ġmost               Ġof                 Ġthe                Ġmurders            Ġanywhere           <emp>               Ġi                  Ġthink              Ġyeah               <yield>             <emp>               <emp>              
Timings          : (35.705, 35.835)    (35.835, 35.895)    (35.895, 36.065)    (36.065, 36.385)    (36.385, 36.445)    (36.445, 36.505)    (36.505, 36.825)    (36.825, 37.296)    (37.666, 38.157)    (38.106, 38.216)    (38.216, 38.616)    (38.616, 39.017)    (-1.0, -1.0)        (38.928, 39.228)    (39.228, 39.278)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      81331111329797      0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  


A                : Ġlot                Ġworse              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.278, 39.578)    (39.578, 40.177)    (-1.0, -1.0)        (42.236, 42.869)    (42.869, 43.166)    (43.166, 43.496)    (43.496, 43.636)    (43.636, 44.036)    (44.036, 44.246)    (44.246, 44.416)    (44.416, 44.826)    (44.826, 45.036)    (45.036, 45.356)    (45.356, 45.69)     (46.044, 46.106)   
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81333795684358      81333795684358      81333795684358      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġwell               Ġwe                 Ġwe                 Ġhave               Ġour                Ġshare              Ġof                 Ġuh                 Ġmurders            Ġdown               Ġhere               Ġum                 Ġi                 
Timings          : (39.278, 39.578)    (39.578, 40.177)    (41.909, 42.236)    (42.236, 42.869)    (42.869, 43.166)    (43.166, 43.496)    (43.496, 43.636)    (43.636, 44.036)    (44.036, 44.246)    (44.246, 44.416)    (44.416, 44.826)    (44.826, 45.036)    (45.036, 45.356)    (45.356, 45.69)     (46.044, 46.106)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799      81331111329799     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (46.106, 46.201)    (46.201, 46.296)    (46.296, 46.526)    (46.526, 46.696)    (46.696, 46.789)    (46.789, 46.881)    (47.887, 47.937)    (47.937, 47.987)    (47.987, 48.138)    (48.138, 48.278)    (48.278, 48.397)    (48.397, 48.737)    (48.737, 49.118)    (49.118, 49.318)    (49.318, 49.377)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġdon                't                  Ġknow               Ġi                  Ġi                  'm                  Ġi                  've                 Ġbeen               Ġhere               Ġfor                Ġfive               Ġyears              Ġand                Ġi                 
Timings          : (46.106, 46.201)    (46.201, 46.296)    (46.296, 46.526)    (46.526, 46.696)    (46.696, 46.789)    (46.789, 46.881)    (47.887, 47.937)    (47.937, 47.987)    (47.987, 48.138)    (48.138, 48.278)    (48.278, 48.397)    (48.397, 48.737)    (48.737, 49.118)    (49.118, 49.318)    (49.318, 49.377)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
