A                : ok                  ay                  Ġi                  'm                  Ġhere               Ġhow                Ġdo                 Ġyou                Ġfeel               Ġabout              Ġthe                Ġpublic             Ġschools            <eot>               <emp>              
Token Types      : 0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82913269907458      82913269907458      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbottom             <emp>               Ġand                Ġuh                 Ġthere              's                  Ġa                  Ġlot                Ġof                 Ġthings             Ġthat               Ġi                  Ġsee                Ġthat               Ġare               
Timings          : (21.999, 22.472)    (22.8, 23.031)      (23.63, 24.093)     (24.093, 24.359)    (24.642, 24.792)    (24.792, 24.943)    (24.943, 25.013)    (25.013, 25.273)    (25.273, 25.373)    (25.373, 25.753)    (25.753, 25.863)    (25.863, 25.978)    (26.143, 26.472)    (27.718, 27.865)    (27.865, 27.995)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.995, 28.355)    (28.355, 29.205)    (29.205, 29.78)     (29.944, 30.124)    (30.124, 30.304)    (-1.0, -1.0)        (31.32, 31.47)      (31.47, 31.71)      (31.71, 31.96)      (31.96, 32.06)      (32.06, 32.16)      (32.16, 32.456)     (32.648, 32.99)     (32.99, 33.12)      (33.12, 33.701)    
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82913269907459      82913269907459      82913269907459      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġso                 Ġobviously          Ġwrong              <emp>               <emp>               Ġthat               Ġyou                Ġwould              Ġthink              Ġit                 'd                  Ġbe                 Ġeasy               Ġto                 Ġcorrect           
Timings          : (27.995, 28.355)    (28.355, 29.205)    (29.205, 29.78)     (29.944, 30.124)    (30.124, 30.304)    (31.152, 31.32)     (31.32, 31.47)      (31.47, 31.71)      (31.71, 31.96)      (31.96, 32.06)      (32.06, 32.16)      (32.16, 32.456)     (32.648, 32.99)     (32.99, 33.12)      (33.12, 33.701)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>              
Timings          : (33.871, 34.309)    (-1.0, -1.0)        (34.59, 34.66)      (34.66, 35.19)      (35.19, 35.35)      (35.35, 35.51)      (35.51, 36.002)     (36.002, 36.2)      (36.2, 36.356)      (36.356, 37.276)    (37.529, 37.711)    (37.711, 37.893)    (-1.0, -1.0)        (38.308, 38.418)    (38.418, 38.716)   
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                  
turn_ids         : 82913269907460      82913269907460      0                   0                   0                   0                   0                   0                   0                   0                   82913269907461      82913269907461      82913269907461      0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                  

B                : <emp>               Ġbut                Ġthe                Ġsystem             Ġdoesn              't                  Ġallow              Ġfor                Ġthe                Ġcorrections        <emp>               <emp>               Ġyeah               Ġhow                Ġabout             
Timings          : (33.871, 34.309)    (34.424, 34.59)     (34.59, 34.66)      (34.66, 35.19)      (35.19, 35.35)      (35.35, 35.51)      (35.51, 36.002)     (36.002, 36.2)      (36.2, 36.356)      (36.356, 37.276)    (37.529, 37.711)    (37.711, 37.893)    (37.891, 38.069)    (38.308, 38.418)    (38.418, 38.716)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721      82911659294721     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġwell               Ġthat               's                  Ġinteresting        Ġi                  Ġhave               Ġa                  Ġsister             Ġwho                Ġused               Ġto                 Ġlive               Ġin                 Ġk                 
Timings          : (38.716, 38.969)    (39.464, 39.74)     (39.74, 39.845)     (39.845, 39.95)     (39.95, 40.544)     (40.544, 40.66)     (40.66, 40.77)      (40.77, 40.82)      (40.82, 41.28)      (41.28, 41.67)      (41.67, 41.85)      (41.85, 41.95)      (41.95, 42.07)      (42.07, 42.17)      (42.17, 42.34)     
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġyou                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.716, 38.969)    (-1.0, -1.0)        (39.74, 39.845)     (39.845, 39.95)     (39.95, 40.544)     (40.544, 40.66)     (40.66, 40.77)      (40.77, 40.82)      (40.82, 41.28)      (41.28, 41.67)      (41.67, 41.85)      (41.85, 41.95)      (41.95, 42.07)      (42.07, 42.17)      (42.17, 42.34)     
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82911659294721      82911659294721      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : ennes               aw                  Ġge                 org                 ia                  <eot>               <emp>               Ġand                Ġuh                 Ġshe                Ġhas                Ġa                  Ġyoung              Ġboy                Ġactually          
Timings          : (42.34, 42.51)      (42.51, 42.68)      (42.68, 42.836)     (42.836, 42.993)    (42.993, 43.149)    (-1.0, -1.0)        (43.644, 44.054)    (44.02, 44.457)     (44.457, 44.787)    (44.787, 45.209)    (45.209, 45.684)    (45.684, 45.767)    (45.767, 46.257)    (46.257, 46.752)    (47.177, 47.537)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      82911122423810      0                   82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812     
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġyes                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.34, 42.51)      (42.51, 42.68)      (42.68, 42.836)     (42.836, 42.993)    (42.993, 43.149)    (43.476, 43.644)    (43.644, 44.054)    (-1.0, -1.0)        (44.457, 44.787)    (44.787, 45.209)    (45.209, 45.684)    (45.684, 45.767)    (45.767, 46.257)    (46.257, 46.752)    (47.177, 47.537)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82911659294723      82911659294723      82911659294723      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhas                Ġtwo                Ġboys               Ġnow                Ġbut                Ġonly               Ġhad                Ġone                Ġwhen               Ġshe                Ġwas                Ġthere              Ġand                Ġshe                Ġcomplained        
Timings          : (47.537, 47.707)    (47.707, 47.887)    (47.887, 48.167)    (48.167, 48.417)    (48.417, 48.587)    (48.587, 48.827)    (48.827, 49.017)    (49.017, 49.359)    (49.89, 50.057)     (50.057, 50.207)    (50.207, 50.397)    (50.397, 50.776)    (51.68, 52.231)     (52.634, 52.885)    (52.885, 53.345)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (47.537, 47.707)    (47.707, 47.887)    (47.887, 48.167)    (48.167, 48.417)    (48.417, 48.587)    (48.587, 48.827)    (48.827, 49.017)    (49.017, 49.359)    (49.89, 50.057)     (50.057, 50.207)    (50.207, 50.397)    (50.397, 50.776)    (51.68, 52.231)     (52.634, 52.885)    (52.885, 53.345)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġquite              Ġa                  Ġbit                Ġabout              Ġthis               Ġschool             Ġsystem             Ġthere              <eot>               Ġand                <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (53.345, 53.565)    (53.565, 53.615)    (53.615, 53.745)    (53.745, 53.965)    (53.965, 54.125)    (54.125, 54.395)    (54.395, 54.775)    (54.775, 55.203)    (-1.0, -1.0)        (56.32, 57.184)     (-1.0, -1.0)        (57.382, 57.552)    (57.552, 57.722)    (57.722, 58.152)    (58.152, 58.342)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423812      82911122423814      82911122423814      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyes                <eot>               Ġand                Ġc                  obb                 Ġcounty             Ġis                
Timings          : (53.345, 53.565)    (53.565, 53.615)    (53.615, 53.745)    (53.745, 53.965)    (53.965, 54.125)    (54.125, 54.395)    (54.395, 54.775)    (54.775, 55.203)    (55.459, 55.823)    (-1.0, -1.0)        (57.222, 57.382)    (57.382, 57.552)    (57.552, 57.722)    (57.722, 58.152)    (58.152, 58.342)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   82911659294725      82911659294725      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright             
Timings          : (58.342, 58.692)    (58.692, 59.04)     (59.04, 59.182)     (59.182, 59.592)    (59.592, 59.707)    (59.707, 59.822)    (59.822, 60.084)    (60.123, 60.61)     (-1.0, -1.0)        (60.762, 60.932)    (60.932, 61.052)    (61.052, 61.162)    (61.162, 61.272)    (61.272, 61.676)    (61.864, 62.216)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82913269907465      82913269907465      0                   0                   0                   0                   0                   82911122423816     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   1                  

B                : Ġbetter             Ġthan               Ġthe                Ġcounty             Ġi                  'm                  Ġin                 <emp>               Ġshe                Ġwas                Ġin                 Ġc                  obb                 Ġcounty             <eot>              
Timings          : (58.342, 58.692)    (58.692, 59.04)     (59.04, 59.182)     (59.182, 59.592)    (59.592, 59.707)    (59.707, 59.822)    (59.822, 60.084)    (60.123, 60.61)     (60.566, 60.762)    (60.762, 60.932)    (60.932, 61.052)    (61.052, 61.162)    (61.162, 61.272)    (61.272, 61.676)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727      82911659294727     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġi                  'm                  Ġi                  Ġcan                't                  Ġreally             Ġsay                Ġmuch               Ġabout              Ġthe                Ġschools            Ġup                 Ġhere               Ġi                  Ġreally            
Timings          : (62.497, 62.645)    (62.645, 62.792)    (62.792, 62.945)    (62.945, 63.08)     (63.08, 63.215)     (63.215, 63.435)    (63.435, 63.635)    (63.635, 63.865)    (63.865, 64.085)    (64.085, 64.165)    (64.165, 64.575)    (64.575, 64.745)    (64.745, 64.925)    (64.925, 64.975)    (64.975, 65.295)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816      82911122423816     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (62.497, 62.645)    (62.645, 62.792)    (62.792, 62.945)    (62.945, 63.08)     (63.08, 63.215)     (63.215, 63.435)    (63.435, 63.635)    (63.635, 63.865)    (63.865, 64.085)    (64.085, 64.165)    (64.165, 64.575)    (64.575, 64.745)    (64.745, 64.925)    (64.925, 64.975)    (64.975, 65.295)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
