A                : been                Ġon                 Ġthe                Ġline               Ġfor                Ġawhile             Ġi                  Ġalmost             Ġforgot             Ġwhat               Ġthe                Ġtopic              Ġwas                <eot>               <emp>              
Timings          : (25.183, 25.508)    (26.912, 27.212)    (27.212, 27.292)    (27.292, 27.372)    (27.372, 27.612)    (27.612, 27.802)    (27.802, 27.832)    (27.832, 28.172)    (28.172, 28.512)    (28.512, 28.696)    (29.155, 29.414)    (30.541, 30.66)     (30.66, 31.095)     (31.095, 31.24)     (31.24, 31.535)    
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġi                  <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.183, 25.508)    (-1.0, -1.0)        (27.212, 27.292)    (27.292, 27.372)    (27.372, 27.612)    (27.612, 27.802)    (27.802, 27.832)    (27.832, 28.172)    (28.172, 28.512)    (28.512, 28.696)    (29.155, 29.414)    (30.541, 30.66)     (30.66, 31.095)     (31.095, 31.24)     (31.24, 31.535)    
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82018306097155      82018306097155      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  'd                  Ġhave               Ġto                 Ġgo                 Ġwith               Ġuh                 Ġi                  Ġi                  Ġi                  'd                  Ġbe                 Ġfor                Ġit                 <emp>              
Timings          : (31.535, 31.597)    (31.597, 31.659)    (31.659, 31.82)     (31.82, 31.97)      (31.97, 32.223)     (32.223, 32.509)    (32.509, 32.58)     (32.58, 32.813)     (32.813, 33.002)    (33.858, 33.949)    (33.949, 34.04)     (34.04, 34.227)     (34.227, 34.557)    (34.557, 34.676)    (35.305, 35.468)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                 
Timings          : (31.535, 31.597)    (31.597, 31.659)    (31.659, 31.82)     (31.82, 31.97)      (31.97, 32.223)     (32.223, 32.509)    (32.509, 32.58)     (32.58, 32.813)     (32.813, 33.002)    (33.858, 33.949)    (33.949, 34.04)     (34.04, 34.227)     (34.227, 34.557)    (34.557, 34.676)    (35.305, 35.468)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   82020453580803     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               Ġyou                Ġknow               Ġbut                Ġuh                 Ġyou                Ġknow               Ġi                  Ġi                  Ġi                  Ġdon                't                  Ġknow               Ġit                
Timings          : (35.468, 35.632)    (35.632, 35.795)    (35.835, 35.935)    (35.935, 36.303)    (36.446, 36.855)    (36.855, 37.102)    (38.701, 38.737)    (38.737, 38.857)    (38.857, 39.08)     (39.08, 39.306)     (39.306, 39.579)    (39.579, 39.688)    (39.688, 39.798)    (39.798, 40.068)    (40.068, 40.143)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.468, 35.632)    (35.632, 35.795)    (-1.0, -1.0)        (35.935, 36.303)    (36.446, 36.855)    (36.855, 37.102)    (38.701, 38.737)    (38.737, 38.857)    (38.857, 39.08)     (39.08, 39.306)     (39.306, 39.579)    (39.579, 39.688)    (39.688, 39.798)    (39.798, 40.068)    (40.068, 40.143)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82020453580803      82020453580803      82020453580803      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġjust               Ġkind               Ġof                 Ġa                  Ġkind               Ġof                 Ġa                  Ġdelicate           Ġsubject            Ġi                  Ġguess              Ġbut                Ġi                  Ġi                 
Timings          : (40.143, 40.217)    (40.217, 40.368)    (40.368, 40.627)    (40.627, 40.748)    (40.748, 41.12)     (42.98, 43.174)     (43.174, 43.274)    (43.274, 43.325)    (43.459, 43.944)    (43.944, 44.444)    (44.444, 44.554)    (44.554, 44.974)    (44.974, 45.064)    (45.064, 45.252)    (45.252, 45.492)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (40.143, 40.217)    (40.217, 40.368)    (40.368, 40.627)    (40.627, 40.748)    (40.748, 41.12)     (42.98, 43.174)     (43.174, 43.274)    (43.274, 43.325)    (43.459, 43.944)    (43.944, 44.444)    (44.444, 44.554)    (44.554, 44.974)    (44.974, 45.064)    (45.064, 45.252)    (45.252, 45.492)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġwould              Ġi                  Ġwould              Ġprobably           Ġgo                 Ġfor                Ġfor                Ġgoing              Ġahead              Ġand                Ġdoing              Ġit                 Ġyou                Ġknow              
Timings          : (45.492, 45.727)    (45.727, 45.897)    (45.897, 46.044)    (46.044, 46.174)    (46.174, 46.604)    (46.604, 46.814)    (46.814, 47.18)     (47.18, 47.394)     (47.394, 47.754)    (47.754, 47.924)    (47.924, 48.054)    (48.054, 48.404)    (48.404, 48.574)    (48.574, 48.694)    (48.694, 49.116)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (45.492, 45.727)    (45.727, 45.897)    (45.897, 46.044)    (46.044, 46.174)    (46.174, 46.604)    (46.604, 46.814)    (46.814, 47.18)     (47.18, 47.394)     (47.394, 47.754)    (47.754, 47.924)    (47.924, 48.054)    (48.054, 48.404)    (48.404, 48.574)    (48.574, 48.694)    (48.694, 49.116)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġif                 Ġit                 's                  Ġgot                Ġto                 Ġbe                 Ġdone               Ġfor                Ġeveryone           <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (49.586, 49.703)    (49.703, 49.763)    (49.763, 49.824)    (49.824, 49.974)    (49.974, 50.034)    (50.034, 50.124)    (50.124, 50.334)    (50.334, 50.499)    (50.499, 51.165)    (-1.0, -1.0)        (52.007, 52.107)    (52.107, 52.327)    (52.327, 52.437)    (52.437, 52.507)    (52.507, 52.577)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      82017769226244      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              Ġi                  Ġthink              Ġif                 Ġit                 's                 
Timings          : (49.586, 49.703)    (49.703, 49.763)    (49.763, 49.824)    (49.824, 49.974)    (49.974, 50.034)    (50.034, 50.124)    (50.124, 50.334)    (50.334, 50.499)    (50.499, 51.165)    (51.749, 52.007)    (52.007, 52.107)    (52.107, 52.327)    (52.327, 52.437)    (52.437, 52.507)    (52.507, 52.577)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
