A                : ok                  ay                  Ġuh                 Ġso                 Ġyour               Ġyou                Ġyou                Ġi                  Ġguess              Ġuh                 Ġyou                're                 Ġprobably           Ġin                 Ġthe               
B                : <emp>               <emp>               Ġwell               Ġthey               're                 Ġgonna              Ġbe                 Ġgetting            Ġthere              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (23.228, 23.654)    (24.573, 25.708)    (25.639, 25.813)    (25.813, 25.863)    (25.863, 25.913)    (25.913, 26.083)    (26.083, 26.163)    (26.163, 26.423)    (26.423, 26.776)    (-1.0, -1.0)        (26.904, 27.046)    (27.046, 27.13)     (27.13, 27.214)     (27.214, 27.474)    (27.474, 27.684)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   83787832623107      83787832623107      83787832623107      83787832623107      83787832623107      83787832623107      83787832623107      83787832623107      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġthere              Ġno                 Ġno                 Ġno                 Ġprospects          Ġright              Ġaway               Ġfor                Ġanything           Ġto                 Ġhappen             Ġbut                <emp>              
Timings          : (27.684, 27.774)    (27.774, 27.924)    (27.924, 28.104)    (28.104, 28.436)    (28.654, 28.944)    (28.944, 29.084)    (29.084, 29.854)    (29.854, 30.054)    (30.054, 30.384)    (30.384, 30.574)    (30.574, 30.924)    (30.924, 31.054)    (31.054, 31.474)    (31.474, 31.729)    (31.628, 31.802)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196      83787295752196     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  Ġu                  hh                 
Timings          : (27.684, 27.774)    (27.774, 27.924)    (27.924, 28.104)    (28.058, 28.748)    (-1.0, -1.0)        (28.944, 29.084)    (29.084, 29.854)    (29.854, 30.054)    (30.054, 30.384)    (30.384, 30.574)    (30.574, 30.924)    (30.924, 31.054)    (31.031, 31.199)    (31.455, 31.628)    (31.628, 31.802)   
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                  
turn_ids         : 0                   0                   0                   83789980106755      83789980106755      0                   0                   0                   0                   0                   0                   0                   83792127590404      83792127590404      83792127590404     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġuh                 <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.802, 31.976)    (32.096, 32.402)    (32.402, 32.567)    (32.567, 32.86)     (-1.0, -1.0)        (32.888, 33.689)    (-1.0, -1.0)        (33.97, 34.1)       (34.1, 34.39)       (34.39, 34.82)      (34.82, 34.87)      (34.87, 35.16)      (35.16, 35.37)      (35.935, 36.32)     (36.32, 36.42)     
Token Types      : 1                   1                   1                   1                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83787295752196      83787295752196      83787295752196      83787295752196      0                   83787295752196      83787295752196      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : uh                  Ġoh                 Ġi                  Ġsee                <eint>              Ġi                  Ġhave               Ġuh                 Ġfive               Ġchildren           Ġi                  Ġhave               Ġa                  Ġeighteen           Ġyear              
Timings          : (31.802, 31.976)    (32.096, 32.402)    (32.402, 32.567)    (32.567, 32.86)     (-1.0, -1.0)        (33.629, 33.734)    (33.734, 33.97)     (33.97, 34.1)       (34.1, 34.39)       (34.39, 34.82)      (34.82, 34.87)      (34.87, 35.16)      (35.16, 35.37)      (35.935, 36.32)     (36.32, 36.42)     
Token Types      : 5                   5                   5                   5                   5                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83792127590404      83792127590404      83792127590404      83792127590404      83792127590404      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (36.42, 36.55)      (36.55, 36.96)      (36.96, 37.06)      (37.06, 37.29)      (37.29, 37.35)      (37.35, 37.46)      (37.46, 37.867)     (37.867, 38.06)     (38.06, 38.31)      (38.31, 38.603)     (38.603, 38.934)    (38.934, 39.431)    (40.004, 40.48)     (40.48, 40.91)      (40.91, 41.14)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġold                Ġson                Ġthe                Ġrest               Ġof                 Ġmy                 Ġgirls              Ġare                Ġlike               Ġtwenty             Ġthree              Ġtwenty             Ġsix                Ġtwenty             Ġeight             
Timings          : (36.42, 36.55)      (36.55, 36.96)      (36.96, 37.06)      (37.06, 37.29)      (37.29, 37.35)      (37.35, 37.46)      (37.46, 37.867)     (37.867, 38.06)     (38.06, 38.31)      (38.31, 38.603)     (38.603, 38.934)    (38.934, 39.431)    (40.004, 40.48)     (40.48, 40.91)      (40.91, 41.14)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (41.14, 41.25)      (41.25, 41.54)      (41.54, 42.149)     (42.177, 42.44)     (42.44, 42.703)     (-1.0, -1.0)        (42.93, 43.03)      (43.03, 43.23)      (43.23, 43.53)      (43.53, 43.835)     (43.835, 44.14)     (44.14, 44.445)     (44.693, 44.85)     (44.85, 45.15)      (45.398, 45.744)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   83789443235843      83789443235843      83789443235843      0                   0                   0                   0                   0                   0                   0                   0                   83789443235844     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġand                Ġtwenty             Ġnine               <emp>               <emp>               Ġand                Ġi                  Ġhave               Ġthree              Ġgrand              d                   aughters            Ġright              Ġnow                <emp>              
Timings          : (41.14, 41.25)      (41.25, 41.54)      (41.54, 42.149)     (42.177, 42.44)     (42.44, 42.703)     (42.62, 42.93)      (42.93, 43.03)      (43.03, 43.23)      (43.23, 43.53)      (43.53, 43.835)     (43.835, 44.14)     (44.14, 44.445)     (44.693, 44.85)     (44.85, 45.15)      (45.398, 45.744)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (46.485, 46.783)    (47.368, 47.618)    (47.618, 48.048)    (48.798, 48.931)    (48.931, 49.063)    (49.063, 49.293)    (49.293, 49.545)    (49.545, 49.797)    (50.12, 50.28)      (50.28, 50.44)      (-1.0, -1.0)        (51.169, 51.449)    (51.449, 51.617)    (51.617, 51.784)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 83789443235844      0                   0                   0                   0                   0                   0                   0                   0                   83789443235845      83789443235845      83789443235845      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġand                Ġuh                 Ġi                  Ġuh                 Ġone                's                  Ġin                 Ġi                  owa                 <emp>               <emp>               Ġand                Ġuh                 Ġshe                's                 
Timings          : (46.158, 46.485)    (46.485, 46.783)    (47.368, 47.618)    (47.618, 48.048)    (48.798, 48.931)    (48.931, 49.063)    (49.063, 49.293)    (49.293, 49.545)    (49.545, 49.797)    (50.12, 50.28)      (50.28, 50.44)      (50.836, 51.169)    (51.169, 51.449)    (51.449, 51.617)    (51.617, 51.784)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109      83787832623109     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (52.033, 52.147)    (52.147, 52.261)    (52.261, 52.351)    (52.351, 53.085)    (53.085, 53.21)     (53.21, 53.343)     (53.343, 53.473)    (53.473, 53.693)    (53.693, 53.813)    (53.813, 53.953)    (53.953, 54.343)    (54.343, 54.483)    (54.483, 54.523)    (54.523, 55.18)     (55.635, 55.973)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83790516977670     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġshe                's                  Ġa                  Ġteacher            Ġand                Ġwhat               Ġshe                Ġdoes               Ġis                 Ġshe                Ġteaches            Ġat                 Ġa                  Ġpreschool          Ġand               
Timings          : (52.033, 52.147)    (52.147, 52.261)    (52.261, 52.351)    (52.351, 53.085)    (53.085, 53.21)     (53.21, 53.343)     (53.343, 53.473)    (53.473, 53.693)    (53.693, 53.813)    (53.813, 53.953)    (53.953, 54.343)    (54.343, 54.483)    (54.483, 54.523)    (54.523, 55.18)     (55.76, 55.936)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
