A                : all                 Ġright              Ġhave               Ġyou                Ġever               Ġbeen               Ġto                 Ġa                  Ġfamily             Ġreunion            <eot>               <emp>               <emp>               <emp>               <emp>              
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               oh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (43.276, 43.486)    (43.486, 43.98)     (44.782, 45.133)    (-1.0, -1.0)        (45.382, 45.442)    (45.442, 45.572)    (45.572, 45.872)    (45.872, 45.932)    (45.932, 46.092)    (46.092, 46.244)    (46.244, 46.382)    (46.382, 46.512)    (46.512, 46.712)    (46.712, 47.042)    (47.042, 47.177)   
Token Types      : 0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   80628884176898      80628884176898      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 've                 Ġi                  've                 Ġbeen               Ġto                 Ġa                  Ġcouple             Ġas                 Ġa                  Ġkid                <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (47.177, 47.312)    (47.312, 47.377)    (47.377, 47.442)    (47.442, 47.562)    (47.562, 47.672)    (47.672, 47.712)    (47.712, 48.032)    (48.032, 48.142)    (48.142, 48.212)    (48.212, 48.444)    (-1.0, -1.0)        (49.636, 49.785)    (49.785, 49.965)    (49.965, 50.076)    (50.076, 50.206)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      80626199822340      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġyou                Ġhave               Ġto                 Ġgo                
Timings          : (47.177, 47.312)    (47.312, 47.377)    (47.377, 47.442)    (47.442, 47.562)    (47.562, 47.672)    (47.672, 47.712)    (47.712, 48.032)    (48.032, 48.142)    (48.142, 48.212)    (48.212, 48.444)    (49.428, 49.636)    (49.636, 49.785)    (49.785, 49.965)    (49.965, 50.076)    (50.076, 50.206)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
