A                : well                Ġuh                 Ġmy                 Ġopinion            Ġon                 Ġtaxation           Ġwell               Ġcould              Ġbeing              Ġin                 Ġnew                Ġy                  ork                 Ġstate              Ġwhere             
turn_ids         : 80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607232      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               hm                  <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (5.916, 6.496)      (6.496, 6.656)      (6.656, 7.086)      (7.086, 7.726)      (8.086, 8.636)      (8.636, 8.766)      (8.766, 9.236)      (9.342, 9.582)      (-1.0, -1.0)        (10.291, 10.571)    (10.571, 10.651)    (10.651, 10.731)    (10.731, 10.941)    (10.941, 11.087)    (11.087, 11.451)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80523657478145      80523657478145      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġdon                't                  Ġthink              Ġwe                 're                 Ġgetting            Ġour                Ġmoney              's                  Ġworth              Ġas                 Ġfar                Ġas                 Ġuh                
Timings          : (11.451, 11.675)    (11.675, 11.818)    (11.818, 11.961)    (11.961, 12.191)    (12.191, 12.251)    (12.251, 12.311)    (12.311, 12.641)    (12.641, 12.731)    (12.731, 12.926)    (12.926, 13.121)    (13.121, 13.471)    (13.471, 13.611)    (13.611, 13.901)    (13.901, 14.191)    (14.191, 14.381)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.451, 11.675)    (11.675, 11.818)    (11.818, 11.961)    (11.961, 12.191)    (12.191, 12.251)    (12.251, 12.311)    (12.311, 12.641)    (12.641, 12.731)    (12.731, 12.926)    (12.926, 13.121)    (13.121, 13.471)    (13.471, 13.611)    (13.611, 13.901)    (13.901, 14.191)    (14.191, 14.381)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġtax                Ġsystem             Ġis                 Ġconcerned          Ġi                  Ġthink              Ġa                  Ġlot                Ġof                 Ġit                 Ġis                 Ġgoing              Ġto                 Ġwaste             
Timings          : (14.381, 14.571)    (14.571, 14.971)    (14.971, 15.371)    (15.371, 15.575)    (15.613, 16.131)    (16.131, 16.181)    (16.181, 16.421)    (16.421, 16.481)    (16.481, 16.711)    (16.711, 16.831)    (16.831, 16.911)    (16.911, 17.061)    (17.061, 17.471)    (17.471, 17.711)    (17.711, 18.278)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (14.381, 14.571)    (14.571, 14.971)    (14.971, 15.371)    (15.371, 15.575)    (15.613, 16.131)    (16.131, 16.181)    (16.181, 16.421)    (16.421, 16.481)    (16.481, 16.711)    (16.711, 16.831)    (16.831, 16.911)    (16.911, 17.061)    (17.061, 17.471)    (17.471, 17.711)    (17.711, 18.278)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġon                 Ġuh                 Ġservices           Ġservices           Ġthat               Ġaren               't                  Ġnecessary          Ġand                Ġuh                 Ġout                of                  date                Ġideas              Ġthat              
Timings          : (19.414, 19.755)    (19.755, 20.085)    (20.325, 20.435)    (20.435, 21.065)    (21.065, 21.325)    (21.635, 21.79)     (21.79, 21.945)     (21.945, 22.877)    (23.411, 23.935)    (23.935, 24.296)    (24.646, 24.855)    (24.855, 25.063)    (25.063, 25.271)    (25.795, 26.515)    (26.515, 26.705)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (19.414, 19.755)    (19.755, 20.085)    (20.325, 20.435)    (20.435, 21.065)    (21.065, 21.325)    (21.635, 21.79)     (21.79, 21.945)     (21.945, 22.877)    (23.411, 23.935)    (23.935, 24.296)    (24.646, 24.855)    (24.855, 25.063)    (25.063, 25.271)    (25.795, 26.515)    (26.515, 26.705)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġjust               Ġdon                't                  Ġmake               Ġsense              Ġanymore            Ġin                 Ġthese              Ġtimes              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (26.705, 26.865)    (26.865, 26.96)     (26.96, 27.055)     (27.055, 27.235)    (27.235, 27.595)    (27.595, 28.085)    (28.085, 28.195)    (28.195, 28.505)    (28.505, 29.177)    (-1.0, -1.0)        (30.412, 30.512)    (30.692, 30.852)    (30.852, 31.022)    (31.022, 31.162)    (31.162, 31.512)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      80523120607234      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġhave               Ġto                 Ġagree             
Timings          : (26.705, 26.865)    (26.865, 26.96)     (26.96, 27.055)     (27.055, 27.235)    (27.235, 27.595)    (27.595, 28.085)    (28.085, 28.195)    (28.195, 28.505)    (28.505, 29.177)    (30.214, 30.412)    (30.412, 30.512)    (30.692, 30.852)    (30.852, 31.022)    (31.022, 31.162)    (31.162, 31.512)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.512, 31.615)    (31.615, 31.719)    (32.182, 32.312)    (32.312, 32.482)    (32.482, 32.642)    (32.642, 32.687)    (32.687, 32.732)    (32.732, 32.842)    (32.842, 32.88)     (32.88, 32.918)     (32.918, 32.956)    (33.092, 33.202)    (33.202, 33.398)    (33.398, 33.594)    (33.594, 33.79)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  'm                  Ġuh                 Ġright              Ġnow                Ġi                  'm                  Ġin                 Ġat                 l                   anta                Ġin                 Ġat                 l                   anta               
Timings          : (31.512, 31.615)    (31.615, 31.719)    (32.182, 32.312)    (32.312, 32.482)    (32.482, 32.642)    (32.642, 32.687)    (32.687, 32.732)    (32.732, 32.842)    (32.842, 32.88)     (32.88, 32.918)     (32.918, 32.956)    (33.092, 33.202)    (33.202, 33.398)    (33.398, 33.594)    (33.594, 33.79)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.888, 34.158)    (34.629, 34.752)    (34.752, 34.962)    (34.962, 35.142)    (35.142, 35.242)    (35.242, 35.332)    (35.332, 35.744)    (35.744, 36.189)    (36.189, 36.36)     (36.36, 36.532)     (36.532, 36.632)    (36.632, 36.907)    (36.907, 37.182)    (37.742, 38.102)    (38.102, 38.211)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbut                Ġi                  Ġgrew               Ġup                 Ġand                Ġam                 Ġfrom               Ġuh                 Ġut                 ica                 Ġnew                Ġy                  ork                 Ġso                 Ġuh                
Timings          : (33.888, 34.158)    (34.629, 34.752)    (34.752, 34.962)    (34.962, 35.142)    (35.142, 35.242)    (35.242, 35.332)    (35.332, 35.744)    (35.744, 36.189)    (36.189, 36.36)     (36.36, 36.532)     (36.532, 36.632)    (36.632, 36.907)    (36.907, 37.182)    (37.742, 38.102)    (38.102, 38.211)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                  
Timings          : (38.211, 38.451)    (38.451, 38.931)    (38.931, 39.042)    (39.042, 39.141)    (39.141, 39.532)    (39.532, 39.841)    (39.841, 39.902)    (39.902, 39.931)    (39.931, 40.071)    (40.071, 40.172)    (40.172, 40.271)    (40.271, 40.341)    (40.341, 41.192)    (41.613, 41.698)    (41.698, 41.783)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80523120607236      80523120607236     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġi                  Ġunderstand         Ġand                Ġi                  Ġagree              Ġwith               Ġthe                Ġuh                 Ġnew                Ġy                  ork                 Ġsituation          Ġsituation          <eot>               <emp>              
Timings          : (38.211, 38.451)    (38.451, 38.931)    (38.931, 39.042)    (39.042, 39.141)    (39.141, 39.532)    (39.532, 39.841)    (39.841, 39.902)    (39.902, 39.931)    (39.931, 40.071)    (40.071, 40.172)    (40.172, 40.271)    (40.271, 40.341)    (40.341, 41.192)    (-1.0, -1.0)        (41.698, 41.783)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      80523657478147      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġyeah               Ġit                 's                  Ġas                 Ġa                  Ġmatter             Ġof                 Ġfact               Ġthey               Ġrecently           Ġin                 Ġour                Ġcounty             Ġhere               Ġour               
Timings          : (42.504, 42.793)    (42.793, 42.931)    (42.931, 43.069)    (43.126, 43.284)    (43.284, 43.354)    (43.354, 43.634)    (43.634, 43.714)    (43.714, 44.034)    (44.034, 44.244)    (44.244, 44.824)    (44.824, 44.934)    (44.934, 45.054)    (45.054, 45.544)    (45.544, 45.913)    (46.229, 46.414)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.504, 42.793)    (42.793, 42.931)    (42.931, 43.069)    (43.126, 43.284)    (43.284, 43.354)    (43.354, 43.634)    (43.634, 43.714)    (43.714, 44.034)    (44.034, 44.244)    (44.244, 44.824)    (44.824, 44.934)    (44.934, 45.054)    (45.054, 45.544)    (45.544, 45.913)    (46.229, 46.414)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġstate              Ġsales              Ġtax                Ġhas                Ġbeen               Ġseven              Ġpercent            <emp>               Ġpretty             Ġmuch               Ġforever            Ġwell               Ġthey               've                 Ġjust              
Timings          : (46.414, 46.764)    (46.764, 47.194)    (47.194, 47.634)    (47.634, 47.804)    (47.804, 48.124)    (48.124, 48.534)    (48.534, 49.129)    (49.164, 49.463)    (49.597, 49.779)    (49.779, 49.979)    (49.979, 50.479)    (50.479, 50.699)    (50.699, 50.784)    (50.784, 50.869)    (50.869, 51.106)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               right               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (46.414, 46.764)    (46.764, 47.194)    (47.194, 47.634)    (47.634, 47.804)    (47.804, 48.124)    (48.124, 48.534)    (48.534, 49.129)    (49.164, 49.463)    (-1.0, -1.0)        (49.779, 49.979)    (49.979, 50.479)    (50.479, 50.699)    (50.699, 50.784)    (50.784, 50.869)    (50.869, 51.106)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   80525804961794      80525804961794      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġdecided            Ġnow                Ġwhen               Ġour                Ġcounty             Ġwhere              Ġi                  Ġam                 Ġis                 Ġlooking            Ġat                 Ġu                  pping               Ġthe                Ġtax               
Timings          : (51.249, 51.809)    (51.809, 52.049)    (52.049, 52.259)    (52.259, 52.369)    (52.369, 52.889)    (52.889, 53.109)    (53.109, 53.249)    (53.249, 53.489)    (53.489, 53.629)    (53.629, 54.009)    (54.009, 54.211)    (55.04, 55.234)     (55.234, 55.429)    (55.429, 55.509)    (55.509, 55.929)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236      80523120607236     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (51.249, 51.809)    (51.809, 52.049)    (52.049, 52.259)    (52.259, 52.369)    (52.369, 52.889)    (52.889, 53.109)    (53.109, 53.249)    (53.249, 53.489)    (53.489, 53.629)    (53.629, 54.009)    (54.009, 54.211)    (55.04, 55.234)     (55.234, 55.429)    (55.429, 55.509)    (55.509, 55.929)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
