A                : what                Ġwhat               Ġwhat               Ġsort               Ġof                 Ġcompany            Ġdo                 Ġyou                Ġwork               Ġfor                Ġdo                 Ġyou                Ġwork               Ġfor                Ġa                 
B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  Ġi                  Ġwork               Ġfor                Ġge                 org                 ia                  Ġtech               Ġyes               
Timings          : (3.287, 3.447)      (3.447, 3.747)      (3.787, 3.867)      (3.867, 3.897)      (3.897, 4.077)      (4.077, 4.397)      (4.528, 4.798)      (4.798, 4.847)      (4.847, 5.077)      (5.077, 5.188)      (5.188, 5.298)      (5.298, 5.407)      (5.407, 5.517)      (5.517, 5.907)      (5.907, 6.117)     
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.117, 6.407)      (6.407, 6.448)      (6.448, 6.688)      (6.688, 6.838)      (6.838, 6.948)      (6.948, 7.508)      (7.508, 8.377)      (9.619, 10.369)     (10.849, 11.279)    (11.279, 11.424)    (11.424, 11.569)    (11.639, 11.879)    (11.879, 12.119)    (12.119, 12.439)    (12.439, 12.509)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsir                Ġi                  Ġwork               Ġfor                Ġthe                Ġresearch           Ġfacility           Ġum                 Ġand                Ġit                 's                  Ġit                 's                  Ġkind               Ġof                
Timings          : (6.117, 6.407)      (6.407, 6.448)      (6.448, 6.688)      (6.688, 6.838)      (6.838, 6.948)      (6.948, 7.508)      (7.508, 8.377)      (9.619, 10.369)     (10.849, 11.279)    (11.279, 11.424)    (11.424, 11.569)    (11.639, 11.879)    (11.879, 12.119)    (12.119, 12.439)    (12.439, 12.509)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (12.509, 13.319)    (14.029, 14.139)    (14.139, 14.209)    (14.209, 14.639)    (14.639, 14.839)    (14.839, 15.179)    (15.179, 15.289)    (15.289, 15.579)    (15.579, 15.799)    (15.799, 16.069)    (16.069, 16.159)    (16.279, 16.569)    (16.569, 16.839)    (16.839, 17.029)    (17.029, 17.449)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsmall              Ġin                 Ġa                  Ġsense              Ġbut                Ġit                 Ġit                 Ġdoes               Ġhave               Ġabout              Ġuh                 Ġi                  Ġguess              Ġtwo                Ġthousand          
Timings          : (12.509, 13.319)    (14.029, 14.139)    (14.139, 14.209)    (14.209, 14.639)    (14.639, 14.839)    (14.839, 15.179)    (15.179, 15.289)    (15.289, 15.579)    (15.579, 15.799)    (15.799, 16.069)    (16.069, 16.159)    (16.279, 16.569)    (16.569, 16.839)    (16.839, 17.029)    (17.029, 17.449)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.449, 17.679)    (17.679, 18.629)    (19.061, 19.236)    (19.236, 19.411)    (-1.0, -1.0)        (20.768, 21.088)    (21.088, 21.378)    (21.998, 22.078)    (22.078, 22.608)    (22.608, 22.678)    (22.678, 22.888)    (22.888, 22.953)    (22.953, 23.018)    (23.018, 23.238)    (23.238, 23.688)   
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79511655809025      79511655809025      79511655809025      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcivil              Ġemployees          <emp>               <emp>               Ġand                Ġon                 Ġa                  Ġa                  Ġscale              Ġi                  Ġguess              Ġit                 's                  Ġstill              Ġconsidered        
Timings          : (17.449, 17.679)    (17.679, 18.629)    (19.061, 19.236)    (19.236, 19.411)    (19.738, 20.638)    (20.768, 21.088)    (21.088, 21.378)    (21.998, 22.078)    (22.078, 22.608)    (22.608, 22.678)    (22.678, 22.888)    (22.888, 22.953)    (22.953, 23.018)    (23.018, 23.238)    (23.238, 23.688)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>              
Timings          : (23.688, 24.198)    (24.198, 24.258)    (24.598, 24.758)    (24.758, 24.908)    (24.908, 24.938)    (24.938, 25.238)    (25.238, 25.338)    (25.338, 25.658)    (25.658, 26.578)    (26.709, 26.984)    (26.984, 27.259)    (-1.0, -1.0)        (27.399, 27.719)    (27.719, 27.77)     (27.77, 28.199)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   79511655809026      79511655809026      79511655809026      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                  

B                : Ġsmall              Ġit                 Ġjust               Ġhave               Ġa                  Ġlot                Ġof                 Ġdifferent          Ġlaboratories       <emp>               <emp>               Ġthe                Ġarea               Ġi                  Ġwork              
Timings          : (23.688, 24.198)    (24.198, 24.258)    (24.598, 24.758)    (24.758, 24.908)    (24.908, 24.938)    (24.938, 25.238)    (25.238, 25.338)    (25.338, 25.658)    (25.658, 26.578)    (26.709, 26.984)    (26.984, 27.259)    (27.289, 27.399)    (27.399, 27.719)    (27.719, 27.77)     (27.77, 28.199)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>              
Timings          : (28.199, 28.58)     (28.58, 28.85)      (29.369, 29.61)     (29.61, 30.379)     (30.379, 30.809)    (30.809, 31.42)     (31.42, 31.49)      (31.49, 31.94)      (31.94, 32.41)      (32.41, 32.47)      (32.47, 32.939)     (33.081, 33.286)    (33.286, 33.491)    (-1.0, -1.0)        (34.089, 34.354)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79511655809027      79511655809027      79511655809027      0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                  

B                : Ġin                 Ġit                 Ġit                 Ġprimarily          Ġhave               Ġmaybe              Ġa                  Ġhundred            Ġpeople             Ġor                 Ġso                 <emp>               <emp>               Ġso                 Ġthat              
Timings          : (28.199, 28.58)     (28.58, 28.85)      (29.369, 29.61)     (29.61, 30.379)     (30.379, 30.809)    (30.809, 31.42)     (31.42, 31.49)      (31.49, 31.94)      (31.94, 32.41)      (32.41, 32.47)      (32.47, 32.939)     (33.081, 33.286)    (33.286, 33.491)    (33.839, 34.089)    (34.089, 34.354)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (34.354, 34.619)    (34.619, 34.939)    (34.939, 35.269)    (35.889, 36.289)    (36.289, 36.439)    (36.439, 36.589)    (36.589, 37.539)    (38.681, 39.321)    (39.321, 39.811)    (40.401, 40.751)    (40.751, 40.961)    (40.961, 41.491)    (41.491, 41.551)    (41.551, 41.611)    (41.611, 41.881)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġmake               Ġup                 Ġmost               Ġof                 Ġthe                Ġlaboratory         Ġso                 Ġfrom               Ġfrom               Ġthat               Ġstandpoint         Ġit                 's                  Ġpretty            
Timings          : (34.354, 34.619)    (34.619, 34.939)    (34.939, 35.269)    (35.889, 36.289)    (36.289, 36.439)    (36.439, 36.589)    (36.589, 37.539)    (38.681, 39.321)    (39.321, 39.811)    (40.401, 40.751)    (40.751, 40.961)    (40.961, 41.491)    (41.491, 41.551)    (41.551, 41.611)    (41.611, 41.881)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               hm                  <eint>              Ġwell               Ġi                  Ġi                  Ġwork               Ġfor               
Timings          : (41.881, 42.371)    (42.461, 42.531)    (42.531, 42.601)    (42.687, 42.836)    (42.836, 42.986)    (-1.0, -1.0)        (43.381, 43.791)    (44.261, 44.351)    (44.375, 44.445)    (-1.0, -1.0)        (45.585, 45.815)    (45.815, 45.935)    (45.935, 46.055)    (46.055, 46.385)    (46.385, 46.985)   
Token Types      : 0                   0                   0                   3                   3                   3                   0                   0                   5                   5                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   79511655809028      79511655809028      79511655809028      0                   0                   79513803292677      79513803292677      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġsmall              Ġit                 's                  <emp>               <emp>               Ġpretty             Ġsmall              Ġwhat               Ġabout              Ġyourself           <yield>             <emp>               <emp>               <emp>               <emp>              
Timings          : (41.881, 42.371)    (42.461, 42.531)    (42.531, 42.601)    (42.687, 42.836)    (42.836, 42.986)    (43.101, 43.381)    (43.381, 43.791)    (44.261, 44.351)    (44.351, 44.581)    (44.581, 45.271)    (-1.0, -1.0)        (45.815, 45.935)    (45.935, 46.055)    (46.055, 46.385)    (46.385, 46.985)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      79510045196289      0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġuh                 Ġactually           Ġprobably           Ġsimilar            Ġkind               Ġof                 Ġplace              Ġi                  Ġwork               Ġfor                Ġuh                 Ġl                  incoln              Ġlaboratory         <eot>              
Timings          : (46.985, 47.435)    (47.535, 47.865)    (47.865, 48.175)    (48.185, 48.455)    (48.455, 48.655)    (48.655, 48.725)    (48.725, 48.955)    (48.975, 49.005)    (49.005, 49.195)    (49.195, 49.655)    (49.655, 49.895)    (49.895, 50.025)    (50.025, 50.155)    (50.155, 50.745)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378      79509508325378     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                
Timings          : (46.985, 47.435)    (47.535, 47.865)    (47.865, 48.175)    (48.185, 48.455)    (48.455, 48.655)    (48.655, 48.725)    (48.725, 48.955)    (48.975, 49.005)    (49.005, 49.195)    (49.195, 49.655)    (49.655, 49.895)    (49.895, 50.025)    (50.025, 50.155)    (50.155, 50.745)    (51.013, 51.183)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79510045196291     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               Ġuh                 Ġyeah               Ġwe                 Ġactually           Ġwe                 Ġdo                 Ġsome               Ġwork               Ġwith               Ġsome               Ġpeople             Ġdown               Ġat                 Ġge                
Timings          : (51.183, 51.843)    (52.048, 52.498)    (52.618, 52.908)    (52.908, 53.048)    (53.048, 53.468)    (53.518, 53.588)    (53.628, 53.778)    (53.778, 53.948)    (53.948, 54.148)    (54.188, 54.308)    (54.328, 54.458)    (54.458, 54.728)    (54.728, 54.968)    (54.968, 55.058)    (55.058, 55.171)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380      79509508325380     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġokay               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (51.183, 51.843)    (-1.0, -1.0)        (52.618, 52.908)    (52.908, 53.048)    (53.048, 53.468)    (53.518, 53.588)    (53.628, 53.778)    (53.778, 53.948)    (53.948, 54.148)    (54.188, 54.308)    (54.328, 54.458)    (54.458, 54.728)    (54.728, 54.968)    (54.968, 55.058)    (55.058, 55.171)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79510045196291      79510045196291      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : org                 ia                  Ġtech               <eot>               <emp>               <emp>               Ġum                 Ġand                Ġuh                 Ġso                 Ġwe                 're                 Ġwe                 're                 Ġpart              
Timings          : (55.171, 55.284)    (55.284, 55.398)    (55.398, 55.718)    (-1.0, -1.0)        (56.237, 56.747)    (58.387, 58.767)    (59.684, 59.744)    (59.744, 59.834)    (59.834, 59.864)    (59.864, 60.044)    (60.044, 60.169)    (60.169, 60.294)    (60.294, 60.379)    (60.379, 60.464)    (60.464, 60.834)   
Token Types      : 1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79509508325380      79509508325380      79509508325380      79509508325380      0                   0                   79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382      79509508325382     
turn_end_types   : 1                   1                   1                   1                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġoh                 Ġokay               Ġyes                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (55.171, 55.284)    (55.284, 55.398)    (55.398, 55.718)    (56.017, 56.237)    (56.237, 56.747)    (58.387, 58.767)    (-1.0, -1.0)        (59.744, 59.834)    (59.834, 59.864)    (59.864, 60.044)    (60.044, 60.169)    (60.169, 60.294)    (60.294, 60.379)    (60.379, 60.464)    (60.464, 60.834)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
