A                : you                 Ġwanna              Ġgo                 Ġfirst              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmuch               Ġexercise           Ġas                 Ġi                  Ġas                 Ġi                  Ġshould             Ġas                 Ġor                 Ġor                 Ġas                 Ġi                  Ġwould              Ġlike               Ġto                
Timings          : (6.276, 6.506)      (6.506, 7.066)      (7.066, 7.246)      (7.246, 7.555)      (7.728, 7.876)      (7.876, 7.996)      (7.996, 8.316)      (8.316, 8.506)      (8.506, 8.766)      (8.766, 8.886)      (8.886, 9.046)      (9.046, 9.126)      (9.126, 9.296)      (9.296, 9.486)      (9.486, 9.68)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (9.68, 9.956)       (10.694, 11.243)    (11.65, 11.88)      (11.88, 12.13)      (12.13, 12.225)     (12.225, 12.32)     (12.78, 13.05)      (13.05, 13.17)      (13.17, 13.411)     (14.123, 14.24)     (14.24, 14.49)      (14.49, 14.61)      (14.86, 15.04)      (15.04, 15.27)      (15.27, 15.44)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġum                 Ġthese              Ġdays               Ġi                  'd                  Ġseems              Ġto                 Ġbe                 Ġto                 Ġeasy               Ġto                 Ġget                Ġbusy               Ġwith              
Timings          : (9.68, 9.956)       (10.694, 11.243)    (11.65, 11.88)      (11.88, 12.13)      (12.13, 12.225)     (12.225, 12.32)     (12.78, 13.05)      (13.05, 13.17)      (13.17, 13.411)     (14.123, 14.24)     (14.24, 14.49)      (14.49, 14.61)      (14.86, 15.04)      (15.04, 15.27)      (15.27, 15.44)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (15.44, 15.63)      (15.63, 16.038)     (16.038, 16.55)     (16.55, 16.703)     (16.703, 17.195)    (18.069, 18.128)    (18.128, 18.239)    (18.239, 18.688)    (18.688, 19.028)    (19.945, 20.195)    (20.195, 20.445)    (20.445, 20.714)    (20.714, 20.995)    (20.995, 21.245)    (21.245, 21.475)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġother              Ġthings             Ġuh                 Ġi                  Ġhave               Ġin                 Ġthe                Ġpast               Ġuh                 Ġj                  ogged               Ġand                Ġand                Ġrun                Ġand               
Timings          : (15.44, 15.63)      (15.63, 16.038)     (16.038, 16.55)     (16.55, 16.703)     (16.703, 17.195)    (18.069, 18.128)    (18.128, 18.239)    (18.239, 18.688)    (18.688, 19.028)    (19.945, 20.195)    (20.195, 20.445)    (20.445, 20.714)    (20.714, 20.995)    (20.995, 21.245)    (21.245, 21.475)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.905, 22.276)    (22.276, 22.535)    (22.535, 22.855)    (22.855, 23.175)    (23.175, 23.305)    (23.305, 23.643)    (23.643, 23.894)    (23.894, 24.144)    (24.144, 24.395)    (24.538, 24.815)    (25.256, 25.545)    (25.545, 25.695)    (25.695, 25.935)    (25.935, 26.065)    (26.065, 26.285)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġevery              Ġevery              Ġjan                uary                Ġand                Ġevery              Ġse                 pt                  ember               Ġi                  Ġstart              Ġout                Ġagain              Ġand                Ġthen              
Timings          : (21.905, 22.276)    (22.276, 22.535)    (22.535, 22.855)    (22.855, 23.175)    (23.175, 23.305)    (23.305, 23.643)    (23.643, 23.894)    (23.894, 24.144)    (24.144, 24.395)    (24.538, 24.815)    (25.256, 25.545)    (25.545, 25.695)    (25.695, 25.935)    (25.935, 26.065)    (26.065, 26.285)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030401     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġreally             <eot>               <emp>               <emp>               <emp>               Ġwell               Ġyeah               Ġi                  Ġdo                 Ġa                  Ġlot               
Timings          : (26.285, 26.415)    (26.595, 26.76)     (26.76, 26.925)     (26.925, 27.154)    (27.441, 28.231)    (-1.0, -1.0)        (29.712, 29.812)    (29.812, 30.075)    (30.075, 30.352)    (30.639, 31.07)     (31.07, 31.35)      (31.35, 31.52)      (31.52, 31.77)      (31.77, 31.85)      (31.85, 32.08)     
Token Types      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   81107236159490      81107236159490      0                   0                   0                   81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 0                   0                   0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                   1                  

B                : Ġit                 Ġt                  apers               Ġoff                <eot>               Ġuh                 Ġwhat               Ġabout              Ġyou                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (26.285, 26.415)    (26.595, 26.76)     (26.76, 26.925)     (26.925, 27.154)    (-1.0, -1.0)        (28.922, 29.579)    (29.712, 29.812)    (29.812, 30.075)    (30.075, 30.352)    (-1.0, -1.0)        (31.07, 31.35)      (31.35, 31.52)      (31.52, 31.77)      (31.77, 31.85)      (31.85, 32.08)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
turn_ids         : 81107773030401      81107773030401      81107773030401      81107773030401      81107773030401      81107773030403      81107773030403      81107773030403      81107773030403      81107773030403      0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġof                 Ġexercise           Ġright              Ġnow                Ġi                  'm                  Ġinto               Ġjazz               ercise              Ġwhich              Ġi                  Ġabsolutely         Ġlove               Ġum                 Ġi                 
Timings          : (32.08, 32.18)      (32.18, 32.931)     (32.931, 33.2)      (33.2, 33.37)       (33.37, 33.425)     (33.425, 33.48)     (33.48, 33.71)      (33.71, 34.115)     (34.115, 34.52)     (34.52, 34.7)       (34.7, 34.78)       (34.78, 35.38)      (35.38, 35.73)      (36.46, 37.06)      (37.06, 37.15)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.08, 32.18)      (32.18, 32.931)     (32.931, 33.2)      (33.2, 33.37)       (33.37, 33.425)     (33.425, 33.48)     (33.48, 33.71)      (33.71, 34.115)     (34.115, 34.52)     (34.52, 34.7)       (34.7, 34.78)       (34.78, 35.38)      (35.38, 35.73)      (36.46, 37.06)      (37.06, 37.15)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġstarted            Ġabout              Ġtwo                Ġyears              Ġago                Ġbecause            Ġi                  Ġgained             Ġsome               Ġweight             Ġover               Ġthe                Ġpast               Ġfew                Ġyears             
Timings          : (37.15, 37.65)      (37.65, 37.94)      (37.94, 38.09)      (38.09, 38.34)      (38.34, 38.68)      (38.68, 39.01)      (39.01, 39.18)      (39.18, 39.45)      (39.45, 39.69)      (39.69, 39.979)     (40.212, 40.42)     (40.42, 40.5)       (40.5, 40.88)       (40.88, 41.05)      (41.05, 41.35)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (37.15, 37.65)      (37.65, 37.94)      (37.94, 38.09)      (38.09, 38.34)      (38.34, 38.68)      (38.68, 39.01)      (39.01, 39.18)      (39.18, 39.45)      (39.45, 39.69)      (39.69, 39.979)     (40.212, 40.42)     (40.42, 40.5)       (40.5, 40.88)       (40.88, 41.05)      (41.05, 41.35)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġi                  Ġwanted             Ġto                 Ġget                Ġit                 Ġback               Ġoff                <emp>               <emp>               Ġand                Ġi                  Ġwas                Ġgoing              Ġthrough           
Timings          : (41.35, 41.46)      (41.46, 41.51)      (41.51, 41.69)      (41.69, 41.75)      (41.75, 41.96)      (41.96, 42.04)      (42.04, 42.34)      (42.34, 42.647)     (42.949, 43.109)    (43.109, 43.269)    (43.35, 43.51)      (43.51, 43.56)      (43.56, 43.73)      (43.73, 43.98)      (43.98, 44.1)      
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>              
Timings          : (41.35, 41.46)      (41.46, 41.51)      (41.51, 41.69)      (41.69, 41.75)      (41.75, 41.96)      (41.96, 42.04)      (42.04, 42.34)      (42.34, 42.647)     (42.949, 43.109)    (43.109, 43.269)    (-1.0, -1.0)        (43.51, 43.56)      (43.56, 43.73)      (43.73, 43.98)      (43.98, 44.1)      
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81109920514050      81109920514050      81109920514050      0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                  


A                : Ġa                  Ġdivorce            Ġand                Ġi                  Ġjust               Ġfound              Ġthat               Ġrunning            Ġreally             Ġmade               Ġme                 Ġfeel               Ġgood               Ġgot                Ġout               
Timings          : (44.1, 44.18)       (44.18, 44.81)      (44.81, 44.95)      (44.95, 45.05)      (45.05, 45.33)      (45.33, 45.63)      (45.63, 45.819)     (45.819, 46.323)    (46.783, 46.99)     (46.99, 47.2)       (47.2, 47.38)       (47.38, 47.6)       (47.6, 47.911)      (48.081, 48.3)      (48.3, 48.5)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (44.1, 44.18)       (44.18, 44.81)      (44.81, 44.95)      (44.95, 45.05)      (45.05, 45.33)      (45.33, 45.63)      (45.63, 45.819)     (45.819, 46.323)    (46.783, 46.99)     (46.99, 47.2)       (47.2, 47.38)       (47.38, 47.6)       (47.6, 47.911)      (48.034, 48.449)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   81109920514051      81109920514051     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġa                  Ġlot                Ġof                 Ġaggression         Ġi                  Ġwent               Ġto                 Ġthe                Ġgym                Ġevery              Ġday                Ġand                Ġi                  Ġran                Ġon                
Timings          : (48.5, 48.55)       (48.55, 48.75)      (48.75, 48.85)      (48.85, 49.47)      (49.47, 49.56)      (49.56, 49.74)      (49.74, 49.82)      (49.82, 49.92)      (49.92, 50.2)       (50.2, 50.44)       (50.44, 50.74)      (50.74, 50.85)      (50.85, 50.93)      (50.93, 51.14)      (51.14, 51.26)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.5, 48.55)       (48.55, 48.75)      (48.75, 48.85)      (48.85, 49.47)      (49.47, 49.56)      (49.56, 49.74)      (49.74, 49.82)      (49.82, 49.92)      (49.92, 50.2)       (50.2, 50.44)       (50.44, 50.74)      (50.74, 50.85)      (50.85, 50.93)      (50.93, 51.14)      (51.14, 51.26)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthe                Ġtreadmill          Ġand                Ġrode               Ġthe                Ġbike               Ġand                Ġum                 Ġi                  Ġfelt               Ġreally             Ġgood               Ġi                  Ġneeded             Ġto                
Timings          : (51.26, 51.34)      (51.34, 51.95)      (51.95, 52.12)      (52.12, 52.3)       (52.3, 52.36)       (52.36, 52.83)      (52.83, 53.061)     (53.637, 54.007)    (54.157, 54.287)    (54.287, 54.507)    (54.507, 54.737)    (54.737, 54.957)    (54.957, 54.997)    (54.997, 55.347)    (55.347, 55.507)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492      81107236159492     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (51.26, 51.34)      (51.34, 51.95)      (51.95, 52.12)      (52.12, 52.3)       (52.3, 52.36)       (52.36, 52.83)      (52.83, 53.061)     (53.637, 54.007)    (54.157, 54.287)    (54.287, 54.507)    (54.507, 54.737)    (54.737, 54.957)    (54.957, 54.997)    (54.997, 55.347)    (55.347, 55.507)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
