A                : i                   Ġthink              Ġthat               Ġthe                Ġmiddle             Ġeast               Ġis                 Ġof                 Ġall                Ġthe                Ġuh                 Ġregions            Ġof                 Ġthe                Ġworld             
Timings          : (22.416, 22.686)    (22.686, 23.096)    (23.096, 23.326)    (23.326, 23.386)    (23.386, 23.816)    (23.816, 23.916)    (23.916, 24.534)    (25.166, 25.847)    (25.847, 25.969)    (25.969, 26.071)    (26.071, 26.267)    (26.267, 26.378)    (26.378, 26.448)    (26.448, 26.608)    (26.608, 26.688)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (26.688, 26.962)    (27.071, 27.417)    (27.417, 27.507)    (27.507, 27.587)    (27.587, 27.938)    (27.938, 28.087)    (28.087, 28.468)    (28.468, 28.647)    (28.647, 28.788)    (28.788, 29.537)    (29.665, 29.767)    (29.767, 29.827)    (29.827, 30.276)    (31.116, 31.316)    (32.387, 32.496)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknowledge          Ġknowledge          Ġof                 Ġthe                Ġhistory            Ġbut                Ġcertainly          Ġnot                Ġany                Ġunderstanding      Ġof                 Ġthe                Ġhistory            Ġuh                 Ġwe                
Timings          : (26.688, 26.962)    (27.071, 27.417)    (27.417, 27.507)    (27.507, 27.587)    (27.587, 27.938)    (27.938, 28.087)    (28.087, 28.468)    (28.468, 28.647)    (28.647, 28.788)    (28.788, 29.537)    (29.665, 29.767)    (29.767, 29.827)    (29.827, 30.276)    (31.116, 31.316)    (32.387, 32.496)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.496, 32.706)    (32.706, 32.816)    (32.816, 33.046)    (33.216, 33.306)    (33.306, 33.376)    (33.376, 33.623)    (33.623, 33.728)    (33.728, 33.855)    (33.855, 33.955)    (33.955, 34.055)    (34.055, 34.236)    (34.236, 34.296)    (34.296, 34.496)    (34.496, 34.646)    (34.646, 35.056)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġseem               Ġto                 Ġbe                 Ġyou                Ġknow               Ġdoing              Ġthe                Ġsame               Ġwe                 've                 Ġdone               Ġin                 Ġmany               Ġother              Ġcases             
Timings          : (32.496, 32.706)    (32.706, 32.816)    (32.816, 33.046)    (33.216, 33.306)    (33.306, 33.376)    (33.376, 33.623)    (33.623, 33.728)    (33.728, 33.855)    (33.855, 33.955)    (33.955, 34.055)    (34.055, 34.236)    (34.236, 34.296)    (34.296, 34.496)    (34.496, 34.646)    (34.646, 35.056)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.056, 35.186)    (35.186, 35.358)    (35.531, 35.846)    (35.846, 35.946)    (35.946, 36.355)    (36.355, 36.46)     (36.46, 36.634)     (36.634, 36.716)    (36.716, 36.816)    (36.816, 36.916)    (36.916, 37.358)    (38.235, 38.352)    (38.352, 38.458)    (38.458, 38.575)    (38.575, 38.64)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwhich              Ġis                 Ġsticking           Ġour                Ġnoses              Ġin                 Ġwhere              Ġit                 Ġdoesn              't                  Ġbelong             Ġand                Ġi                  Ġthink              Ġit                
Timings          : (35.056, 35.186)    (35.186, 35.358)    (35.531, 35.846)    (35.846, 35.946)    (35.946, 36.355)    (36.355, 36.46)     (36.46, 36.634)     (36.634, 36.716)    (36.716, 36.816)    (36.816, 36.916)    (36.916, 37.358)    (38.235, 38.352)    (38.352, 38.458)    (38.458, 38.575)    (38.575, 38.64)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.64, 38.705)     (39.035, 39.125)    (39.125, 39.205)    (39.205, 39.714)    (40.466, 40.577)    (40.577, 40.68)     (40.68, 41.017)     (41.017, 41.277)    (41.277, 41.367)    (41.367, 41.687)    (41.687, 41.805)    (42.019, 42.277)    (42.277, 42.777)    (42.777, 42.867)    (42.867, 42.927)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġyou                Ġknow               Ġmotivated          Ġyou                Ġknow               Ġclearly            Ġby                 Ġthe                Ġfact               Ġof                 Ġthe                Ġresources          Ġthat               Ġare               
Timings          : (38.64, 38.705)     (39.035, 39.125)    (39.125, 39.205)    (39.205, 39.714)    (40.466, 40.577)    (40.577, 40.68)     (40.68, 41.017)     (41.017, 41.277)    (41.277, 41.367)    (41.367, 41.687)    (41.687, 41.805)    (42.019, 42.277)    (42.277, 42.777)    (42.777, 42.867)    (42.867, 42.927)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġoh                 Ġclearly            Ġyes                Ġand                Ġum                 <yield>             <emp>               <emp>               <emp>              
Timings          : (42.927, 43.287)    (43.287, 43.367)    (43.367, 43.475)    (43.475, 43.758)    (44.435, 44.529)    (44.529, 44.743)    (45.031, 45.272)    (45.272, 45.702)    (45.702, 46.152)    (46.152, 46.522)    (46.522, 46.954)    (-1.0, -1.0)        (47.237, 47.544)    (47.544, 47.692)    (47.964, 48.225)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82859582816258      82859582816258      82859582816258      82859582816258      82859582816258      82859582816258      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġcontrolled         Ġby                 Ġthe                Ġregion             Ġwhich              Ġis                 <eot>               <emp>               <emp>               <emp>               Ġof                 Ġthe                Ġyou                Ġknow               Ġused              
Timings          : (42.927, 43.287)    (43.287, 43.367)    (43.367, 43.475)    (43.475, 43.758)    (44.435, 44.529)    (44.529, 44.743)    (-1.0, -1.0)        (45.272, 45.702)    (45.702, 46.152)    (46.152, 46.522)    (46.631, 46.864)    (46.864, 47.237)    (47.237, 47.544)    (47.544, 47.692)    (47.964, 48.225)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      82860119687169      0                   0                   0                   82863340912643      82863340912643      82863340912643      82863340912643      82863340912643     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               hum                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.225, 48.375)    (48.375, 48.445)    (48.445, 48.505)    (48.505, 48.975)    (48.975, 49.215)    (49.215, 49.285)    (49.285, 49.585)    (49.756, 49.864)    (-1.0, -1.0)        (50.215, 50.318)    (50.318, 50.421)    (50.421, 50.704)    (50.704, 50.858)    (50.858, 51.043)    (51.043, 51.305)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   82863877783554      82863877783554      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġup                 Ġin                 Ġthe                Ġnext               Ġtwenty             Ġto                 Ġfifty              Ġyears              Ġthere              Ġwon                't                  Ġany                Ġoil                Ġany                Ġoil               
Timings          : (48.225, 48.375)    (48.375, 48.445)    (48.445, 48.505)    (48.505, 48.975)    (48.975, 49.215)    (49.215, 49.285)    (49.285, 49.585)    (49.585, 50.106)    (50.106, 50.215)    (50.215, 50.318)    (50.318, 50.421)    (50.421, 50.704)    (50.704, 50.858)    (50.858, 51.043)    (51.043, 51.305)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643      82863340912643     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġfeel               Ġthat               Ġas                 Ġfar                Ġas                 Ġus                 Ġpolicy             's                  Ġbeen              
Timings          : (51.305, 51.575)    (51.745, 51.814)    (51.814, 51.884)    (51.884, 52.216)    (53.458, 53.646)    (53.646, 53.805)    (53.925, 54.255)    (54.255, 54.505)    (55.065, 55.285)    (55.285, 55.545)    (55.545, 55.665)    (55.665, 55.965)    (55.965, 56.34)     (56.34, 56.715)     (56.715, 56.975)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260      82859582816260     
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġleft               Ġi                  'm                  Ġsure               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (51.305, 51.575)    (51.745, 51.814)    (51.814, 51.884)    (51.884, 52.216)    (-1.0, -1.0)        (53.646, 53.805)    (53.925, 54.255)    (54.255, 54.505)    (55.065, 55.285)    (55.285, 55.545)    (55.545, 55.665)    (55.665, 55.965)    (55.965, 56.34)     (56.34, 56.715)     (56.715, 56.975)   
Token Types      : 4                   4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
