A                : um                  Ġi                  've                 Ġhad                Ġuh                 Ġthree              Ġboys               Ġthrough            Ġi                  Ġguess              Ġuh                 Ġsome               Ġchild              Ġcare               Ġeach              
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.277, 6.417)      (6.417, 6.477)      (6.477, 6.597)      (6.597, 6.727)      (6.727, 6.917)      (6.917, 6.977)      (6.977, 7.037)      (7.037, 7.137)      (7.137, 7.437)      (7.437, 7.577)      (7.577, 7.637)      (7.637, 7.697)      (7.697, 7.897)      (7.897, 8.155)      (8.155, 8.414)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġuh                 Ġi                  Ġguess              Ġi                  Ġwould              Ġsay                Ġit                 's                  Ġnot                Ġeasy               Ġto                 Ġfind               Ġwhat               Ġwhat               Ġmost              
Timings          : (8.414, 8.567)      (9.498, 9.601)      (9.601, 9.772)      (9.772, 9.872)      (9.872, 9.992)      (9.992, 10.172)     (10.172, 10.252)    (10.252, 10.332)    (10.332, 10.542)    (10.542, 10.722)    (10.722, 10.812)    (10.812, 11.112)    (11.112, 11.323)    (11.323, 11.622)    (11.622, 11.882)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240      79870285578240     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (8.414, 8.567)      (9.498, 9.601)      (9.601, 9.772)      (9.772, 9.872)      (9.872, 9.992)      (9.992, 10.172)     (10.172, 10.252)    (10.252, 10.332)    (10.332, 10.542)    (10.542, 10.722)    (10.722, 10.812)    (10.812, 11.112)    (11.112, 11.323)    (11.323, 11.622)    (11.622, 11.882)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġparents            Ġwould              Ġwant               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.882, 12.192)    (12.192, 12.342)    (12.342, 12.565)    (-1.0, -1.0)        (13.542, 13.676)    (13.676, 13.83)     (13.83, 14.232)     (14.232, 14.372)    (14.372, 14.572)    (14.572, 14.842)    (14.842, 14.927)    (14.927, 15.012)    (15.012, 15.162)    (15.162, 15.332)    (15.332, 15.462)   
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79870285578240      79870285578240      79870285578240      79870285578240      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               well                Ġi                  Ġcan                Ġprofit             Ġby                 Ġthis               Ġbecause            Ġi                  'm                  Ġdue                Ġwith               Ġmy                
Timings          : (11.882, 12.192)    (12.192, 12.342)    (12.342, 12.565)    (13.196, 13.542)    (13.542, 13.676)    (13.676, 13.83)     (13.83, 14.232)     (14.232, 14.372)    (14.372, 14.572)    (14.572, 14.842)    (14.842, 14.927)    (14.927, 15.012)    (15.012, 15.162)    (15.162, 15.332)    (15.332, 15.462)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġis                 Ġthat               Ġright              Ġi                  Ġguess              Ġuh                 Ġthe                Ġum                 Ġthe                Ġonly              
Timings          : (15.462, 15.872)    (15.872, 15.942)    (15.942, 16.182)    (16.182, 16.342)    (16.342, 16.813)    (16.814, 17.022)    (17.022, 17.252)    (17.252, 17.567)    (18.742, 18.86)     (18.86, 19.164)     (19.164, 19.496)    (20.454, 20.64)     (20.64, 20.938)     (21.066, 21.134)    (21.134, 21.324)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġfirst              Ġin                 Ġabout              Ġthree              Ġmonths             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (15.462, 15.872)    (15.872, 15.942)    (15.942, 16.182)    (16.182, 16.342)    (16.342, 16.813)    (-1.0, -1.0)        (17.022, 17.252)    (17.252, 17.567)    (18.742, 18.86)     (18.86, 19.164)     (19.164, 19.496)    (20.454, 20.64)     (20.64, 20.938)     (21.066, 21.134)    (21.134, 21.324)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      79870822449153      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġrule               Ġi                  Ġcan                Ġthink              Ġof                 Ġis                 Ġthat               Ġuh                 Ġi                  Ġlike               Ġto                 Ġfind               Ġlook               Ġfor                Ġplaces            
Timings          : (21.324, 21.614)    (21.614, 21.654)    (21.654, 21.814)    (21.814, 22.034)    (22.034, 22.204)    (22.204, 22.374)    (22.374, 22.684)    (22.684, 22.924)    (23.819, 23.924)    (23.924, 24.125)    (24.125, 24.218)    (24.218, 24.348)    (24.744, 24.887)    (24.887, 25.027)    (25.027, 25.477)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.324, 21.614)    (21.614, 21.654)    (21.654, 21.814)    (21.814, 22.034)    (22.034, 22.204)    (22.204, 22.374)    (22.374, 22.684)    (22.684, 22.924)    (23.819, 23.924)    (23.924, 24.125)    (24.125, 24.218)    (24.218, 24.348)    (24.744, 24.887)    (24.887, 25.027)    (25.027, 25.477)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġwith               Ġuh                 Ġgood               Ġrespectable        Ġnonprofit          Ġbehind             Ġthem               Ġlike               Ġa                  Ġuniversity         Ġor                 Ġa                  Ġhospital           Ġor                 Ġsomething         
Timings          : (25.477, 25.682)    (25.682, 25.917)    (26.825, 26.996)    (26.996, 27.646)    (27.646, 28.276)    (28.83, 29.176)     (29.176, 29.266)    (29.266, 29.416)    (29.416, 29.446)    (29.446, 30.066)    (30.066, 30.176)    (30.176, 30.206)    (30.206, 30.596)    (30.596, 30.666)    (30.666, 30.936)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.477, 25.682)    (25.682, 25.917)    (26.825, 26.996)    (26.996, 27.646)    (27.646, 28.276)    (28.83, 29.176)     (29.176, 29.266)    (29.266, 29.416)    (29.416, 29.446)    (29.446, 30.066)    (30.066, 30.176)    (30.176, 30.206)    (30.206, 30.596)    (30.596, 30.666)    (30.666, 30.936)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġlike               Ġthat               Ġif                 Ġthey               're                 Ġassociated         Ġwith               Ġa                  Ġcollege            Ġor                 Ġa                  Ġuniversity         Ġthey               're                 Ġusually           
Timings          : (30.936, 31.126)    (31.126, 31.356)    (31.356, 31.486)    (31.486, 31.546)    (31.546, 31.606)    (31.606, 32.196)    (32.196, 32.349)    (32.349, 32.446)    (32.446, 32.916)    (32.916, 33.026)    (33.026, 33.056)    (33.056, 33.606)    (33.606, 33.671)    (33.671, 33.736)    (33.736, 34.026)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242      79870285578242     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (30.936, 31.126)    (31.126, 31.356)    (31.356, 31.486)    (31.486, 31.546)    (31.546, 31.606)    (31.606, 32.196)    (32.196, 32.349)    (32.349, 32.446)    (32.446, 32.916)    (32.916, 33.026)    (33.026, 33.056)    (33.056, 33.606)    (33.606, 33.671)    (33.671, 33.736)    (33.736, 34.026)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpretty             Ġgood               Ġbet                <eot>               Ġum                 Ġi                  Ġthink              Ġit                 's                  Ġsort               Ġof                 Ġthe                Ġopposite           Ġof                 Ġwhat              
Timings          : (34.026, 34.256)    (34.256, 34.456)    (34.456, 34.687)    (-1.0, -1.0)        (36.12, 36.494)     (37.355, 37.439)    (37.439, 37.641)    (37.641, 37.692)    (37.692, 37.743)    (37.743, 37.883)    (37.883, 37.959)    (37.959, 38.104)    (38.104, 38.464)    (38.464, 38.583)    (38.583, 38.764)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578242      79870285578242      79870285578242      79870285578242      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġno                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (34.026, 34.256)    (34.256, 34.456)    (34.456, 34.687)    (35.561, 35.935)    (-1.0, -1.0)        (37.355, 37.439)    (37.439, 37.641)    (37.641, 37.692)    (37.692, 37.743)    (37.743, 37.883)    (37.883, 37.959)    (37.959, 38.104)    (38.104, 38.464)    (38.464, 38.583)    (38.583, 38.764)   
Token Types      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   79870822449155      79870822449155      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġwould              Ġwant               Ġwhen               Ġyou                Ġbuy                Ġcar                Ġor                 Ġrefrigerator       Ġsomething          Ġyou                'd                  Ġlike               Ġto                 Ġget               
Timings          : (38.764, 38.833)    (38.833, 38.964)    (38.964, 39.164)    (39.164, 39.254)    (39.254, 39.333)    (39.333, 39.583)    (39.583, 39.883)    (39.883, 40.113)    (40.113, 40.694)    (40.694, 41.004)    (41.004, 41.063)    (41.063, 41.124)    (41.124, 41.273)    (41.273, 41.374)    (41.374, 41.504)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.764, 38.833)    (38.833, 38.964)    (38.964, 39.164)    (39.164, 39.254)    (39.254, 39.333)    (39.333, 39.583)    (39.583, 39.883)    (39.883, 40.113)    (40.113, 40.694)    (40.694, 41.004)    (41.004, 41.063)    (41.063, 41.124)    (41.124, 41.273)    (41.273, 41.374)    (41.374, 41.504)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġit                 Ġfrom               Ġsome               Ġgood               Ġcut                thro                at                  Ġcapitalist         Ġcompany            Ġbut                Ġnot                Ġwith               Ġchild              Ġcare               <eot>              
Timings          : (41.504, 41.583)    (41.583, 41.734)    (41.734, 42.01)     (43.178, 43.398)    (43.398, 43.545)    (43.545, 43.691)    (43.691, 43.838)    (43.838, 44.503)    (45.156, 45.538)    (45.538, 45.698)    (45.698, 45.898)    (45.898, 46.008)    (46.008, 46.295)    (46.295, 46.705)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244      79870285578244     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                 
Timings          : (41.504, 41.583)    (41.583, 41.734)    (41.734, 42.01)     (43.178, 43.398)    (43.398, 43.545)    (43.545, 43.691)    (43.691, 43.838)    (43.838, 44.503)    (45.156, 45.538)    (45.538, 45.698)    (45.698, 45.898)    (45.898, 46.008)    (46.008, 46.295)    (46.295, 46.705)    (46.868, 47.05)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79870822449157     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                  


A                : <emp>               <emp>               <emp>               <emp>               i                   <eint>              <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġfor                Ġprofit             Ġplaces             Ġi                 
Timings          : (47.05, 47.326)     (47.326, 47.598)    (47.598, 48.083)    (48.083, 48.198)    (48.232, 48.335)    (-1.0, -1.0)        (48.558, 48.608)    (48.608, 49.008)    (49.008, 49.278)    (49.278, 49.593)    (50.108, 50.392)    (50.392, 50.521)    (50.521, 50.951)    (50.951, 51.35)     (51.35, 51.44)     
Token Types      : 0                   0                   0                   0                   5                   5                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   79874580545539      79874580545539      0                   0                   0                   0                   79873506803718      79873506803718      79873506803718      79873506803718      79873506803718     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġguess              Ġnot                Ġusually            Ġi                  Ġsuppose            Ġyou                're                 Ġabsolutely         Ġright              Ġthere              <emp>               Ġum                 hum                 <yield>             <emp>              
Timings          : (47.05, 47.326)     (47.326, 47.598)    (47.598, 48.083)    (48.083, 48.198)    (48.198, 48.508)    (48.508, 48.558)    (48.558, 48.608)    (48.608, 49.008)    (49.008, 49.278)    (49.278, 49.593)    (50.108, 50.392)    (50.281, 50.544)    (50.544, 50.807)    (-1.0, -1.0)        (51.35, 51.44)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
