A                : so                  Ġuh                 Ġwhat               Ġuh                 Ġkind               Ġof                 Ġclothing           Ġdo                 Ġyou                Ġhave               Ġto                 Ġwear               Ġfor                Ġwork               <eot>              
turn_ids         : 83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.808, 14.198)    (14.198, 14.588)    (14.588, 14.898)    (14.898, 15.081)    (16.289, 16.71)     (16.71, 16.815)     (16.815, 17.01)     (17.01, 17.06)      (17.06, 17.68)      (17.68, 18.1)       (18.1, 18.55)       (18.55, 18.7)       (18.7, 18.77)       (18.77, 19.008)     (20.322, 20.669)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġwear               Ġanything           Ġfrom               Ġuh                 Ġjeans              Ġand                Ġuh                 Ġa                  Ġsport              Ġshirt              Ġto                 Ġa                  Ġyou                Ġknow               Ġdress             
Timings          : (13.808, 14.198)    (14.198, 14.588)    (14.588, 14.898)    (14.898, 15.081)    (16.289, 16.71)     (16.71, 16.815)     (16.815, 17.01)     (17.01, 17.06)      (17.06, 17.68)      (17.68, 18.1)       (18.1, 18.55)       (18.55, 18.7)       (18.7, 18.77)       (18.77, 19.008)     (20.322, 20.669)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġdon                't                 
Timings          : (20.669, 20.845)    (20.845, 21.021)    (21.123, 21.285)    (21.285, 21.504)    (21.504, 21.844)    (23.717, 23.9)      (23.9, 24.162)      (24.162, 24.272)    (24.272, 24.632)    (24.632, 24.912)    (24.912, 25.232)    (26.189, 26.932)    (27.828, 27.987)    (27.987, 28.084)    (28.084, 28.18)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83752936013826      83752936013826      83752936013826      83752936013826     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : Ġsl                 acks                Ġor                 Ġdress              Ġshirt              Ġno                 Ġcoat               Ġand                Ġtie                Ġthanks             Ġgoodness           <eot>               <emp>               <emp>               <emp>              
Timings          : (20.669, 20.845)    (20.845, 21.021)    (21.123, 21.285)    (21.285, 21.504)    (21.504, 21.844)    (23.717, 23.9)      (23.9, 24.162)      (24.162, 24.272)    (24.272, 24.632)    (24.632, 24.912)    (24.912, 25.232)    (-1.0, -1.0)        (27.828, 27.987)    (27.987, 28.084)    (28.084, 28.18)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      83753472884737      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġlike               Ġthose              Ġmuch               Ġmyself             <eot>               <emp>               <emp>               Ġuh                 Ġit                 's                  Ġit                 's                  Ġpretty             Ġcasual             Ġuh                
Timings          : (28.18, 28.37)      (28.37, 28.59)      (28.59, 28.85)      (28.85, 29.442)     (-1.0, -1.0)        (29.936, 30.158)    (30.158, 30.488)    (31.908, 32.385)    (32.385, 32.555)    (32.555, 32.725)    (33.275, 33.355)    (33.355, 33.435)    (33.435, 33.745)    (33.745, 34.515)    (34.515, 34.815)   
Token Types      : 1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013826      83752936013826      83752936013826      83752936013826      83752936013826      0                   0                   83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828     
turn_end_types   : 1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               Ġhow                Ġabout              Ġyou                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (28.18, 28.37)      (28.37, 28.59)      (28.59, 28.85)      (28.85, 29.442)     (29.861, 29.936)    (29.936, 30.158)    (30.158, 30.488)    (-1.0, -1.0)        (32.385, 32.555)    (32.555, 32.725)    (33.275, 33.355)    (33.355, 33.435)    (33.435, 33.745)    (33.745, 34.515)    (34.515, 34.815)   
Token Types      : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   83753472884739      83753472884739      83753472884739      83753472884739      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġusually            Ġuh                 Ġusually            Ġwear               Ġsomething          Ġlike               Ġjeans              Ġsneakers           Ġuh                 <eot>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.842, 36.035)    (36.035, 36.542)    (36.542, 36.797)    (38.223, 38.513)    (38.513, 38.743)    (38.743, 38.953)    (38.953, 39.133)    (39.133, 39.603)    (39.603, 40.472)    (42.183, 43.188)    (-1.0, -1.0)        (44.234, 44.304)    (44.304, 44.554)    (44.554, 44.674)    (44.674, 44.935)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
turn_ids         : 83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      83752936013828      0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġkind               Ġof                 Ġwork               Ġyou                Ġdo                
Timings          : (35.842, 36.035)    (36.035, 36.542)    (36.542, 36.797)    (38.223, 38.513)    (38.513, 38.743)    (38.743, 38.953)    (38.953, 39.133)    (39.133, 39.603)    (39.603, 40.472)    (42.183, 43.188)    (44.075, 44.234)    (44.234, 44.304)    (44.304, 44.554)    (44.554, 44.674)    (44.674, 44.935)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83753472884741      83753472884741      83753472884741      83753472884741      83753472884741     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                  


A                : Ġum                 Ġi                  Ġdo                 Ġengineering        Ġuh                 Ġusing              Ġuh                 Ġcomputer           Ġoperated           Ġand                Ġgrading            Ġmachines           <emp>               <emp>               Ġand               
Timings          : (45.479, 46.037)    (46.153, 46.277)    (46.277, 46.396)    (46.396, 47.126)    (47.126, 47.573)    (47.735, 48.316)    (48.316, 48.6)      (48.984, 49.608)    (50.102, 50.606)    (50.606, 50.696)    (50.696, 51.006)    (51.006, 51.584)    (52.19, 52.354)     (52.354, 52.562)    (53.013, 53.303)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               oh                  Ġyeah               <ebc>              
Timings          : (-1.0, -1.0)        (46.153, 46.277)    (46.277, 46.396)    (46.396, 47.126)    (47.126, 47.573)    (47.735, 48.316)    (48.316, 48.6)      (48.984, 49.608)    (50.102, 50.606)    (50.606, 50.696)    (50.696, 51.006)    (51.006, 51.584)    (52.19, 52.354)     (52.354, 52.562)    (-1.0, -1.0)       
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                  
turn_ids         : 83753472884741      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83755620368387      83755620368387      83755620368387     
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  


A                : Ġsome               Ġof                 Ġit                 Ġso                 Ġsome               Ġof                 <yield>             <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġsome               Ġof                 Ġit                
Timings          : (53.303, 53.517)    (53.517, 53.637)    (53.637, 53.777)    (53.937, 54.107)    (54.107, 54.255)    (54.255, 54.379)    (-1.0, -1.0)        (54.473, 54.619)    (54.619, 54.77)     (54.77, 55.02)      (55.02, 55.592)     (56.382, 56.825)    (56.825, 56.973)    (56.973, 57.093)    (57.093, 57.263)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      83752936013830      0                   0                   0                   0                   83752936013832      83752936013832      83752936013832      83752936013832     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               Ġi                  Ġguess              <emp>               Ġthat               Ġwould              Ġbe                 Ġpretty             Ġcasual             <eot>               <emp>               <emp>               <emp>              
Timings          : (53.303, 53.517)    (53.517, 53.637)    (53.637, 53.777)    (53.987, 54.111)    (54.111, 54.242)    (54.255, 54.379)    (54.394, 54.473)    (54.473, 54.619)    (54.619, 54.77)     (54.77, 55.02)      (55.02, 55.592)     (-1.0, -1.0)        (56.825, 56.973)    (56.973, 57.093)    (57.093, 57.263)   
Token Types      : 0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                   0                   0                  
turn_ids         : 0                   0                   0                   83756694110215      83756694110215      83756694110215      83756694110215      83756694110215      83756694110215      83756694110215      83756694110215      83756694110215      0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : 's                  Ġuh                 Ġi                  Ġmean               Ġi                  Ġdon                't                  Ġhave               Ġto                 Ġsee                Ġcustomers          Ġor                 Ġanything           <emp>               Ġbut               
Timings          : (57.263, 57.433)    (57.433, 57.794)    (58.65, 58.756)     (58.756, 58.852)    (58.852, 58.943)    (58.943, 58.998)    (58.998, 59.053)    (59.053, 59.163)    (59.163, 59.283)    (59.283, 59.433)    (59.433, 59.993)    (59.993, 60.073)    (60.073, 60.395)    (61.456, 61.696)    (61.866, 61.998)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               <ebc>              
Timings          : (57.263, 57.433)    (57.433, 57.794)    (58.65, 58.756)     (58.756, 58.852)    (58.852, 58.943)    (58.943, 58.998)    (58.998, 59.053)    (59.053, 59.163)    (59.163, 59.283)    (59.283, 59.433)    (59.433, 59.993)    (59.993, 60.073)    (60.073, 60.395)    (61.456, 61.696)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83755620368389      83755620368389     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġsome               Ġof                 Ġit                 's                  Ġa                  Ġlittle             Ġbit                Ġdirty              Ġyou                Ġknow               Ġyou                Ġgot                Ġall                Ġthis               Ġmachinery         
Timings          : (61.998, 62.213)    (62.213, 62.283)    (62.283, 62.388)    (62.388, 62.493)    (62.493, 62.553)    (62.553, 62.713)    (62.713, 62.843)    (62.953, 63.403)    (63.403, 63.573)    (63.573, 63.693)    (63.693, 63.753)    (63.753, 63.913)    (63.913, 63.993)    (63.993, 64.173)    (64.173, 64.723)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (61.998, 62.213)    (62.213, 62.283)    (62.283, 62.388)    (62.388, 62.493)    (62.493, 62.553)    (62.553, 62.713)    (62.713, 62.843)    (62.953, 63.403)    (63.403, 63.573)    (63.573, 63.693)    (63.693, 63.753)    (63.753, 63.913)    (63.913, 63.993)    (63.993, 64.173)    (64.173, 64.723)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġstuff              Ġso                 Ġyou                Ġdon                't                  Ġreally             Ġwant               Ġto                 Ġbe                 Ġwearing            Ġyour               Ġbest               Ġstuff              Ġfor               
Timings          : (64.723, 64.843)    (64.843, 65.246)    (65.246, 65.481)    (66.142, 66.228)    (66.228, 66.281)    (66.281, 66.333)    (66.333, 66.533)    (66.533, 66.683)    (66.683, 66.753)    (66.753, 67.148)    (68.087, 68.394)    (68.394, 68.662)    (70.009, 70.301)    (70.301, 70.669)    (70.669, 71.329)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832      83752936013832     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (64.723, 64.843)    (64.843, 65.246)    (65.246, 65.481)    (66.142, 66.228)    (66.228, 66.281)    (66.281, 66.333)    (66.333, 66.533)    (66.533, 66.683)    (66.683, 66.753)    (66.753, 67.148)    (68.087, 68.394)    (68.394, 68.662)    (70.009, 70.301)    (70.301, 70.669)    (70.669, 71.329)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthat               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (71.329, 71.962)    (-1.0, -1.0)        (73.607, 73.665)    (73.665, 73.785)    (73.785, 73.985)    (73.985, 74.315)    (74.315, 74.405)    (74.405, 74.915)    (74.915, 75.437)    (75.437, 75.601)    (78.068, 78.258)    (78.258, 78.768)    (78.768, 79.128)    (79.128, 79.468)    (79.468, 79.548)   
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83752936013832      83752936013832      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               Ġwell               Ġi                  Ġwas                Ġin                 Ġthe                Ġuh                 Ġretail             Ġbusiness           Ġfor                Ġabout              Ġfifteen            Ġyears              Ġso                 Ġi                 
Timings          : (71.329, 71.962)    (73.496, 73.607)    (73.607, 73.665)    (73.665, 73.785)    (73.785, 73.985)    (73.985, 74.315)    (74.315, 74.405)    (74.405, 74.915)    (74.915, 75.437)    (75.437, 75.601)    (78.068, 78.258)    (78.258, 78.768)    (78.768, 79.128)    (79.128, 79.468)    (79.468, 79.548)   
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 Ġyeah               Ġfifteen            Ġyears              <eot>               <emp>               Ġwere              
Timings          : (79.548, 79.729)    (80.973, 81.111)    (81.111, 81.28)     (81.28, 81.575)     (81.575, 81.695)    (81.695, 81.935)    (81.935, 82.035)    (82.035, 82.503)    (82.91, 83.32)      (83.32, 83.827)     (86.02, 86.53)      (86.53, 87.038)     (-1.0, -1.0)        (87.607, 87.783)    (90.755, 91.072)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   83752936013834      83752936013834      83752936013834      83752936013834      83752936013834      0                   83752936013836     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   0                   1                  

B                : Ġuh                 Ġhad                Ġmy                 Ġfill               Ġof                 Ġcoat               Ġand                Ġties               <eot>               <emp>               <emp>               <emp>               Ġy                  ep                  <eot>              
Timings          : (79.548, 79.729)    (80.973, 81.111)    (81.111, 81.28)     (81.28, 81.575)     (81.575, 81.695)    (81.695, 81.935)    (81.935, 82.035)    (82.035, 82.503)    (-1.0, -1.0)        (83.32, 83.827)     (86.02, 86.53)      (86.53, 87.038)     (87.43, 87.607)     (87.607, 87.783)    (-1.0, -1.0)       
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
turn_ids         : 83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      83753472884745      0                   0                   0                   83753472884747      83753472884747      83753472884747     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   2                   2                   2                  


A                : Ġwere               Ġyou                Ġsuperv             ising               Ġthen               Ġtoo                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (91.072, 91.19)     (91.19, 91.301)     (91.301, 91.617)    (91.617, 91.932)    (91.932, 92.102)    (92.102, 92.459)    (-1.0, -1.0)        (93.277, 93.437)    (93.437, 93.786)    (94.174, 94.357)    (94.357, 94.817)    (94.817, 94.967)    (94.967, 95.152)    (95.152, 95.337)    (95.337, 95.765)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83752936013836      83752936013836      83752936013836      83752936013836      83752936013836      83752936013836      83752936013836      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġwas                Ġuh                 Ġstore              Ġmanager            Ġfor                Ġkin                ney                 Ġshoes             
Timings          : (91.072, 91.19)     (91.19, 91.301)     (91.301, 91.617)    (91.617, 91.932)    (91.932, 92.102)    (92.102, 92.459)    (93.127, 93.277)    (93.277, 93.437)    (93.437, 93.786)    (94.174, 94.357)    (94.357, 94.817)    (94.817, 94.967)    (94.967, 95.152)    (95.152, 95.337)    (95.337, 95.765)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
