A                : well                Ġbr                 ad                  Ġwhat               Ġdo                 Ġyou                Ġhear               Ġin                 Ġsan                Ġj                  ose                 Ġabout              Ġro                 ss                  Ġper               
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (3.685, 3.92)       (3.92, 4.04)        (4.04, 4.17)        (4.17, 4.34)        (4.34, 4.43)        (4.43, 4.74)        (4.74, 4.8)         (4.8, 4.89)         (4.89, 5.18)        (5.18, 5.28)        (5.28, 5.45)        (5.45, 5.63)        (5.63, 5.81)        (5.81, 5.91)        (5.91, 6.18)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : allas               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (6.18, 6.45)        (-1.0, -1.0)        (8.05, 8.46)        (8.46, 8.65)        (8.65, 8.81)        (8.81, 9.14)        (9.14, 9.29)        (9.29, 9.4)         (9.4, 9.68)         (9.68, 9.77)        (9.77, 9.86)        (9.86, 9.99)        (9.99, 10.03)       (10.03, 10.31)      (10.31, 10.4)      
Token Types      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80677739429888      80677739429888      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               um                  Ġprobably           Ġnot                Ġin                 Ġanywhere           Ġnear               Ġas                 Ġmuch               Ġthere              Ġhave               Ġbeen               Ġa                  Ġcouple             Ġof                
Timings          : (6.18, 6.45)        (7.34, 7.71)        (8.05, 8.46)        (8.46, 8.65)        (8.65, 8.81)        (8.81, 9.14)        (9.14, 9.29)        (9.29, 9.4)         (9.4, 9.68)         (9.68, 9.77)        (9.77, 9.86)        (9.86, 9.99)        (9.99, 10.03)       (10.03, 10.31)      (10.31, 10.4)      
Token Types      : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (10.4, 11.269)      (11.269, 11.78)     (11.78, 11.98)      (11.98, 12.06)      (12.06, 12.14)      (12.14, 12.57)      (12.57, 13.01)      (13.01, 13.43)      (13.564, 14.04)     (14.417, 14.607)    (14.607, 14.727)    (14.727, 14.848)    (14.848, 15.218)    (15.218, 15.46)     (15.95, 16.186)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġarticles           Ġuh                 Ġwhich              Ġi                  've                 Ġbasically          Ġglanced            Ġat                 Ġum                 Ġbut                Ġthat               's                  Ġabout              Ġit                 Ġi                 
Timings          : (10.4, 11.269)      (11.269, 11.78)     (11.78, 11.98)      (11.98, 12.06)      (12.06, 12.14)      (12.14, 12.57)      (12.57, 13.01)      (13.01, 13.43)      (13.564, 14.04)     (14.417, 14.607)    (14.607, 14.727)    (14.727, 14.848)    (14.848, 15.218)    (15.218, 15.46)     (15.95, 16.186)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.589, 16.848)    (16.848, 17.058)    (17.058, 17.198)    (17.198, 17.778)    (17.778, 17.898)    (17.898, 18.338)    (18.338, 18.578)    (18.578, 18.788)    (18.788, 19.297)    (19.843, 20.373)    (20.558, 20.888)    (20.888, 21.058)    (21.058, 21.208)    (21.208, 21.628)    (21.628, 21.688)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġjust               Ġfind               Ġit                 Ġinteresting        Ġthat               Ġsomebody           Ġwith               Ġthat               Ġmuch               Ġmoney              Ġuh                 Ġwould              Ġbe                 Ġinterested         Ġin                
Timings          : (16.589, 16.848)    (16.848, 17.058)    (17.058, 17.198)    (17.198, 17.778)    (17.778, 17.898)    (17.898, 18.338)    (18.338, 18.578)    (18.578, 18.788)    (18.788, 19.297)    (19.843, 20.373)    (20.558, 20.888)    (20.888, 21.058)    (21.058, 21.208)    (21.208, 21.628)    (21.628, 21.688)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.688, 21.748)    (21.748, 22.268)    (22.268, 22.338)    (22.338, 22.408)    (22.408, 22.698)    (22.698, 22.958)    (22.958, 23.028)    (23.028, 23.238)    (23.238, 23.388)    (23.388, 23.538)    (23.538, 23.688)    (23.688, 23.838)    (23.838, 23.988)    (23.988, 24.406)    (24.82, 24.908)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġpresidency         Ġin                 Ġthe                Ġfirst              Ġplace              Ġi                  Ġguess              Ġit                 's                  Ġit                 's                  Ġas                 Ġmuch               Ġyou               
Timings          : (21.688, 21.748)    (21.748, 22.268)    (22.268, 22.338)    (22.338, 22.408)    (22.408, 22.698)    (22.698, 22.958)    (22.958, 23.028)    (23.028, 23.238)    (23.238, 23.388)    (23.388, 23.538)    (23.538, 23.688)    (23.688, 23.838)    (23.838, 23.988)    (23.988, 24.406)    (24.82, 24.908)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (24.908, 24.998)    (24.998, 25.228)    (25.228, 25.308)    (25.308, 25.648)    (25.648, 25.738)    (25.738, 26.148)    (26.148, 26.258)    (26.258, 26.318)    (26.318, 26.568)    (26.568, 26.648)    (26.648, 26.838)    (26.838, 27.058)    (27.058, 27.208)    (27.208, 27.848)    (27.848, 28.338)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġknow               Ġjust               Ġthe                Ġsense              Ġof                 Ġpower              Ġand                Ġthe                Ġsense              Ġof                 Ġbeing              Ġable               Ġto                 Ġaccomplish         Ġthings            
Timings          : (24.908, 24.998)    (24.998, 25.228)    (25.228, 25.308)    (25.308, 25.648)    (25.648, 25.738)    (25.738, 26.148)    (26.148, 26.258)    (26.258, 26.318)    (26.318, 26.568)    (26.568, 26.648)    (26.648, 26.838)    (26.838, 27.058)    (27.058, 27.208)    (27.208, 27.848)    (27.848, 28.338)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.067, 29.518)    (29.833, 29.947)    (29.947, 30.157)    (30.157, 30.237)    (30.237, 30.547)    (30.547, 30.867)    (30.867, 30.937)    (30.937, 31.002)    (31.002, 31.067)    (31.067, 31.231)    (31.367, 31.457)    (31.457, 31.687)    (31.687, 31.807)    (31.807, 31.977)    (31.977, 32.087)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġas                 Ġmuch               Ġas                 Ġanything           Ġelse               Ġi                  Ġdon                't                  Ġknow               Ġit                 Ġseems              Ġto                 Ġme                 Ġthat              
Timings          : (29.067, 29.518)    (29.833, 29.947)    (29.947, 30.157)    (30.157, 30.237)    (30.237, 30.547)    (30.547, 30.867)    (30.867, 30.937)    (30.937, 31.002)    (31.002, 31.067)    (31.067, 31.231)    (31.367, 31.457)    (31.457, 31.687)    (31.687, 31.807)    (31.807, 31.977)    (31.977, 32.087)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.087, 32.217)    (32.217, 32.327)    (32.327, 32.497)    (32.497, 32.657)    (32.657, 32.827)    (32.827, 32.887)    (32.887, 33.157)    (33.157, 33.207)    (33.207, 33.327)    (33.327, 33.507)    (33.507, 33.647)    (33.647, 33.717)    (33.717, 33.857)    (33.857, 34.107)    (34.107, 34.747)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġif                 Ġi                  Ġhad                Ġthat               Ġkind               Ġof                 Ġmoney              Ġi                  Ġwould              Ġfeel               Ġlike               Ġi                  Ġwere               Ġmore               Ġinfluential       
Timings          : (32.087, 32.217)    (32.217, 32.327)    (32.327, 32.497)    (32.497, 32.657)    (32.657, 32.827)    (32.827, 32.887)    (32.887, 33.157)    (33.157, 33.207)    (33.207, 33.327)    (33.327, 33.507)    (33.507, 33.647)    (33.647, 33.717)    (33.717, 33.857)    (33.857, 34.107)    (34.107, 34.747)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġthat               Ġcould              Ġbe                 Ġuh                 Ġro                 ss                 
Timings          : (34.747, 34.847)    (34.847, 34.897)    (34.897, 35.227)    (35.227, 35.697)    (35.697, 35.817)    (35.817, 35.987)    (35.987, 36.057)    (36.057, 36.605)    (37.407, 37.627)    (37.627, 37.817)    (37.817, 38.067)    (38.067, 38.487)    (38.487, 38.937)    (39.556, 39.636)    (39.636, 39.716)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġas                 Ġa                  Ġprivate            Ġcitizen            Ġthan               Ġas                 Ġthe                Ġpresident          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (34.747, 34.847)    (34.847, 34.897)    (34.897, 35.227)    (35.227, 35.697)    (35.697, 35.817)    (35.817, 35.987)    (35.987, 36.057)    (36.057, 36.605)    (-1.0, -1.0)        (37.627, 37.817)    (37.817, 38.067)    (38.067, 38.487)    (38.487, 38.937)    (39.556, 39.636)    (39.636, 39.716)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      80678276300801      0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġro                 ss                  Ġper                ot                  Ġis                 Ġnot                Ġa                  Ġpolitician         Ġi                  Ġmean               Ġthis               Ġis                 Ġkind               Ġof                 Ġnew               
Timings          : (39.886, 40.036)    (40.036, 40.187)    (40.187, 40.402)    (40.402, 40.617)    (40.617, 40.727)    (40.727, 40.967)    (40.967, 41.007)    (41.007, 41.947)    (42.215, 42.302)    (42.302, 42.677)    (43.819, 43.959)    (43.959, 44.079)    (44.079, 44.299)    (44.299, 44.399)    (44.399, 44.736)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.886, 40.036)    (40.036, 40.187)    (40.187, 40.402)    (40.402, 40.617)    (40.617, 40.727)    (40.727, 40.967)    (40.967, 41.007)    (41.007, 41.947)    (42.215, 42.302)    (42.302, 42.677)    (43.819, 43.959)    (43.959, 44.079)    (44.079, 44.299)    (44.299, 44.399)    (44.399, 44.736)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġhim                <emp>               <emp>               Ġi                  Ġi                  Ġdon                't                  Ġknow               Ġare                Ġyou                Ġfamiliar           Ġwith               Ġthings             Ġthat              
Timings          : (44.736, 44.85)     (44.85, 45.239)     (45.348, 45.544)    (45.544, 45.74)     (45.709, 45.959)    (45.959, 46.099)    (46.099, 46.184)    (46.184, 46.269)    (46.269, 46.549)    (46.749, 46.869)    (46.869, 47.049)    (47.049, 47.509)    (47.509, 47.669)    (47.669, 47.999)    (47.999, 48.099)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890      80677739429890     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (44.736, 44.85)     (44.85, 45.239)     (45.348, 45.544)    (45.544, 45.74)     (-1.0, -1.0)        (45.959, 46.099)    (46.099, 46.184)    (46.184, 46.269)    (46.269, 46.549)    (46.749, 46.869)    (46.869, 47.049)    (47.049, 47.509)    (47.509, 47.669)    (47.669, 47.999)    (47.999, 48.099)   
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
