A                : so                  <eot>               <emp>               <emp>               <emp>               Ġuh                 Ġi                  Ġcan                Ġstart              Ġthe                Ġnotion             Ġof                 Ġa                  Ġum                 Ġof                
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.38, 16.93)      (16.93, 17.43)      (17.43, 17.88)      (17.88, 18.27)      (18.27, 18.48)      (18.48, 19.015)     (19.459, 19.912)    (22.155, 22.387)    (22.678, 22.831)    (22.831, 23.311)    (23.311, 23.701)    (23.701, 24.328)    (24.328, 24.704)    (24.704, 25.081)    (25.694, 25.831)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġpeople             Ġaren               't                  Ġwilling            Ġto                 Ġdo                 Ġit                 Ġdo                 Ġanything           Ġlike               Ġthat               Ġon                 Ġtheir              Ġown                Ġand               
Timings          : (25.831, 26.161)    (26.161, 26.276)    (26.276, 26.391)    (26.391, 26.711)    (26.711, 26.881)    (26.881, 27.091)    (27.091, 27.544)    (28.611, 28.732)    (28.732, 29.092)    (29.092, 29.312)    (29.312, 29.522)    (29.522, 29.652)    (29.652, 29.832)    (29.832, 30.286)    (30.621, 30.722)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.831, 26.161)    (26.161, 26.276)    (26.276, 26.391)    (26.391, 26.711)    (26.711, 26.881)    (26.881, 27.091)    (27.091, 27.544)    (28.611, 28.732)    (28.732, 29.092)    (29.092, 29.312)    (29.312, 29.522)    (29.522, 29.652)    (29.652, 29.832)    (29.832, 30.286)    (30.621, 30.722)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġguess              Ġit                 Ġwould              Ġhave               Ġto                 Ġbe                 Ġreally             Ġand                Ġtruly              Ġuniversal          Ġand                Ġthen               Ġi                  Ġthink             
Timings          : (30.722, 30.752)    (30.752, 30.872)    (30.872, 30.932)    (30.932, 31.022)    (31.022, 31.192)    (31.192, 31.322)    (31.322, 31.442)    (31.442, 31.842)    (31.842, 31.952)    (31.952, 32.312)    (32.312, 33.099)    (33.321, 33.462)    (33.462, 33.592)    (33.592, 33.642)    (33.642, 33.882)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (30.722, 30.752)    (30.752, 30.872)    (30.872, 30.932)    (30.932, 31.022)    (31.022, 31.192)    (31.192, 31.322)    (31.322, 31.442)    (31.442, 31.842)    (31.842, 31.952)    (31.952, 32.312)    (32.312, 33.099)    (33.321, 33.462)    (33.462, 33.592)    (33.592, 33.642)    (33.642, 33.882)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġstart              Ġrunning            Ġinto               Ġall                Ġsorts              Ġof                 Ġpeople             's                  Ġreligious          Ġobjections         Ġand                Ġyou                Ġknow               Ġand               
Timings          : (33.882, 33.972)    (33.972, 34.212)    (34.212, 34.492)    (34.492, 34.712)    (34.712, 34.882)    (34.882, 35.162)    (35.162, 35.222)    (35.222, 35.526)    (35.526, 35.829)    (36.552, 37.002)    (37.002, 37.962)    (37.962, 38.511)    (38.932, 39.072)    (39.072, 39.362)    (39.362, 39.642)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.882, 33.972)    (33.972, 34.212)    (34.212, 34.492)    (34.492, 34.712)    (34.712, 34.882)    (34.882, 35.162)    (35.162, 35.222)    (35.222, 35.526)    (35.526, 35.829)    (36.552, 37.002)    (37.002, 37.962)    (37.962, 38.511)    (38.932, 39.072)    (39.072, 39.362)    (39.362, 39.642)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġhow                Ġdo                 Ġyou                Ġmake               Ġallowances         Ġfor                Ġeverybody          's                  Ġculture            Ġif                 Ġyou                Ġtry                Ġto                 Ġforce             
Timings          : (39.642, 39.832)    (39.832, 40.012)    (40.012, 40.112)    (40.112, 40.532)    (42.278, 42.888)    (42.888, 43.522)    (43.522, 43.652)    (43.652, 43.892)    (43.892, 44.132)    (44.132, 44.678)    (44.678, 44.792)    (44.792, 44.872)    (44.872, 45.232)    (45.232, 45.302)    (45.302, 45.682)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.642, 39.832)    (39.832, 40.012)    (40.012, 40.112)    (40.112, 40.532)    (42.278, 42.888)    (42.888, 43.522)    (43.522, 43.652)    (43.652, 43.892)    (43.892, 44.132)    (44.132, 44.678)    (44.678, 44.792)    (44.792, 44.872)    (44.872, 45.232)    (45.232, 45.302)    (45.302, 45.682)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġfit                Ġeverybody          Ġinto               Ġthings             Ġand                Ġyeah               Ġi                  Ġjust               Ġi                  Ġthe                Ġlogistics          Ġof                 Ġit                 Ġjust               Ġseem              
Timings          : (45.682, 46.102)    (46.102, 46.552)    (46.552, 46.782)    (46.782, 47.332)    (47.332, 47.622)    (48.044, 48.192)    (48.192, 48.242)    (48.242, 48.539)    (48.715, 48.911)    (49.231, 49.355)    (49.355, 49.992)    (49.992, 50.162)    (50.162, 50.262)    (50.262, 50.472)    (50.472, 50.642)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (45.682, 46.102)    (46.102, 46.552)    (46.552, 46.782)    (46.782, 47.332)    (47.332, 47.622)    (48.044, 48.192)    (48.192, 48.242)    (48.242, 48.539)    (48.715, 48.911)    (49.231, 49.355)    (49.355, 49.992)    (49.992, 50.162)    (50.162, 50.262)    (50.262, 50.472)    (50.472, 50.642)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġhorrendous         Ġin                 Ġa                  Ġcountry            Ġis                 <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (50.642, 51.262)    (51.262, 51.352)    (51.352, 51.412)    (51.412, 51.872)    (51.872, 52.187)    (-1.0, -1.0)        (54.113, 54.47)     (54.47, 54.763)     (55.057, 55.681)    (55.681, 55.861)    (55.861, 56.041)    (56.041, 56.171)    (56.171, 56.661)    (56.661, 56.901)    (56.901, 56.971)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      80780818644994      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġi                  Ġfrankly            Ġcan                't                  Ġgo                 Ġalong              Ġwith               Ġthe               
Timings          : (50.642, 51.262)    (51.262, 51.352)    (51.352, 51.412)    (51.412, 51.872)    (51.872, 52.187)    (53.81, 54.113)     (54.113, 54.47)     (54.47, 54.763)     (55.057, 55.681)    (55.681, 55.861)    (55.861, 56.041)    (56.041, 56.171)    (56.171, 56.661)    (56.661, 56.901)    (56.901, 56.971)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (56.971, 57.371)    (57.371, 57.741)    (57.741, 58.251)    (58.251, 58.411)    (58.411, 58.571)    (58.571, 58.661)    (58.661, 59.001)    (59.001, 59.331)    (59.331, 59.401)    (59.401, 59.901)    (59.901, 60.091)    (60.091, 60.281)    (60.281, 60.561)    (60.561, 60.771)    (60.771, 61.211)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġidea               Ġonly               Ġbecause            Ġit                 's                  Ġthe                Ġsame               Ġkind               Ġof                 Ġthing              Ġthat               Ġyou                Ġsee                Ġin                 Ġcountries         
Timings          : (56.971, 57.371)    (57.371, 57.741)    (57.741, 58.251)    (58.251, 58.411)    (58.411, 58.571)    (58.571, 58.661)    (58.661, 59.001)    (59.001, 59.331)    (59.331, 59.401)    (59.401, 59.901)    (59.901, 60.091)    (60.091, 60.281)    (60.281, 60.561)    (60.561, 60.771)    (60.771, 61.211)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (61.211, 61.441)    (61.441, 61.811)    (61.811, 62.181)    (62.181, 62.577)    (63.667, 63.99)     (63.99, 64.262)     (64.262, 64.752)    (64.752, 64.992)    (64.992, 65.082)    (65.082, 65.172)    (65.172, 65.872)    (65.872, 66.022)    (66.022, 66.172)    (66.172, 66.332)    (66.332, 66.462)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlike               Ġcub                a                   Ġand                Ġuh                 Ġother              Ġplaces             Ġwhere              Ġyou                're                 Ġsupposedly         Ġfor                Ġthe                Ġgood               Ġof                
Timings          : (61.211, 61.441)    (61.441, 61.811)    (61.811, 62.181)    (62.181, 62.577)    (63.667, 63.99)     (63.99, 64.262)     (64.262, 64.752)    (64.752, 64.992)    (64.992, 65.082)    (65.082, 65.172)    (65.172, 65.872)    (65.872, 66.022)    (66.022, 66.172)    (66.172, 66.332)    (66.332, 66.462)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (66.462, 67.202)    (67.202, 67.307)    (67.307, 67.412)    (67.412, 67.552)    (67.552, 68.372)    (68.372, 68.522)    (68.522, 68.842)    (68.842, 69.244)    (69.654, 70.012)    (70.012, 70.212)    (70.212, 70.362)    (70.362, 71.092)    (71.205, 71.622)    (71.622, 72.222)    (72.222, 72.372)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsociety            Ġyou                're                 Ġto                 Ġvolunteer          Ġand                Ġhelp               Ġout                Ġand                Ġand                Ġdo                 Ġsomething          Ġvery               Ġnicely             Ġfor               
Timings          : (66.462, 67.202)    (67.202, 67.307)    (67.307, 67.412)    (67.412, 67.552)    (67.552, 68.372)    (68.372, 68.522)    (68.522, 68.842)    (68.842, 69.244)    (69.654, 70.012)    (70.012, 70.212)    (70.212, 70.362)    (70.362, 71.092)    (71.205, 71.622)    (71.622, 72.222)    (72.222, 72.372)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907      80781355515907     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (72.372, 73.212)    (73.212, 73.312)    (73.312, 73.372)    (73.372, 73.912)    (73.912, 74.282)    (74.282, 74.502)    (74.502, 74.802)    (74.802, 74.922)    (74.922, 75.082)    (75.082, 75.232)    (75.232, 75.312)    (75.312, 75.684)    (75.684, 75.833)    (75.833, 75.982)    (75.982, 76.492)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeveryone           Ġand                Ġthe                Ġproblem            Ġcomes              Ġinto               Ġplay               Ġin                 Ġthat               Ġif                 Ġthe                Ġpeople             Ġaren               't                  Ġinterested        
Timings          : (72.372, 73.212)    (73.212, 73.312)    (73.312, 73.372)    (73.372, 73.912)    (73.912, 74.282)    (74.282, 74.502)    (74.502, 74.802)    (74.802, 74.922)    (74.922, 75.082)    (75.082, 75.232)    (75.232, 75.312)    (75.312, 75.684)    (75.684, 75.833)    (75.833, 75.982)    (75.982, 76.492)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
