A                : well                Ġthe                Ġso                 v                   iet                 Ġunion              Ġuh                 Ġnow                Ġreally             Ġcalled             Ġthe                Ġcommon             wealth              Ġof                 Ġindependent       
A                : Ġand                Ġr                  ussia               <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.122, 16.636)    (16.636, 16.851)    (16.851, 17.066)    (-1.0, -1.0)        (18.909, 19.27)     (19.577, 19.847)    (19.847, 20.097)    (20.097, 20.618)    (20.618, 20.837)    (20.837, 21.228)    (21.228, 21.479)    (21.615, 21.847)    (21.847, 21.917)    (21.917, 22.147)    (22.147, 22.267)   
Token Types      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83735756144640      83735756144640      83735756144640      83735756144640      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               yeah                Ġi                  Ġmy                 Ġmain               Ġconcern            Ġright              Ġnow                Ġis                 Ġfirst              Ġof                 Ġall                Ġat                
Timings          : (16.122, 16.636)    (16.636, 16.851)    (16.851, 17.066)    (18.419, 18.775)    (18.909, 19.27)     (19.577, 19.847)    (19.847, 20.097)    (20.097, 20.618)    (20.618, 20.837)    (20.837, 21.228)    (21.228, 21.479)    (21.615, 21.847)    (21.847, 21.917)    (21.917, 22.147)    (22.147, 22.267)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (22.267, 22.438)    (22.438, 22.886)    (23.741, 23.927)    (23.927, 23.987)    (23.987, 24.39)     (24.767, 25.288)    (25.288, 25.417)    (25.417, 26.067)    (26.067, 26.157)    (26.157, 26.267)    (26.267, 26.378)    (26.378, 26.538)    (26.538, 26.708)    (26.708, 26.837)    (26.837, 27.058)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthis               Ġpoint              Ġwith               Ġthe                Ġcurrent            Ġgovernment         Ġand                Ġsituation          Ġi                  Ġdon                't                  Ġsee                Ġthem               Ġas                 Ġany               
Timings          : (22.267, 22.438)    (22.438, 22.886)    (23.741, 23.927)    (23.927, 23.987)    (23.987, 24.39)     (24.767, 25.288)    (25.288, 25.417)    (25.417, 26.067)    (26.067, 26.157)    (26.157, 26.267)    (26.267, 26.378)    (26.378, 26.538)    (26.538, 26.708)    (26.708, 26.837)    (26.837, 27.058)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (27.058, 27.413)    (28.49, 28.705)     (28.705, 29.011)    (29.011, 29.191)    (29.191, 29.261)    (29.261, 29.728)    (29.818, 30.331)    (30.331, 30.501)    (30.501, 30.561)    (30.561, 30.941)    (30.941, 31.221)    (31.221, 31.321)    (31.321, 31.381)    (31.381, 31.881)    (31.881, 32.471)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthreat             Ġto                 Ġus                 Ġat                 Ġthe                Ġmoment             Ġhowever            Ġwith               Ġthe                Ġcurrent            Ġstate              Ġof                 Ġthe                Ġcentral            Ġgovernment        
Timings          : (27.058, 27.413)    (28.49, 28.705)     (28.705, 29.011)    (29.011, 29.191)    (29.191, 29.261)    (29.261, 29.728)    (29.818, 30.331)    (30.331, 30.501)    (30.501, 30.561)    (30.561, 30.941)    (30.941, 31.221)    (31.221, 31.321)    (31.321, 31.381)    (31.381, 31.881)    (31.881, 32.471)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (32.471, 32.861)    (32.861, 33.527)    (33.753, 34.16)     (34.281, 34.586)    (34.586, 34.891)    (34.891, 35.031)    (35.031, 35.161)    (35.161, 35.645)    (35.969, 36.138)    (36.48, 36.636)     (36.636, 36.791)    (36.791, 37.111)    (37.111, 37.471)    (37.471, 37.981)    (37.981, 38.177)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġbeing              Ġas                 Ġum                 Ġten                uous                Ġas                 Ġit                 Ġis                 Ġit                 Ġwouldn             't                  Ġtake               Ġmuch               Ġto                 Ġuh                
Timings          : (32.471, 32.861)    (32.861, 33.527)    (33.753, 34.16)     (34.281, 34.586)    (34.586, 34.891)    (34.891, 35.031)    (35.031, 35.161)    (35.161, 35.645)    (35.969, 36.138)    (36.48, 36.636)     (36.636, 36.791)    (36.791, 37.111)    (37.111, 37.471)    (37.471, 37.981)    (37.981, 38.177)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.177, 38.644)    (38.644, 39.031)    (39.031, 39.352)    (39.352, 39.478)    (39.602, 40.131)    (40.131, 40.8)      (41.537, 41.936)    (41.936, 42.115)    (42.115, 42.295)    (42.295, 42.475)    (42.475, 42.735)    (42.735, 43.015)    (43.015, 43.085)    (43.085, 43.165)    (43.165, 43.735)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcause              Ġa                  Ġkind               Ġof                 Ġfascist            Ġrevival            Ġwithin             Ġuh                 Ġr                  ussia               Ġor                 Ġany                Ġof                 Ġthe                Ġrepublic          
Timings          : (38.177, 38.644)    (38.644, 39.031)    (39.031, 39.352)    (39.352, 39.478)    (39.602, 40.131)    (40.131, 40.8)      (41.537, 41.936)    (41.936, 42.115)    (42.115, 42.295)    (42.295, 42.475)    (42.475, 42.735)    (42.735, 43.015)    (43.015, 43.085)    (43.085, 43.165)    (43.165, 43.735)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (43.735, 44.305)    (44.305, 44.475)    (44.475, 44.685)    (44.685, 44.795)    (44.795, 45.085)    (45.085, 45.375)    (45.375, 45.495)    (45.495, 46.105)    (46.105, 46.575)    (46.575, 46.995)    (46.995, 47.665)    (47.665, 48.105)    (48.105, 48.421)    (48.915, 49.164)    (49.254, 49.705)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : s                   Ġand                Ġthen               Ġwe                 Ġdo                 Ġhave               Ġa                  Ġreal               Ġclear              Ġforeign            Ġpolicy             Ġand                Ġa                  Ġa                  Ġproblem           
Timings          : (43.735, 44.305)    (44.305, 44.475)    (44.475, 44.685)    (44.685, 44.795)    (44.795, 45.085)    (45.085, 45.375)    (45.375, 45.495)    (45.495, 46.105)    (46.105, 46.575)    (46.575, 46.995)    (46.995, 47.665)    (47.665, 48.105)    (48.105, 48.421)    (48.915, 49.164)    (49.254, 49.705)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (49.705, 49.955)    (49.955, 50.042)    (50.042, 50.402)    (51.136, 51.484)    (51.484, 51.615)    (51.615, 51.695)    (51.695, 52.005)    (52.005, 52.095)    (52.095, 52.545)    (52.545, 52.995)    (52.995, 53.145)    (53.145, 53.245)    (53.245, 53.505)    (53.505, 53.615)    (53.615, 53.825)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġa                  Ġthreat             Ġbecause            Ġof                 Ġthe                Ġnumber             Ġof                 Ġnuclear            Ġweapons            Ġthat               Ġare                Ġthere              Ġwe                 Ġseem              
Timings          : (49.705, 49.955)    (49.955, 50.042)    (50.042, 50.402)    (51.136, 51.484)    (51.484, 51.615)    (51.615, 51.695)    (51.695, 52.005)    (52.005, 52.095)    (52.095, 52.545)    (52.545, 52.995)    (52.995, 53.145)    (53.145, 53.245)    (53.245, 53.505)    (53.505, 53.615)    (53.615, 53.825)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               right              
Timings          : (53.825, 53.925)    (53.925, 54.035)    (54.035, 54.561)    (54.561, 54.79)     (55.019, 55.475)    (55.475, 55.585)    (55.585, 56.255)    (56.255, 56.375)    (56.375, 56.495)    (56.495, 56.825)    (56.825, 56.985)    (56.985, 57.075)    (57.075, 57.135)    (57.135, 57.688)    (58.016, 58.205)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   83737903628289     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                  

B                : Ġto                 Ġhave               Ġlost               Ġthe                Ġability            Ġto                 Ġcontrol            Ġwhat               's                  Ġgoing              Ġon                 Ġin                 Ġthe                Ġcountry            <emp>              
Timings          : (53.825, 53.925)    (53.925, 54.035)    (54.035, 54.561)    (54.561, 54.79)     (55.019, 55.475)    (55.475, 55.585)    (55.585, 56.255)    (56.255, 56.375)    (56.375, 56.495)    (56.495, 56.825)    (56.825, 56.985)    (56.985, 57.075)    (57.075, 57.135)    (57.135, 57.688)    (58.016, 58.205)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553      83736293015553     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (58.624, 58.814)    (58.814, 59.294)    (59.294, 59.465)    (59.465, 59.654)    (59.654, 59.755)    (59.755, 60.014)    (60.014, 60.494)    (60.494, 60.805)    (60.805, 60.994)    (60.994, 61.194)    (61.194, 61.474)    (61.474, 61.584)    (61.584, 62.064)    (62.064, 62.215)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83737903628289      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġand                Ġany                Ġcountry            Ġwhich              Ġhas                Ġas                 Ġmany               Ġnuclear            Ġweapons            Ġas                 Ġthey               Ġdo                 Ġis                 Ġcertainly          Ġis                
Timings          : (58.462, 58.624)    (58.624, 58.814)    (58.814, 59.294)    (59.294, 59.465)    (59.465, 59.654)    (59.654, 59.755)    (59.755, 60.014)    (60.014, 60.494)    (60.494, 60.805)    (60.805, 60.994)    (60.994, 61.194)    (61.194, 61.474)    (61.474, 61.584)    (61.584, 62.064)    (62.064, 62.215)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
