A                : have                Ġyou                Ġever               Ġdone               Ġthis               <eot>               <emp>               <emp>               <emp>               Ġwhat               Ġdid                Ġyou                Ġdo                 <yield>             Ġunfortunately     
Timings          : (7.026, 7.246)      (7.246, 7.527)      (7.727, 7.967)      (7.967, 8.131)      (8.131, 8.301)      (8.301, 8.991)      (-1.0, -1.0)        (10.382, 10.857)    (10.857, 11.032)    (11.032, 11.118)    (11.118, 11.205)    (11.205, 11.283)    (11.283, 11.361)    (11.361, 11.682)    (11.682, 11.892)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82241107525636      82241107525636      82241107525636      82241107525636      82241107525636      82241107525636      82241107525636      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġit                 Ġyeah               Ġit                 Ġit                 's                  Ġit                 's                  Ġreally             Ġhard              
Timings          : (7.026, 7.246)      (7.246, 7.527)      (7.727, 7.967)      (7.967, 8.131)      (8.131, 8.301)      (8.301, 8.991)      (10.112, 10.382)    (10.382, 10.857)    (10.857, 11.032)    (11.032, 11.118)    (11.118, 11.205)    (11.205, 11.283)    (11.283, 11.361)    (11.361, 11.682)    (11.682, 11.892)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (11.892, 11.962)    (11.962, 12.242)    (12.242, 12.772)    (14.138, 14.678)    (14.908, 15.088)    (15.268, 15.458)    (15.458, 15.688)    (15.688, 15.798)    (15.798, 16.038)    (16.038, 16.108)    (16.108, 16.578)    (16.888, 16.978)    (16.978, 17.158)    (17.158, 17.428)    (18.18, 18.289)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġplease             Ġeverybody          Ġand                Ġit                 Ġit                 Ġtakes              Ġa                  Ġlot                Ġof                 Ġplanning           Ġa                  Ġlot                Ġmore               Ġa                 
Timings          : (11.892, 11.962)    (11.962, 12.242)    (12.242, 12.772)    (14.138, 14.678)    (14.908, 15.088)    (15.268, 15.458)    (15.458, 15.688)    (15.688, 15.798)    (15.798, 16.038)    (16.038, 16.108)    (16.108, 16.578)    (16.888, 16.978)    (16.978, 17.158)    (17.158, 17.428)    (18.18, 18.289)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (18.289, 18.449)    (18.449, 18.639)    (18.639, 18.94)     (19.11, 19.289)     (19.289, 19.379)    (19.379, 19.469)    (19.469, 19.619)    (19.619, 19.729)    (19.729, 20.27)     (20.27, 20.42)      (20.42, 20.49)      (20.49, 20.559)     (20.559, 20.68)     (20.68, 20.77)      (20.77, 20.99)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġlot                Ġmore               Ġeffort             Ġyou                Ġknow               Ġyou                Ġhave               Ġto                 Ġdecided            Ġwhat               Ġyou                're                 Ġgoing              Ġto                 Ġdo                
Timings          : (18.289, 18.449)    (18.449, 18.639)    (18.639, 18.94)     (19.11, 19.289)     (19.289, 19.379)    (19.379, 19.469)    (19.469, 19.619)    (19.619, 19.729)    (19.729, 20.27)     (20.27, 20.42)      (20.42, 20.49)      (20.49, 20.559)     (20.559, 20.68)     (20.68, 20.77)      (20.77, 20.99)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġwell               Ġactually           Ġi                  'd                  Ġi                  Ġsort               Ġof                 Ġdo                 Ġthis               Ġuh                
Timings          : (21.5, 21.63)       (21.63, 21.7)       (21.7, 21.86)       (21.86, 22.07)      (22.07, 22.27)      (22.603, 23.153)    (24.422, 25.416)    (25.416, 25.559)    (25.559, 25.702)    (25.702, 25.815)    (25.815, 25.992)    (25.992, 26.142)    (26.142, 26.349)    (26.349, 26.662)    (26.662, 26.762)   
Token Types      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġhave               Ġyou                Ġever               Ġdone               Ġone                <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.5, 21.63)       (21.63, 21.7)       (21.7, 21.86)       (21.86, 22.07)      (22.07, 22.27)      (-1.0, -1.0)        (24.422, 25.416)    (25.416, 25.559)    (25.559, 25.702)    (25.702, 25.815)    (25.815, 25.992)    (25.992, 26.142)    (26.142, 26.349)    (26.349, 26.662)    (26.662, 26.762)   
Token Types      : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      82241644396549      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġanytime            Ġmy                 Ġfamily             Ġcomes              Ġto                 Ġtown               <emp>               <emp>               Ġi                  Ġmean               Ġwe                 Ġhave               Ġa                  Ġvery               Ġimmediate         
Timings          : (26.762, 27.192)    (27.192, 27.322)    (27.322, 27.702)    (27.702, 28.022)    (28.022, 28.202)    (28.202, 28.712)    (28.89, 28.987)     (28.987, 29.084)    (29.129, 29.229)    (29.229, 29.569)    (29.99, 30.129)     (30.129, 30.309)    (30.309, 30.379)    (30.379, 30.619)    (30.619, 31.219)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (26.762, 27.192)    (27.192, 27.322)    (27.322, 27.702)    (27.702, 28.022)    (28.022, 28.202)    (28.202, 28.712)    (28.89, 28.987)     (28.987, 29.084)    (29.084, 29.18)     (-1.0, -1.0)        (29.99, 30.129)     (30.129, 30.309)    (30.309, 30.379)    (30.379, 30.619)    (30.619, 31.219)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82243791880195      82243791880195      82243791880195      82243791880195      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   0                   0                   0                   0                   0                  


A                : Ġfamily             Ġit                 's                  Ġnot                Ġreally             Ġextended           <emp>               <emp>               Ġuh                 Ġi                  Ġwas                Ġan                 Ġonly               Ġchild              Ġmy                
Timings          : (31.219, 31.67)     (31.67, 31.774)     (31.774, 31.879)    (31.879, 32.119)    (32.119, 32.36)     (32.36, 33.02)      (33.386, 33.616)    (33.616, 33.846)    (33.847, 34.237)    (34.337, 34.507)    (34.507, 34.677)    (34.677, 34.807)    (34.807, 35.077)    (35.077, 35.457)    (35.457, 35.587)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.219, 31.67)     (31.67, 31.774)     (31.774, 31.879)    (31.879, 32.119)    (32.119, 32.36)     (32.36, 33.02)      (33.386, 33.616)    (33.616, 33.846)    (-1.0, -1.0)        (34.337, 34.507)    (34.507, 34.677)    (34.677, 34.807)    (34.807, 35.077)    (35.077, 35.457)    (35.457, 35.587)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82243791880196      82243791880196      82243791880196      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                  


A                : Ġmother             Ġis                 Ġan                 Ġonly               Ġchild              Ġso                 Ġwe                 Ġdon                't                  Ġhave               Ġlike               Ġtons               Ġand                Ġtons               Ġof                
Timings          : (35.587, 35.887)    (35.887, 35.977)    (35.977, 36.127)    (36.127, 36.337)    (36.337, 36.757)    (36.757, 36.837)    (36.837, 36.947)    (36.947, 37.087)    (37.087, 37.227)    (37.227, 37.727)    (38.637, 38.857)    (38.857, 39.237)    (39.237, 39.377)    (39.377, 39.647)    (39.647, 39.767)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.587, 35.887)    (35.887, 35.977)    (35.977, 36.127)    (36.127, 36.337)    (36.337, 36.757)    (36.757, 36.837)    (36.837, 36.947)    (36.947, 37.087)    (37.087, 37.227)    (37.227, 37.727)    (38.637, 38.857)    (38.857, 39.237)    (39.237, 39.377)    (39.377, 39.647)    (39.647, 39.767)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġrelatives          Ġso                 Ġit                 's                  Ġreally             Ġmy                 Ġparents            Ġand                Ġi                  Ġhave               Ġfive               Ġchildren           Ġthree              Ġare                Ġmarried           
Timings          : (39.767, 40.329)    (40.868, 40.979)    (40.979, 41.074)    (41.074, 41.168)    (41.168, 41.449)    (41.449, 41.778)    (41.778, 42.463)    (42.463, 42.708)    (42.708, 42.848)    (42.848, 43.299)    (43.299, 43.618)    (43.618, 44.129)    (44.659, 44.879)    (44.879, 44.949)    (44.949, 45.479)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.767, 40.329)    (40.868, 40.979)    (40.979, 41.074)    (41.074, 41.168)    (41.168, 41.449)    (41.449, 41.778)    (41.778, 42.463)    (42.463, 42.708)    (42.708, 42.848)    (42.848, 43.299)    (43.299, 43.618)    (43.618, 44.129)    (44.659, 44.879)    (44.879, 44.949)    (44.949, 45.479)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġthey               Ġhave               Ġlittle             Ġkids               <emp>               <emp>               Ġand                Ġso                 Ġyou                Ġknow               Ġit                 's                  Ġbasically          Ġus                
Timings          : (45.648, 46.008)    (46.008, 46.188)    (46.188, 46.429)    (46.429, 46.668)    (46.668, 47.118)    (47.421, 47.646)    (47.646, 47.871)    (48.16, 48.43)      (48.43, 48.85)      (48.85, 49.03)      (49.03, 49.19)      (49.19, 49.287)     (49.287, 49.384)    (49.384, 49.958)    (49.958, 50.26)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (45.648, 46.008)    (46.008, 46.188)    (46.188, 46.429)    (46.429, 46.668)    (46.668, 47.118)    (47.421, 47.646)    (47.646, 47.871)    (-1.0, -1.0)        (48.43, 48.85)      (48.85, 49.03)      (49.03, 49.19)      (49.19, 49.287)     (49.287, 49.384)    (49.384, 49.958)    (49.958, 50.26)    
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   82243791880197      82243791880197      82243791880197      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġand                Ġso                 Ġwhen               Ġevery              Ġbody               Ġcomes              Ġit                 Ġis                 Ġvery               Ġhe                 ctic                Ġand                Ġi                  Ġguess              Ġthat              
Timings          : (51.061, 51.321)    (51.321, 51.441)    (51.441, 51.571)    (51.571, 51.811)    (51.811, 52.031)    (52.031, 52.511)    (52.681, 52.831)    (52.831, 53.111)    (53.111, 53.381)    (53.381, 53.651)    (53.651, 53.921)    (54.593, 54.773)    (54.773, 54.863)    (54.863, 55.073)    (55.073, 55.198)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (51.061, 51.321)    (51.321, 51.441)    (51.441, 51.571)    (51.571, 51.811)    (51.811, 52.031)    (52.031, 52.511)    (52.681, 52.831)    (52.831, 53.111)    (53.111, 53.381)    (53.381, 53.651)    (53.651, 53.921)    (54.593, 54.773)    (54.773, 54.863)    (54.863, 55.073)    (55.073, 55.198)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : 's                  Ġas                 Ġclose              Ġto                 Ġwhat               Ġwe                 Ġhave               Ġas                 Ġa                  Ġreunion            Ġand                Ġwe                 Ġdo                 Ġthis               Ġat                
Timings          : (55.198, 55.323)    (55.323, 55.473)    (55.473, 55.803)    (55.803, 56.003)    (56.003, 56.243)    (56.243, 56.383)    (56.383, 56.643)    (56.643, 56.793)    (56.793, 56.913)    (56.913, 57.453)    (57.453, 57.633)    (57.633, 57.753)    (57.753, 57.933)    (57.933, 58.133)    (58.133, 58.223)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638      82241107525638     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (55.198, 55.323)    (55.323, 55.473)    (55.473, 55.803)    (55.803, 56.003)    (56.003, 56.243)    (56.243, 56.383)    (56.383, 56.643)    (56.643, 56.793)    (56.793, 56.913)    (56.913, 57.453)    (57.453, 57.633)    (57.633, 57.753)    (57.753, 57.933)    (57.933, 58.133)    (58.133, 58.223)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
