A                : ok                  ay                  Ġuh                 Ġokay               Ġso                 Ġour                Ġsubject            Ġis                 Ġnursing            Ġhomes              Ġum                 Ġdo                 Ġyou                Ġhave               Ġany               
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      82722143862784      0                   0                   0                  
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               i                   Ġdo                 Ġhave               Ġactually           Ġas                 Ġa                 
Timings          : (7.472, 8.19)       (8.19, 8.328)       (8.328, 8.903)      (8.903, 9.394)      (9.394, 10.015)     (10.015, 10.472)    (11.154, 11.32)     (11.32, 11.434)     (11.434, 11.698)    (11.859, 12.014)    (12.014, 12.224)    (12.224, 12.465)    (12.536, 13.004)    (13.004, 13.094)    (13.094, 13.154)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.154, 13.364)    (13.364, 13.434)    (13.434, 13.854)    (13.854, 14.188)    (14.799, 15.034)    (15.034, 15.181)    (15.181, 15.328)    (15.479, 15.531)    (15.531, 15.584)    (15.584, 15.764)    (15.764, 15.944)    (15.944, 16.154)    (16.154, 16.244)    (16.244, 16.404)    (16.404, 16.754)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmatter             Ġof                 Ġfact               Ġuh                 Ġand                Ġi                  'm                  Ġi                  'm                  Ġnot                Ġsure               Ġhow                Ġit                 Ġwould              Ġrelate            
Timings          : (13.154, 13.364)    (13.364, 13.434)    (13.434, 13.854)    (13.854, 14.188)    (14.799, 15.034)    (15.034, 15.181)    (15.181, 15.328)    (15.479, 15.531)    (15.531, 15.584)    (15.584, 15.764)    (15.764, 15.944)    (15.944, 16.154)    (16.154, 16.244)    (16.244, 16.404)    (16.404, 16.754)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (16.754, 16.844)    (16.844, 16.924)    (16.924, 17.164)    (17.164, 17.514)    (17.514, 17.724)    (17.724, 17.834)    (17.834, 17.904)    (17.904, 18.414)    (18.414, 18.862)    (19.604, 19.727)    (19.727, 20.386)    (20.386, 20.654)    (20.654, 20.844)    (20.844, 21.164)    (21.164, 21.412)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġthe                Ġbig                Ġcity               Ġbut                Ġthere              Ġare                Ġcertainly          Ġways               Ġand                Ġhumane             Ġand                Ġand                Ġnice               Ġways              
Timings          : (16.754, 16.844)    (16.844, 16.924)    (16.924, 17.164)    (17.164, 17.514)    (17.514, 17.724)    (17.724, 17.834)    (17.834, 17.904)    (17.904, 18.414)    (18.414, 18.862)    (19.604, 19.727)    (19.727, 20.386)    (20.386, 20.654)    (20.654, 20.844)    (20.844, 21.164)    (21.164, 21.412)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (21.412, 21.597)    (21.597, 22.044)    (22.044, 22.294)    (22.294, 22.595)    (22.595, 22.788)    (22.788, 23.244)    (23.795, 23.891)    (23.891, 24.082)    (24.082, 24.272)    (24.272, 24.322)    (24.322, 24.562)    (24.562, 24.902)    (24.902, 25.382)    (25.382, 25.482)    (25.482, 25.842)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġof                 Ġhandling           Ġcare               Ġfor                Ġour                Ġelderly            Ġi                  Ġcome               Ġfrom               Ġa                  Ġvery               Ġsmall              Ġcommunity          Ġin                 Ġnorthern          
Timings          : (21.412, 21.597)    (21.597, 22.044)    (22.044, 22.294)    (22.294, 22.595)    (22.595, 22.788)    (22.788, 23.244)    (23.795, 23.891)    (23.891, 24.082)    (24.082, 24.272)    (24.272, 24.322)    (24.322, 24.562)    (24.562, 24.902)    (24.902, 25.382)    (25.382, 25.482)    (25.482, 25.842)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.842, 26.069)    (26.069, 26.295)    (26.456, 26.699)    (26.699, 26.942)    (-1.0, -1.0)        (27.292, 27.352)    (27.352, 27.932)    (27.932, 28.122)    (28.122, 28.282)    (28.282, 28.442)    (28.442, 28.932)    (28.932, 29.148)    (29.348, 29.745)    (30.092, 30.272)    (30.272, 30.85)    
Token Types      : 0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   82724291346433      82724291346433      82724291346433      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġi                  owa                 <emp>               <emp>               Ġand                Ġthe                Ġchurches           Ġhave               Ġband               ed                  Ġtogether           Ġand                Ġbuilt              Ġand                Ġstaffed           
Timings          : (25.842, 26.069)    (26.069, 26.295)    (26.456, 26.699)    (26.699, 26.942)    (27.09, 27.292)     (27.292, 27.352)    (27.352, 27.932)    (27.932, 28.122)    (28.122, 28.282)    (28.282, 28.442)    (28.442, 28.932)    (28.932, 29.148)    (29.348, 29.745)    (30.092, 30.272)    (30.272, 30.85)    
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169      82725901959169     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġthat               's                  Ġwonderful          <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (31.581, 31.632)    (31.632, 32.196)    (32.196, 32.376)    (32.727, 32.844)    (32.844, 32.96)     (32.96, 33.538)     (-1.0, -1.0)        (34.415, 34.475)    (34.475, 34.735)    (34.735, 34.825)    (34.825, 35.175)    (35.175, 35.335)    (35.335, 35.535)    (35.615, 36.045)    (36.045, 36.484)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   82722143862786      82722143862786      82722143862786      82722143862786      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġretirement         Ġhome               <eot>               <emp>               <emp>               Ġand                Ġthe                Ġcare               Ġof                 Ġcourse             Ġis                 Ġis                 Ġwonderful          Ġbecause           
Timings          : (31.581, 31.632)    (31.632, 32.196)    (32.196, 32.376)    (-1.0, -1.0)        (32.844, 32.96)     (32.96, 33.538)     (34.065, 34.415)    (34.415, 34.475)    (34.475, 34.735)    (34.735, 34.825)    (34.825, 35.175)    (35.175, 35.335)    (35.335, 35.535)    (35.615, 36.045)    (36.045, 36.484)   
Token Types      : 4                   4                   4                   4                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82725901959169      82725901959169      82725901959169      82725901959169      0                   0                   82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699     
turn_end_types   : 1                   1                   1                   1                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (36.92, 37.165)     (37.165, 37.235)    (37.235, 37.305)    (37.305, 37.595)    (37.595, 37.695)    (37.695, 38.025)    (38.343, 38.556)    (38.556, 38.77)     (-1.0, -1.0)        (39.001, 39.266)    (39.266, 39.526)    (39.526, 39.596)    (39.596, 40.006)    (40.006, 40.076)    (40.076, 40.516)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   82724291346435      82724291346435      82724291346435      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġthese              Ġare                Ġall                Ġpeople             Ġwho                Ġcare               <emp>               <emp>               Ġand                Ġevery              Ġweek               Ġthe                Ġchurches           Ġa                  Ġdifferent         
Timings          : (36.92, 37.165)     (37.165, 37.235)    (37.235, 37.305)    (37.305, 37.595)    (37.595, 37.695)    (37.695, 38.025)    (38.343, 38.556)    (38.556, 38.77)     (38.77, 39.001)     (39.001, 39.266)    (39.266, 39.526)    (39.526, 39.596)    (39.596, 40.006)    (40.006, 40.076)    (40.076, 40.516)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (40.516, 40.606)    (40.606, 40.926)    (40.926, 40.986)    (40.986, 41.056)    (41.056, 41.526)    (41.526, 42.026)    (42.026, 42.136)    (42.136, 42.366)    (42.366, 42.506)    (42.506, 42.646)    (42.646, 42.876)    (42.876, 43.066)    (43.066, 43.221)    (43.221, 43.376)    (43.376, 43.766)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġgroups             Ġof                 Ġthe                Ġchurches           Ġvolunteer          Ġand                Ġcome               Ġin                 Ġand                Ġmaybe              Ġhave               Ġb                  ingo                Ġday               
Timings          : (40.516, 40.606)    (40.606, 40.926)    (40.926, 40.986)    (40.986, 41.056)    (41.056, 41.526)    (41.526, 42.026)    (42.026, 42.136)    (42.136, 42.366)    (42.366, 42.506)    (42.506, 42.646)    (42.646, 42.876)    (42.876, 43.066)    (43.066, 43.221)    (43.221, 43.376)    (43.376, 43.766)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (43.766, 43.976)    (44.499, 44.736)    (44.736, 45.356)    (45.356, 45.516)    (45.516, 45.656)    (45.656, 45.826)    (45.826, 46.096)    (46.096, 46.246)    (46.246, 46.356)    (46.356, 46.796)    (46.796, 46.986)    (46.986, 47.47)     (48.342, 48.563)    (48.563, 48.657)    (48.657, 48.927)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġor                 Ġspecial            Ġcelebration        Ġday                Ġor                 Ġhelp               Ġsomeone            Ġwith               Ġtheir              Ġbirthday           Ġor                 Ġwhatever           Ġand                Ġit                 Ġmakes             
Timings          : (43.766, 43.976)    (44.499, 44.736)    (44.736, 45.356)    (45.356, 45.516)    (45.516, 45.656)    (45.656, 45.826)    (45.826, 46.096)    (46.096, 46.246)    (46.246, 46.356)    (46.356, 46.796)    (46.796, 46.986)    (46.986, 47.47)     (48.342, 48.563)    (48.563, 48.657)    (48.657, 48.927)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.927, 48.997)    (48.997, 49.297)    (49.297, 49.487)    (49.487, 50.217)    (50.217, 50.287)    (50.287, 50.774)    (51.271, 51.459)    (51.859, 52.157)    (52.157, 52.267)    (52.267, 52.437)    (52.437, 52.497)    (52.497, 52.767)    (52.767, 53.217)    (53.217, 53.647)    (53.647, 53.967)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġcare               Ġvery               Ġpersonalized       Ġof                 Ġcourse             Ġbut                Ġsince              Ġit                 Ġis                 Ġa                  Ġsmall              Ġcommunity          Ġeverybody          Ġknows             
Timings          : (48.927, 48.997)    (48.997, 49.297)    (49.297, 49.487)    (49.487, 50.217)    (50.217, 50.287)    (50.287, 50.774)    (51.271, 51.459)    (51.859, 52.157)    (52.157, 52.267)    (52.267, 52.437)    (52.437, 52.497)    (52.497, 52.767)    (52.767, 53.217)    (53.217, 53.647)    (53.647, 53.967)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699      82722680733699     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               Ġum                 hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (53.967, 54.495)    (54.667, 54.903)    (54.903, 55.138)    (-1.0, -1.0)        (55.229, 55.417)    (55.417, 55.657)    (55.657, 55.827)    (55.827, 55.977)    (55.977, 56.079)    (56.079, 56.203)    (56.203, 56.817)    (56.817, 57.347)    (57.347, 57.727)    (57.727, 57.827)    (57.827, 58.037)   
Token Types      : 0                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   82724291346436      82724291346436      82724291346436      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġeverybody          <emp>               <emp>               Ġand                Ġso                 Ġthere              Ġthere              Ġwould              Ġbe                 Ġno                 Ġabsolutely         Ġzero               Ġchance             Ġof                 Ġany               
Timings          : (53.967, 54.495)    (54.667, 54.903)    (54.903, 55.138)    (55.128, 55.229)    (55.229, 55.417)    (55.417, 55.657)    (55.657, 55.827)    (55.827, 55.977)    (55.977, 56.079)    (56.079, 56.203)    (56.203, 56.817)    (56.817, 57.347)    (57.347, 57.727)    (57.727, 57.827)    (57.827, 58.037)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
