A                : um                  Ġwell               Ġyou                Ġknow               Ġi                  Ġi                  Ġthink              Ġit                 Ġit                 Ġreally             Ġdepends            Ġyou                Ġknow               Ġi                  Ġthink             
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               Ġyeah               <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (35.786, 36.176)    (36.176, 36.487)    (36.728, 36.916)    (36.881, 37.107)    (-1.0, -1.0)        (37.376, 37.596)    (38.995, 39.255)    (39.255, 39.915)    (40.335, 40.545)    (40.545, 40.975)    (40.975, 41.085)    (41.085, 41.445)    (41.445, 41.57)     (41.57, 41.674)     (41.674, 42.194)   
Token Types      : 0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   79717814239234      79717814239234      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġtalking            Ġabout              Ġi                  Ġthink              Ġit                 's                  Ġall                Ġgovernment         Ġany                Ġgovernment         Ġis                 Ġbased              Ġon                 Ġthe                Ġhonesty           
Timings          : (35.786, 36.176)    (36.176, 36.487)    (36.728, 36.916)    (36.916, 37.156)    (37.156, 37.376)    (37.376, 37.596)    (38.995, 39.255)    (39.255, 39.915)    (40.335, 40.545)    (40.545, 40.975)    (40.975, 41.085)    (41.085, 41.445)    (41.445, 41.57)     (41.57, 41.674)     (41.674, 42.194)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġwell               Ġyou                Ġknow               Ġi                  Ġthink              Ġi                  Ġthink              Ġif                
Timings          : (42.194, 42.315)    (42.655, 42.849)    (42.849, 42.935)    (43.299, 43.386)    (43.386, 43.819)    (44.486, 44.705)    (45.384, 45.614)    (45.614, 45.844)    (45.844, 45.964)    (45.964, 46.044)    (46.044, 46.252)    (46.252, 46.384)    (46.384, 46.523)    (46.523, 46.664)    (46.664, 46.794)   
Token Types      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586     
turn_end_types   : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġof                 Ġthe                Ġof                 Ġthe                Ġindividual         Ġright              <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.194, 42.315)    (42.655, 42.849)    (42.849, 42.935)    (43.299, 43.386)    (43.386, 43.819)    (44.486, 44.705)    (-1.0, -1.0)        (45.614, 45.844)    (45.844, 45.964)    (45.964, 46.044)    (46.044, 46.252)    (46.252, 46.384)    (46.384, 46.523)    (46.523, 46.664)    (46.664, 46.794)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      79716203626497      0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġlike               Ġcompare            Ġus                 Ġto                 Ġother              Ġgovernments        Ġyou                Ġknow               Ġi                  Ġi                  Ġthink              Ġwe                 Ġtend               Ġto                
Timings          : (46.794, 47.061)    (47.061, 47.284)    (47.284, 47.634)    (47.634, 47.81)     (47.81, 47.964)     (47.964, 48.244)    (48.244, 49.434)    (49.434, 49.494)    (49.494, 49.554)    (49.554, 49.654)    (49.654, 49.804)    (49.804, 49.994)    (49.994, 50.094)    (50.094, 50.274)    (50.274, 50.334)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (46.794, 47.061)    (47.061, 47.284)    (47.284, 47.634)    (47.634, 47.81)     (47.81, 47.964)     (47.964, 48.244)    (48.244, 49.434)    (49.434, 49.494)    (49.494, 49.554)    (49.554, 49.654)    (49.654, 49.804)    (49.804, 49.994)    (49.994, 50.094)    (50.094, 50.274)    (50.274, 50.334)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbe                 Ġoverly             Ġcritical           Ġof                 Ġour                Ġown                Ġgovernment         Ġi                  Ġmean               Ġyou                Ġgo                 Ġand                Ġlook               Ġlike               Ġa                 
Timings          : (50.334, 50.484)    (50.484, 50.964)    (50.964, 51.324)    (51.324, 51.414)    (51.414, 51.484)    (51.484, 51.604)    (51.604, 51.904)    (51.904, 51.944)    (51.944, 52.074)    (52.074, 52.244)    (52.244, 52.394)    (52.394, 52.484)    (52.484, 52.624)    (52.624, 52.846)    (53.102, 53.177)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586      79715666755586     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (50.334, 50.484)    (50.484, 50.964)    (50.964, 51.324)    (51.324, 51.414)    (51.414, 51.484)    (51.484, 51.604)    (51.604, 51.904)    (51.904, 51.944)    (51.944, 52.074)    (52.074, 52.244)    (52.244, 52.394)    (52.394, 52.484)    (52.484, 52.624)    (52.624, 52.846)    (53.102, 53.177)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
