A                : i                   Ġguess              Ġi                  Ġguess              Ġby                 Ġwhat               Ġyou                Ġsaid               Ġyou                're                 Ġyou                Ġyou                Ġdon                't                  Ġfeel              
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġthe                Ġum                 Ġthe                Ġthe                Ġonly               Ġthing              Ġthat               Ġannoy              s                   Ġme                 Ġis                 Ġwhen               Ġuh                 Ġpeople             Ġcall              
Timings          : (10.994, 11.169)    (11.169, 11.696)    (13.616, 13.828)    (13.828, 13.935)    (13.935, 14.199)    (14.241, 14.445)    (14.445, 14.695)    (14.695, 14.954)    (14.954, 15.212)    (15.212, 15.341)    (15.341, 15.646)    (15.646, 15.983)    (16.183, 16.642)    (16.966, 17.405)    (17.405, 17.875)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.875, 18.105)    (18.105, 18.475)    (18.475, 18.801)    (19.113, 19.195)    (19.195, 19.586)    (19.756, 21.665)    (21.665, 22.08)     (22.4, 22.538)      (22.538, 22.675)    (-1.0, -1.0)        (22.959, 23.147)    (23.147, 23.32)     (23.32, 23.87)      (23.87, 24.028)     (24.028, 24.188)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   83050708860929      83050708860929      83050708860929      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġand                Ġthey               Ġuh                 Ġyou                Ġhave               Ġsolicitation       Ġcalls              <emp>               <emp>               Ġprobably           Ġthing              Ġthat               Ġbothers            Ġme                 Ġthat              
Timings          : (17.875, 18.105)    (18.105, 18.475)    (18.475, 18.801)    (19.113, 19.195)    (19.195, 19.586)    (19.756, 21.665)    (21.665, 22.08)     (22.4, 22.538)      (22.538, 22.675)    (22.677, 22.959)    (22.959, 23.147)    (23.147, 23.32)     (23.32, 23.87)      (23.87, 24.028)     (24.028, 24.188)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġright              <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (24.188, 24.347)    (24.347, 24.548)    (24.978, 25.247)    (25.247, 25.823)    (25.823, 25.983)    (25.983, 27.175)    (27.343, 27.771)    (-1.0, -1.0)        (32.475, 32.592)    (32.592, 32.843)    (32.843, 33.243)    (33.243, 33.433)    (33.433, 33.889)    (33.889, 34.083)    (34.083, 34.695)   
Token Types      : 0                   0                   0                   0                   0                   0                   3                   3                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   83050708860930      83050708860930      0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   0                   0                   0                   0                   0                   0                   0                  

B                : 's                  Ġnot                Ġreally             Ġinvading           Ġmy                 Ġprivacy            <emp>               Ġum                 Ġdo                 Ġyou                Ġfeel               Ġthat               Ġyours              Ġis                 Ġinvaded           
Timings          : (24.188, 24.347)    (24.347, 24.548)    (24.978, 25.247)    (25.247, 25.823)    (25.823, 25.983)    (25.983, 27.175)    (27.343, 27.771)    (27.856, 28.323)    (32.475, 32.592)    (32.592, 32.843)    (32.843, 33.243)    (33.243, 33.433)    (33.433, 33.889)    (33.889, 34.083)    (34.083, 34.695)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193      83049098248193     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġuh                 Ġn                  ah                  Ġi                  Ġwouldn             't                  Ġcall               Ġit                 Ġinvading           Ġmy                 Ġprivacy            Ġby                 Ġany                Ġmeans              Ġuh                
Timings          : (35.197, 35.531)    (35.612, 35.696)    (35.696, 35.779)    (35.779, 35.881)    (35.881, 36.006)    (36.006, 36.131)    (36.131, 36.351)    (36.351, 36.461)    (36.461, 36.901)    (36.901, 37.001)    (37.001, 37.571)    (37.571, 37.681)    (37.681, 37.961)    (37.961, 38.421)    (38.489, 38.827)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (35.612, 35.696)    (35.696, 35.779)    (35.779, 35.881)    (35.881, 36.006)    (36.006, 36.131)    (36.131, 36.351)    (36.351, 36.461)    (36.461, 36.901)    (36.901, 37.001)    (37.001, 37.571)    (37.571, 37.681)    (37.681, 37.961)    (37.961, 38.421)    (38.489, 38.827)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83049098248193      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġyou                Ġknow               Ġi                  Ġwould              Ġthere              Ġthere              's                  Ġa                  Ġlot                Ġof                 Ġtimes              Ġthough             Ġuh                 Ġyou                Ġget               
Timings          : (38.937, 39.011)    (39.011, 39.161)    (39.161, 39.281)    (39.281, 39.435)    (39.989, 40.141)    (40.141, 40.256)    (40.256, 40.371)    (40.371, 40.431)    (40.431, 40.641)    (40.641, 40.711)    (40.711, 41.092)    (41.092, 41.45)     (41.45, 41.843)     (42.088, 42.171)    (42.171, 42.351)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.937, 39.011)    (39.011, 39.161)    (39.161, 39.281)    (39.281, 39.435)    (39.989, 40.141)    (40.141, 40.256)    (40.256, 40.371)    (40.371, 40.431)    (40.431, 40.641)    (40.641, 40.711)    (40.711, 41.092)    (41.092, 41.45)     (41.45, 41.843)     (42.088, 42.171)    (42.171, 42.351)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthose              Ġcalls              Ġand                Ġyou                Ġknow               Ġwhen               Ġyou                're                 Ġsitting            Ġat                 Ġhome               Ġwanting            Ġto                 Ġrelax              Ġor                
Timings          : (42.351, 42.521)    (42.521, 42.921)    (42.921, 43.157)    (43.462, 43.631)    (43.631, 44.004)    (44.926, 45.092)    (45.092, 45.152)    (45.152, 45.212)    (45.212, 45.512)    (45.512, 45.672)    (45.672, 46.186)    (46.412, 46.722)    (46.722, 46.988)    (47.38, 48.022)     (48.022, 48.207)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.351, 42.521)    (42.521, 42.921)    (42.921, 43.157)    (43.462, 43.631)    (43.631, 44.004)    (44.926, 45.092)    (45.092, 45.152)    (45.152, 45.212)    (45.212, 45.512)    (45.512, 45.672)    (45.672, 46.186)    (46.412, 46.722)    (46.722, 46.988)    (47.38, 48.022)     (48.022, 48.207)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġor                 Ġwhat               not                 Ġand                Ġyou                Ġknow               Ġnext               Ġthing              Ġyou                Ġknow               Ġuh                 Ġsomeone            Ġcalls              Ġand                Ġwants             
Timings          : (48.373, 48.55)     (48.55, 48.786)     (48.786, 49.021)    (49.021, 49.281)    (49.511, 49.622)    (49.622, 49.922)    (50.25, 50.472)     (50.472, 50.652)    (50.652, 50.732)    (50.732, 51.113)    (51.769, 52.168)    (52.168, 52.518)    (52.518, 53.078)    (53.078, 53.328)    (53.968, 54.168)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (48.373, 48.55)     (48.55, 48.786)     (48.786, 49.021)    (49.021, 49.281)    (49.511, 49.622)    (49.622, 49.922)    (50.25, 50.472)     (50.472, 50.652)    (50.652, 50.732)    (50.732, 51.113)    (51.769, 52.168)    (52.168, 52.518)    (52.518, 53.078)    (53.078, 53.328)    (53.968, 54.168)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġsell               Ġyou                Ġthis               Ġor                 Ġthat               Ġand                Ġit                 's                  Ġreal               Ġhard               Ġto                 Ġyou                Ġto                 Ġtell              
Timings          : (54.168, 54.288)    (54.288, 54.538)    (54.538, 54.698)    (54.698, 54.978)    (54.978, 55.048)    (55.048, 55.268)    (55.268, 55.378)    (55.378, 55.453)    (55.453, 55.528)    (55.528, 55.678)    (55.678, 55.938)    (55.938, 56.106)    (56.302, 56.501)    (56.539, 56.668)    (56.668, 56.948)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (54.168, 54.288)    (54.288, 54.538)    (54.538, 54.698)    (54.698, 54.978)    (54.978, 55.048)    (55.048, 55.268)    (55.268, 55.378)    (55.378, 55.453)    (55.453, 55.528)    (55.528, 55.678)    (55.678, 55.938)    (55.938, 56.106)    (56.302, 56.501)    (56.539, 56.668)    (56.668, 56.948)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġthem               Ġyou                Ġknow               Ġthat               Ġyou                're                 Ġnot                Ġinterested         Ġor                 Ġyou                Ġdo                 Ġtell               Ġthem               Ġyou                're                
Timings          : (56.948, 57.138)    (57.138, 57.258)    (57.258, 57.438)    (57.438, 57.598)    (57.598, 57.668)    (57.668, 57.738)    (57.738, 57.938)    (57.938, 58.468)    (58.468, 58.638)    (58.638, 58.818)    (58.818, 58.948)    (58.948, 59.158)    (59.158, 59.248)    (59.248, 59.293)    (59.293, 59.338)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (56.948, 57.138)    (57.138, 57.258)    (57.258, 57.438)    (57.438, 57.598)    (57.598, 57.668)    (57.668, 57.738)    (57.738, 57.938)    (57.938, 58.468)    (58.468, 58.638)    (58.638, 58.818)    (58.818, 58.948)    (58.948, 59.158)    (59.158, 59.248)    (59.248, 59.293)    (59.293, 59.338)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġnot                Ġinterested         Ġand                Ġthey               Ġstill              Ġkeep               Ġasking             Ġyou                Ġyou                Ġknow               Ġand                Ġand                Ġkeep               Ġbad                ger                
Timings          : (59.338, 59.518)    (59.518, 60.018)    (60.018, 60.128)    (60.128, 60.258)    (60.258, 60.708)    (61.428, 61.624)    (61.624, 62.108)    (62.108, 62.348)    (62.348, 62.438)    (62.438, 62.708)    (62.708, 62.873)    (63.441, 63.746)    (64.261, 64.456)    (64.58, 64.737)     (64.737, 64.893)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282      83048561377282     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (59.338, 59.518)    (59.518, 60.018)    (60.018, 60.128)    (60.128, 60.258)    (60.258, 60.708)    (61.428, 61.624)    (61.624, 62.108)    (62.108, 62.348)    (62.348, 62.438)    (62.438, 62.708)    (62.708, 62.873)    (63.441, 63.746)    (64.261, 64.456)    (64.58, 64.737)     (64.737, 64.893)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
