A                : ok                  ay                  Ġhow                Ġdo                 Ġyou                Ġget                Ġyour               Ġnews               Ġmostly             <eot>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (4.708, 4.878)      (4.878, 5.382)      (5.469, 5.928)      (5.928, 6.317)      (6.317, 6.418)      (6.418, 7.03)       (7.625, 7.748)      (7.748, 7.868)      (7.868, 8.656)      (8.656, 9.097)      (9.899, 10.068)     (10.068, 10.138)    (10.138, 10.208)    (10.208, 10.438)    (10.438, 10.848)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġmy                 Ġnews               Ġfrom               Ġuh                 Ġthe                Ġradio              Ġand                Ġthen               Ġsometimes          Ġum                 Ġif                 Ġi                  've                 Ġgot                Ġtime              
Timings          : (4.708, 4.878)      (4.878, 5.382)      (5.469, 5.928)      (5.928, 6.317)      (6.317, 6.418)      (6.418, 7.03)       (7.625, 7.748)      (7.748, 7.868)      (7.868, 8.656)      (8.656, 9.097)      (9.899, 10.068)     (10.068, 10.138)    (10.138, 10.208)    (10.208, 10.438)    (10.438, 10.848)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 Ġum                 hum                 Ġum                
Timings          : (10.848, 10.898)    (10.898, 10.948)    (10.948, 11.068)    (11.068, 11.318)    (11.318, 11.378)    (11.378, 11.638)    (11.638, 11.878)    (11.878, 11.938)    (11.938, 12.018)    (12.018, 12.731)    (12.704, 13.014)    (13.014, 13.325)    (13.325, 13.495)    (13.495, 13.665)    (13.665, 13.819)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   5                   5                   5                   5                   5                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80063559106561      80063559106561      80063559106561      80063559106561      80063559106561     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġi                  'll                 Ġbe                 Ġreading            Ġthe                Ġfront              Ġpage               Ġof                 Ġthe                Ġnewspaper          <emp>               Ġand                Ġjust               Ġfall               <emp>              
Timings          : (10.848, 10.898)    (10.898, 10.948)    (10.948, 11.068)    (11.068, 11.318)    (11.318, 11.378)    (11.378, 11.638)    (11.638, 11.878)    (11.878, 11.938)    (11.938, 12.018)    (12.018, 12.731)    (12.704, 13.014)    (13.224, 13.388)    (13.388, 13.578)    (13.578, 13.798)    (13.665, 13.819)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hum                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (13.819, 13.973)    (-1.0, -1.0)        (14.1, 14.208)      (14.208, 14.608)    (14.608, 14.718)    (14.718, 14.847)    (14.847, 15.379)    (15.488, 15.743)    (15.743, 15.998)    (-1.0, -1.0)        (16.363, 17.11)     (17.11, 17.333)     (17.333, 17.433)    (17.433, 17.753)    (17.753, 17.973)   
Token Types      : 5                   5                   0                   0                   0                   0                   0                   3                   3                   3                   0                   0                   0                   0                   0                  
turn_ids         : 80063559106561      80063559106561      0                   0                   0                   0                   0                   80061411622913      80061411622913      80061411622913      0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                  

B                : Ġoff                Ġon                 Ġthe                Ġarticles           Ġthat               Ġi                  Ġlike               <emp>               <emp>               Ġum                 Ġalso               Ġsince              Ġmy                 Ġwife               Ġlikes             
Timings          : (13.798, 13.953)    (13.953, 14.1)      (14.1, 14.208)      (14.208, 14.608)    (14.608, 14.718)    (14.718, 14.847)    (14.847, 15.379)    (15.488, 15.743)    (15.743, 15.998)    (16.013, 16.363)    (16.363, 17.11)     (17.11, 17.333)     (17.333, 17.433)    (17.433, 17.753)    (17.753, 17.973)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (17.973, 18.113)    (18.113, 18.353)    (18.353, 18.863)    (18.863, 19.495)    (19.691, 20.13)     (20.663, 20.867)    (21.205, 21.673)    (21.673, 21.833)    (21.833, 22.063)    (22.063, 22.373)    (22.373, 22.583)    (22.583, 22.673)    (22.673, 23.008)    (23.008, 23.195)    (23.771, 23.824)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġto                 Ġwatch              Ġtv                 Ġsometimes          Ġuh                 Ġjust               Ġhaving             Ġbeing              Ġjust               Ġbeing              Ġthere              Ġi                  Ġget                Ġuh                 Ġyou               
Timings          : (17.973, 18.113)    (18.113, 18.353)    (18.353, 18.863)    (18.863, 19.495)    (19.691, 20.13)     (20.663, 20.867)    (21.205, 21.673)    (21.673, 21.833)    (21.833, 22.063)    (22.063, 22.373)    (22.373, 22.583)    (22.583, 22.673)    (22.673, 23.008)    (23.008, 23.195)    (23.771, 23.824)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 <emp>               Ġum                 hum                
Timings          : (23.824, 23.883)    (23.883, 23.933)    (23.933, 24.043)    (24.043, 24.173)    (24.173, 24.423)    (24.423, 24.483)    (24.483, 24.773)    (24.773, 24.963)    (24.963, 25.053)    (25.053, 25.403)    (25.589, 25.859)    (25.859, 26.128)    (26.093, 26.593)    (26.815, 27.083)    (27.083, 27.352)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80062485364738      80062485364738      80062485364738      80062485364738      80062485364738     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                  

B                : Ġknow               Ġi                  Ġhave               Ġto                 Ġwatch              Ġthe                Ġnews               Ġlate               Ġat                 Ġnight              <emp>               Ġwith               Ġtv                 <yield>             how                
Timings          : (23.824, 23.883)    (23.883, 23.933)    (23.933, 24.043)    (24.043, 24.173)    (24.173, 24.423)    (24.423, 24.483)    (24.483, 24.773)    (24.773, 24.963)    (24.963, 25.053)    (25.053, 25.403)    (25.589, 25.859)    (25.983, 26.093)    (26.093, 26.593)    (-1.0, -1.0)        (27.207, 27.283)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   5                  
turn_ids         : 80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80059801010177      80064095977473     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġwell               Ġi                  Ġcan                Ġhardly             Ġwait               Ġfor                Ġmy                 Ġmorning            Ġpaper              Ġto                 Ġcome               <emp>               <emp>              
Timings          : (27.283, 27.483)    (27.483, 27.773)    (28.302, 28.732)    (28.936, 29.108)    (29.108, 29.232)    (29.232, 29.462)    (29.462, 29.662)    (29.662, 29.772)    (29.772, 29.912)    (29.912, 30.202)    (30.202, 30.512)    (30.512, 30.619)    (30.619, 30.998)    (31.135, 31.355)    (31.355, 31.575)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġabout              Ġyou                <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                
Timings          : (27.283, 27.483)    (27.483, 27.773)    (-1.0, -1.0)        (28.936, 29.108)    (29.108, 29.232)    (29.232, 29.462)    (29.462, 29.662)    (29.662, 29.772)    (29.772, 29.912)    (29.912, 30.202)    (30.202, 30.512)    (30.512, 30.619)    (30.619, 30.998)    (31.135, 31.355)    (31.355, 31.575)   
Token Types      : 5                   5                   5                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 80064095977473      80064095977473      80064095977473      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80061948493825      80061948493825     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġso                 Ġthat               's                  Ġthe                Ġfirst              Ġthing              Ġi                  Ġwant               Ġis                 Ġthe                Ġheadlines          Ġit                 's                  Ġreally             Ġfunny             
Timings          : (31.555, 31.685)    (31.685, 31.785)    (31.785, 31.885)    (31.885, 31.945)    (31.945, 32.205)    (32.205, 32.385)    (32.385, 32.475)    (32.475, 32.735)    (32.735, 32.875)    (32.875, 32.965)    (32.965, 33.701)    (34.337, 34.42)     (34.42, 34.503)     (34.503, 34.703)    (34.703, 34.963)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (31.685, 31.785)    (31.785, 31.885)    (31.885, 31.945)    (31.945, 32.205)    (32.205, 32.385)    (32.385, 32.475)    (32.475, 32.735)    (32.735, 32.875)    (32.875, 32.965)    (32.965, 33.701)    (34.337, 34.42)     (34.42, 34.503)     (34.503, 34.703)    (34.703, 34.963)   
Token Types      : 3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80061948493825      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġbecause            Ġum                 Ġuh                 Ġmy                 Ġsister             Ġgrabs              Ġthe                Ġsports             Ġand                Ġi                  Ġgrab               Ġthe                Ġheadlines          <emp>               <emp>              
Timings          : (34.963, 35.173)    (35.173, 35.422)    (35.422, 35.623)    (35.623, 35.813)    (35.813, 36.163)    (36.163, 36.503)    (36.503, 36.573)    (36.573, 37.063)    (37.063, 37.223)    (37.223, 37.293)    (37.293, 37.563)    (37.563, 37.643)    (37.643, 38.264)    (38.268, 38.452)    (38.452, 38.636)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                 
Timings          : (34.963, 35.173)    (35.173, 35.422)    (35.422, 35.623)    (35.623, 35.813)    (35.813, 36.163)    (36.163, 36.503)    (36.503, 36.573)    (36.573, 37.063)    (37.063, 37.223)    (37.223, 37.293)    (37.293, 37.563)    (37.563, 37.643)    (37.643, 38.264)    (38.268, 38.452)    (38.452, 38.636)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80061948493826      80061948493826     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : <emp>               Ġbut                Ġuh                 Ġand                Ġthen               Ġwhen               Ġfive               Ġo                  '                   clock               Ġcomes              Ġaround             Ġi                  Ġjust               Ġwanna             
Timings          : (38.636, 38.819)    (40.235, 40.545)    (40.545, 40.795)    (40.795, 41.025)    (41.025, 41.322)    (41.608, 41.905)    (41.905, 42.145)    (42.145, 42.255)    (42.255, 42.365)    (42.365, 42.475)    (42.475, 42.755)    (42.755, 43.285)    (43.285, 43.475)    (43.475, 43.793)    (44.001, 44.285)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.636, 38.819)    (-1.0, -1.0)        (40.545, 40.795)    (40.795, 41.025)    (41.025, 41.322)    (41.608, 41.905)    (41.905, 42.145)    (42.145, 42.255)    (42.255, 42.365)    (42.365, 42.475)    (42.475, 42.755)    (42.755, 43.285)    (43.285, 43.475)    (43.475, 43.793)    (44.001, 44.285)   
Token Types      : 3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 80061948493826      80061948493826      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġget                Ġin                 Ġthe                Ġhouse              Ġand                Ġturn               Ġthe                Ġtv                 Ġon                 Ġto                 Ġwatch              Ġthe                Ġnews               <eot>               <emp>              
Timings          : (44.285, 44.435)    (44.435, 44.555)    (44.555, 44.655)    (44.655, 44.965)    (44.965, 45.065)    (45.065, 45.205)    (45.205, 45.265)    (45.265, 45.775)    (45.775, 45.895)    (45.895, 45.995)    (45.995, 46.265)    (46.265, 46.375)    (46.375, 46.959)    (-1.0, -1.0)        (47.203, 47.417)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   0                  
turn_ids         : 80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      80062485364738      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġh                  m                  
Timings          : (44.285, 44.435)    (44.435, 44.555)    (44.555, 44.655)    (44.655, 44.965)    (44.965, 45.065)    (45.065, 45.205)    (45.205, 45.265)    (45.265, 45.775)    (45.775, 45.895)    (45.895, 45.995)    (45.995, 46.265)    (46.265, 46.375)    (46.375, 46.959)    (46.989, 47.203)    (47.203, 47.417)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   80059801010179      80059801010179     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  


A                : Ġit                 's                  Ġreally             Ġweird              Ġuh                 Ġi                  Ġdon                't                  Ġstay               Ġup                 Ġlate               Ġto                 Ġwatch              Ġlate               Ġnews              
Timings          : (47.646, 47.776)    (47.776, 47.905)    (47.905, 48.125)    (48.125, 48.665)    (48.665, 49.238)    (49.498, 49.634)    (49.634, 49.695)    (49.695, 49.756)    (49.756, 49.916)    (49.916, 50.046)    (50.046, 50.285)    (50.285, 50.386)    (50.386, 50.725)    (50.725, 50.986)    (50.986, 51.276)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268      80059264139268     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (-1.0, -1.0)        (47.776, 47.905)    (47.905, 48.125)    (48.125, 48.665)    (48.665, 49.238)    (49.498, 49.634)    (49.634, 49.695)    (49.695, 49.756)    (49.756, 49.916)    (49.916, 50.046)    (50.046, 50.285)    (50.285, 50.386)    (50.386, 50.725)    (50.725, 50.986)    (50.986, 51.276)   
Token Types      : 1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
