A                : the                 Ġbiggest            Ġsocial             Ġchange             Ġthat               Ġi                  've                 Ġseen               Ġin                 Ġthe                Ġlast               Ġten                Ġyears              Ġis                 Ġthat              
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (14.823, 15.402)    (15.402, 15.583)    (15.583, 15.634)    (15.634, 16.063)    (16.063, 16.174)    (16.174, 16.614)    (16.614, 17.163)    (18.024, 18.452)    (18.452, 18.772)    (18.772, 19.561)    (20.039, 20.674)    (20.674, 21.276)    (21.276, 21.612)    (21.612, 22.25)     (22.672, 23.272)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġproblems           Ġthe                Ġway                Ġthings             Ġare                Ġtoday              Ġum                 Ġyou                Ġknow               Ġtoday              Ġjust               Ġto                 Ġget                Ġby                 Ġin                
Timings          : (23.272, 24.178)    (24.393, 24.483)    (24.483, 24.642)    (24.642, 24.993)    (24.993, 25.173)    (25.173, 26.051)    (26.423, 26.967)    (27.988, 28.188)    (28.188, 28.338)    (28.338, 28.729)    (28.729, 28.958)    (28.958, 29.079)    (29.079, 29.288)    (29.288, 29.499)    (29.499, 29.678)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (23.272, 24.178)    (24.393, 24.483)    (24.483, 24.642)    (24.642, 24.993)    (24.993, 25.173)    (25.173, 26.051)    (26.423, 26.967)    (27.988, 28.188)    (28.188, 28.338)    (28.338, 28.729)    (28.729, 28.958)    (28.958, 29.079)    (29.079, 29.288)    (29.288, 29.499)    (29.499, 29.678)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġmany               Ġcases              Ġyou                Ġhave               Ġto                 Ġhave               Ġtwo                Ġpeople             Ġworking            Ġin                 Ġthe                Ġmiddle             Ġincome             Ġhouse              Ġjust              
Timings          : (29.678, 29.899)    (29.899, 30.448)    (30.448, 30.598)    (30.598, 30.819)    (30.819, 30.999)    (30.999, 31.526)    (31.526, 31.758)    (31.758, 32.159)    (32.159, 32.589)    (32.589, 32.668)    (32.668, 32.729)    (32.729, 33.058)    (33.058, 33.597)    (33.797, 34.249)    (34.249, 34.488)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.678, 29.899)    (29.899, 30.448)    (30.448, 30.598)    (30.598, 30.819)    (30.819, 30.999)    (30.999, 31.526)    (31.526, 31.758)    (31.758, 32.159)    (32.159, 32.589)    (32.589, 32.668)    (32.668, 32.729)    (32.729, 33.058)    (33.058, 33.597)    (33.797, 34.249)    (34.249, 34.488)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġto                 Ġstay               Ġwith               Ġwhere              Ġthey               Ġwere               Ġin                 Ġthe                Ġsevent             <emp>               ies                 <yield>             <emp>               <emp>               Ġand               
Timings          : (34.488, 34.589)    (34.589, 35.165)    (35.338, 35.639)    (35.639, 35.839)    (35.839, 35.968)    (35.968, 36.208)    (36.208, 36.319)    (36.319, 36.409)    (36.409, 36.831)    (36.703, 36.938)    (36.831, 37.253)    (-1.0, -1.0)        (37.569, 37.781)    (38.128, 38.247)    (38.284, 38.642)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   4                  
turn_ids         : 83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      83031381508096      0                   0                   83034602733570     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   1                  

B                : um                  hum                 <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               um                  hum                 <emp>               Ġum                 hum                 Ġi                  Ġagree             
Timings          : (34.433, 34.639)    (34.639, 34.846)    (-1.0, -1.0)        (35.639, 35.839)    (35.839, 35.968)    (35.968, 36.208)    (36.208, 36.319)    (36.319, 36.409)    (36.467, 36.703)    (36.703, 36.938)    (36.831, 37.253)    (37.357, 37.569)    (37.569, 37.781)    (38.128, 38.247)    (38.247, 38.427)   
Token Types      : 3                   3                   3                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83034065862656      83034065862656      83034065862656      0                   0                   0                   0                   0                   83035139604481      83035139604481      83035139604481      83035139604481      83035139604481      83035139604481      83035139604481     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġand                Ġit                 's                  Ġit                 's                  Ġreally             Ġrough              Ġthat               's                  Ġprobably           Ġthe                Ġbiggest            Ġthing             
Timings          : (38.427, 38.567)    (38.567, 38.807)    (39.121, 39.63)     (39.63, 39.798)     (39.798, 39.965)    (39.965, 40.193)    (40.193, 40.42)     (40.8, 41.216)      (41.216, 41.527)    (41.527, 41.611)    (41.611, 41.696)    (41.696, 41.937)    (41.937, 41.996)    (41.996, 42.286)    (42.286, 42.446)   
Token Types      : 4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570      83034602733570     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġwith               Ġthat               <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (38.427, 38.567)    (38.567, 38.807)    (-1.0, -1.0)        (39.63, 39.798)     (39.798, 39.965)    (39.965, 40.193)    (40.193, 40.42)     (40.8, 41.216)      (41.216, 41.527)    (41.527, 41.611)    (41.611, 41.696)    (41.696, 41.937)    (41.937, 41.996)    (41.996, 42.286)    (42.286, 42.446)   
Token Types      : 4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83035139604481      83035139604481      83035139604481      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  've                 Ġnoticed            <eot>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.446, 42.551)    (42.551, 42.657)    (42.657, 43.263)    (-1.0, -1.0)        (44.401, 44.494)    (44.494, 44.588)    (44.588, 44.728)    (44.728, 44.828)    (44.828, 45.038)    (45.038, 45.098)    (45.098, 45.761)    (45.983, 46.308)    (46.308, 46.668)    (46.668, 46.848)    (46.848, 47.491)   
Token Types      : 4                   4                   4                   4                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 83034602733570      83034602733570      83034602733570      83034602733570      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġwell               Ġi                  'd                  Ġhave               Ġto                 Ġtake               Ġa                  Ġslightly           Ġdifferent          Ġthing              Ġuh                 Ġviewpoint         
Timings          : (42.446, 42.551)    (42.551, 42.657)    (42.657, 43.263)    (44.031, 44.401)    (44.401, 44.494)    (44.494, 44.588)    (44.588, 44.728)    (44.728, 44.828)    (44.828, 45.038)    (45.038, 45.098)    (45.098, 45.761)    (45.983, 46.308)    (46.308, 46.668)    (46.668, 46.848)    (46.848, 47.491)   
Token Types      : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011     
turn_end_types   : 0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (47.491, 47.938)    (47.938, 48.082)    (48.082, 48.225)    (48.447, 48.733)    (48.857, 49.088)    (49.088, 49.63)     (50.115, 50.878)    (50.878, 51.338)    (51.338, 51.671)    (52.513, 53.067)    (53.403, 53.828)    (53.828, 53.943)    (53.943, 54.993)    (54.993, 55.057)    (55.057, 55.122)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġi                  'm                  Ġuh                 Ġthirty             Ġfive               Ġuh                 Ġand                Ġum                 Ġuh                 Ġuh                 Ġto                 Ġme                 Ġit                 's                 
Timings          : (47.491, 47.938)    (47.938, 48.082)    (48.082, 48.225)    (48.447, 48.733)    (48.857, 49.088)    (49.088, 49.63)     (50.115, 50.878)    (50.878, 51.338)    (51.338, 51.671)    (52.513, 53.067)    (53.403, 53.828)    (53.828, 53.943)    (53.943, 54.993)    (54.993, 55.057)    (55.057, 55.122)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (55.122, 55.445)    (55.445, 55.495)    (55.495, 55.665)    (55.665, 55.815)    (55.815, 56.215)    (56.215, 56.395)    (56.395, 56.49)     (56.49, 56.585)     (56.585, 56.795)    (56.795, 56.835)    (56.835, 57.565)    (57.565, 57.865)    (57.865, 58.285)    (58.285, 59.086)    (59.308, 59.755)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġsomething          Ġa                  Ġlittle             Ġmore               Ġsubtle             Ġit                 Ġit                 's                  Ġjust               Ġa                  Ġprevalence         Ġof                 Ġcomputer           Ġtechnology         Ġand               
Timings          : (55.122, 55.445)    (55.445, 55.495)    (55.495, 55.665)    (55.665, 55.815)    (55.815, 56.215)    (56.215, 56.395)    (56.395, 56.49)     (56.49, 56.585)     (56.585, 56.795)    (56.795, 56.835)    (56.835, 57.565)    (57.565, 57.865)    (57.865, 58.285)    (58.285, 59.086)    (59.308, 59.755)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011      83031918379011     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (59.755, 59.983)    (59.983, 60.385)    (60.385, 60.885)    (60.885, 60.988)    (60.988, 61.279)    (62.286, 62.362)    (62.362, 62.522)    (62.522, 62.832)    (62.832, 62.992)    (62.992, 63.322)    (63.322, 63.442)    (63.442, 63.692)    (63.692, 64.002)    (64.002, 64.521)    (64.811, 64.942)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġeveryday           Ġlife               Ġi                  Ġmean               Ġi                  Ġcan                Ġremember           Ġwhen               Ġeverything         Ġwas                Ġstill              Ġdone               Ġby                 Ġby                
Timings          : (59.755, 59.983)    (59.983, 60.385)    (60.385, 60.885)    (60.885, 60.988)    (60.988, 61.279)    (62.286, 62.362)    (62.362, 62.522)    (62.522, 62.832)    (62.832, 62.992)    (62.992, 63.322)    (63.322, 63.442)    (63.442, 63.692)    (63.692, 64.002)    (64.002, 64.521)    (64.811, 64.942)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
