A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               well                Ġi                  Ġhave               Ġfive               <eot>               <emp>               <emp>               right              
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġso                 Ġi                  Ġreally             Ġhave               Ġjust               Ġa                  Ġthirteen           Ġyear               Ġold                Ġat                 Ġhome               <eot>               <emp>               <emp>               <emp>              
Timings          : (11.575, 11.795)    (11.795, 11.915)    (11.915, 12.295)    (12.295, 12.465)    (12.465, 12.695)    (12.695, 12.774)    (12.82, 13.265)     (13.265, 13.405)    (13.405, 13.605)    (13.605, 13.698)    (13.698, 14.085)    (-1.0, -1.0)        (14.395, 14.54)     (14.71, 14.82)      (14.82, 15.11)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
turn_ids         : 79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      79595407671299      0                   0                   0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġum                 hum                 Ġyou                Ġsound             
Timings          : (11.575, 11.795)    (11.795, 11.915)    (11.915, 12.295)    (12.295, 12.465)    (12.465, 12.695)    (12.695, 12.774)    (12.82, 13.265)     (13.265, 13.405)    (13.405, 13.605)    (13.605, 13.698)    (13.698, 14.085)    (14.25, 14.395)     (14.395, 14.54)     (14.71, 14.82)      (14.82, 15.11)     
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79595944542212      79595944542212      79595944542212      79595944542212     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġwell               Ġi                  Ġwork               Ġat                 Ġit                 <emp>               <emp>               <emp>               <emp>               Ġi                  Ġtry                Ġto                 Ġfool              
Timings          : (15.11, 15.23)      (15.23, 15.75)      (16.292, 16.708)    (17.149, 17.261)    (17.261, 17.581)    (17.581, 17.741)    (17.741, 17.891)    (19.752, 19.882)    (19.882, 20.132)    (20.132, 20.312)    (20.312, 20.561)    (20.571, 20.701)    (20.701, 20.931)    (20.931, 21.123)    (21.123, 21.311)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301     
turn_end_types   : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġso                 Ġyoung              <eot>               <emp>               <emp>               <emp>               <emp>               to                  Ġhave               Ġthem               Ġuh                 <eint>              <emp>               <emp>               <emp>              
Timings          : (15.11, 15.23)      (15.23, 15.75)      (-1.0, -1.0)        (17.149, 17.261)    (17.261, 17.581)    (17.581, 17.741)    (17.741, 17.891)    (19.752, 19.882)    (19.882, 20.132)    (20.132, 20.312)    (20.312, 20.561)    (-1.0, -1.0)        (20.701, 20.931)    (20.931, 21.123)    (21.123, 21.311)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   5                   5                   5                   5                   5                   0                   0                   0                  
turn_ids         : 79595944542212      79595944542212      79595944542212      0                   0                   0                   0                   79600239509507      79600239509507      79600239509507      79600239509507      79600239509507      0                   0                   0                  
turn_end_types   : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 2                   2                   2                   0                   0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                  


A                : Ġeverybody          <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                 
Timings          : (21.311, 22.065)    (22.846, 22.916)    (22.916, 23.106)    (23.106, 23.151)    (23.151, 23.196)    (23.196, 23.386)    (23.386, 23.436)    (23.436, 23.646)    (23.646, 23.959)    (24.238, 24.376)    (24.376, 24.576)    (24.576, 24.786)    (24.786, 25.086)    (25.086, 25.576)    (25.658, 25.795)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301      79595407671301     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               Ġi                  Ġthink              Ġyou                're                 Ġdoing              Ġa                  Ġgood               Ġjob                Ġi                  Ġjust               Ġhave               Ġone                Ġchild              <eint>             
Timings          : (21.311, 22.065)    (22.846, 22.916)    (22.916, 23.106)    (23.106, 23.151)    (23.151, 23.196)    (23.196, 23.386)    (23.386, 23.436)    (23.436, 23.646)    (23.646, 23.959)    (24.238, 24.376)    (24.376, 24.576)    (24.576, 24.786)    (24.786, 25.086)    (25.086, 25.576)    (-1.0, -1.0)       
Token Types      : 0                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                   5                  
turn_ids         : 0                   79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508      79600239509508     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : hh                  uh                  <yield>             <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (25.795, 25.932)    (25.932, 26.069)    (-1.0, -1.0)        (26.503, 26.69)     (27.18, 27.343)     (27.343, 27.463)    (27.463, 27.583)    (27.583, 27.973)    (27.973, 28.3)      (28.692, 28.893)    (28.893, 28.963)    (28.963, 29.033)    (29.033, 29.203)    (29.203, 29.363)    (29.363, 29.463)   
Token Types      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 79595407671301      79595407671301      79595407671301      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 2                   2                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               Ġand                Ġuh                 Ġi                  Ġdon                't                  Ġthink              Ġum                 Ġwell               Ġthere              's                  Ġnot                Ġmuch               Ġi                 
Timings          : (25.795, 25.932)    (25.932, 26.069)    (26.27, 26.503)     (26.503, 26.69)     (27.18, 27.343)     (27.343, 27.463)    (27.463, 27.583)    (27.583, 27.973)    (27.973, 28.3)      (28.692, 28.893)    (28.893, 28.963)    (28.963, 29.033)    (29.033, 29.203)    (29.203, 29.363)    (29.363, 29.463)   
Token Types      : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 0                   0                   79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214     
turn_end_types   : 0                   0                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (29.463, 29.603)    (29.603, 29.703)    (29.703, 29.973)    (29.973, 30.043)    (30.043, 30.239)    (30.693, 30.793)    (30.793, 31.123)    (31.123, 31.263)    (31.263, 31.293)    (31.293, 31.622)    (32.187, 32.487)    (32.807, 32.963)    (32.963, 33.143)    (33.143, 33.418)    (33.418, 33.693)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġcan                Ġdo                 Ġabout              Ġit                 Ġmy                 Ġmy                 Ġwife               Ġand                Ġi                  Ġare                Ġuh                 Ġin                 Ġour                Ġfor                ties               
Timings          : (29.463, 29.603)    (29.603, 29.703)    (29.703, 29.973)    (29.973, 30.043)    (30.043, 30.239)    (30.693, 30.793)    (30.793, 31.123)    (31.123, 31.263)    (31.263, 31.293)    (31.293, 31.622)    (32.187, 32.487)    (32.807, 32.963)    (32.963, 33.143)    (33.143, 33.418)    (33.418, 33.693)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (33.693, 33.813)    (33.813, 34.027)    (34.152, 34.282)    (34.282, 34.413)    (34.413, 34.544)    (-1.0, -1.0)        (35.244, 35.369)    (35.369, 35.45)     (35.45, 35.529)     (35.529, 35.759)    (35.759, 35.86)     (35.86, 36.139)     (36.139, 36.38)     (36.38, 36.72)      (36.72, 37.02)     
Token Types      : 0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   79597555154948      79597555154948      79597555154948      79597555154948      0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġyou                Ġknow               <emp>               Ġso                 <emp>               Ġuh                 Ġbut                Ġit                 's                  Ġhard               Ġto                 Ġraise              Ġone                Ġchild              Ġwithout           
Timings          : (33.693, 33.813)    (33.813, 34.027)    (34.152, 34.282)    (34.224, 34.523)    (34.413, 34.544)    (34.523, 34.672)    (35.244, 35.369)    (35.369, 35.45)     (35.45, 35.529)     (35.529, 35.759)    (35.759, 35.86)     (35.86, 36.139)     (36.139, 36.38)     (36.38, 36.72)      (36.72, 37.02)     
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214     
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġi                  Ġthink             
Timings          : (37.02, 37.258)     (37.303, 37.72)     (37.72, 37.834)     (37.834, 37.95)     (37.95, 38.204)     (38.95, 39.03)      (39.03, 39.11)      (39.11, 39.18)      (39.18, 39.59)      (39.59, 39.869)     (39.869, 39.93)     (39.93, 39.989)     (39.989, 40.745)    (41.064, 41.139)    (41.139, 41.419)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   79595407671303      79595407671303     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   1                   1                  

B                : Ġthem               Ġthinking           Ġthey               're                 Ġthe                Ġthey               're                 Ġthe                Ġpivot              Ġpoint              Ġof                 Ġthe                Ġuniverse           <eot>               <emp>              
Timings          : (37.02, 37.258)     (37.303, 37.72)     (37.72, 37.834)     (37.834, 37.95)     (37.95, 38.204)     (38.95, 39.03)      (39.03, 39.11)      (39.11, 39.18)      (39.18, 39.59)      (39.59, 39.869)     (39.869, 39.93)     (39.93, 39.989)     (39.989, 40.745)    (-1.0, -1.0)        (41.139, 41.419)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
turn_ids         : 79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      79595944542214      0                  
turn_end_types   : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   0                  


A                : Ġyou                're                 Ġright              Ġbecause            Ġi                  Ġwas                Ġan                 Ġonly               Ġchild              Ġtoo                Ġand                Ġthat               's                  Ġone                Ġreason            
Timings          : (41.419, 41.499)    (41.499, 41.579)    (41.579, 41.939)    (41.939, 42.269)    (42.269, 42.429)    (42.429, 42.719)    (42.719, 42.859)    (42.859, 43.089)    (43.089, 43.539)    (43.539, 43.909)    (44.419, 44.559)    (44.559, 44.674)    (44.674, 44.789)    (44.789, 44.959)    (44.959, 45.329)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (41.419, 41.499)    (41.499, 41.579)    (41.579, 41.939)    (41.939, 42.269)    (42.269, 42.429)    (42.429, 42.719)    (42.719, 42.859)    (42.859, 43.089)    (43.089, 43.539)    (43.539, 43.909)    (44.419, 44.559)    (44.559, 44.674)    (44.674, 44.789)    (44.789, 44.959)    (44.959, 45.329)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  


A                : Ġi                  Ġhave               Ġso                 Ġmany               Ġbecause            Ġi                  Ġreally             Ġi                  Ġenjoyed            Ġthe                Ġbig                Ġfamily             <emp>               Ġand                Ġmy                
Timings          : (45.329, 45.389)    (45.389, 45.639)    (45.639, 45.849)    (45.849, 46.329)    (46.449, 46.949)    (46.949, 47.049)    (47.049, 47.445)    (48.014, 48.079)    (48.079, 48.629)    (48.629, 48.705)    (48.758, 48.963)    (49.021, 49.499)    (49.798, 50.168)    (50.223, 50.495)    (50.495, 50.698)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303      79595407671303     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               yeah                <ebc>               <emp>              
Timings          : (45.329, 45.389)    (45.389, 45.639)    (45.639, 45.849)    (45.849, 46.329)    (46.449, 46.949)    (46.949, 47.049)    (47.049, 47.445)    (48.014, 48.079)    (48.079, 48.629)    (48.629, 48.705)    (48.758, 48.963)    (49.021, 49.499)    (49.798, 50.168)    (-1.0, -1.0)        (50.495, 50.698)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   0                  
