A                : well                Ġi                  'm                  Ġare                Ġyou                Ġthere              <emp>               Ġokay               Ġi                  'm                  Ġsure               Ġthat               Ġi                  Ġprobably           Ġum                
Token Types      : 1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  
turn_ids         : 81742891319298      81742891319298      81742891319298      81742891319298      0                   81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      81742891319298      0                   0                  
turn_end_types   : 2                   2                   2                   2                   0                   2                   2                   2                   2                   2                   2                   2                   2                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   1                   1                   1                   1                   1                   1                   1                   1                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġoh                 <ebc>               Ġyou                Ġknow               <eint>              <emp>               <emp>               <emp>               <emp>               Ġwell               Ġi                  Ġhave              
Timings          : (29.67, 29.95)      (29.95, 30.215)     (30.215, 30.48)     (30.52, 30.8)       (-1.0, -1.0)        (31.891, 31.991)    (31.991, 32.244)    (-1.0, -1.0)        (32.487, 32.568)    (32.568, 32.798)    (32.798, 33.107)    (33.107, 33.357)    (33.363, 33.653)    (33.857, 33.923)    (33.923, 34.153)   
Token Types      : 0                   0                   0                   3                   3                   5                   5                   5                   0                   0                   0                   0                   1                   1                   1                  
turn_ids         : 0                   0                   0                   81745575673858      81745575673858      81747723157508      81747723157508      81747723157508      0                   0                   0                   0                   81743428190211      81743428190211      81743428190211     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   2                   2                   2                  
speaker_ids      : 0                   0                   0                   2                   2                   2                   2                   2                   0                   0                   0                   0                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               uh                  h                   uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (34.153, 34.223)    (34.223, 34.453)    (34.453, 34.523)    (34.523, 34.993)    (34.993, 35.632)    (35.705, 35.872)    (35.872, 36.039)    (36.039, 36.205)    (-1.0, -1.0)        (36.193, 36.283)    (36.283, 36.703)    (36.703, 37.323)    (37.323, 37.562)    (37.675, 38.153)    (38.153, 38.48)    
Token Types      : 0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   81745038802946      81745038802946      81745038802946      81745038802946      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġa                  Ġbunch              Ġof                 Ġcomputer           Ġjournals           Ġbecause            <emp>               Ġi                  'm                  Ġin                 Ġcomputer           Ġscience            Ġbut                Ġbeyond             Ġthat              
Timings          : (34.153, 34.223)    (34.223, 34.453)    (34.453, 34.523)    (34.523, 34.993)    (34.993, 35.632)    (35.783, 36.063)    (35.872, 36.039)    (36.063, 36.128)    (36.128, 36.193)    (36.193, 36.283)    (36.283, 36.703)    (36.703, 37.323)    (37.323, 37.562)    (37.675, 38.153)    (38.153, 38.48)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (39.09, 39.373)     (39.373, 39.873)    (39.873, 39.938)    (39.938, 40.003)    (40.003, 40.173)    (40.173, 40.513)    (40.513, 40.578)    (40.578, 40.643)    (40.643, 40.972)    (41.099, 41.433)    (41.433, 41.513)    (41.513, 41.653)    (41.653, 41.807)    (41.807, 41.96)     (41.96, 42.113)    
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : Ġuh                 Ġlately             Ġi                  've                 Ġbeen               Ġreading            Ġi                  've                 Ġalways             Ġliked              Ġthe                Ġnew                Ġy                  ork                 er                 
Timings          : (39.09, 39.373)     (39.373, 39.873)    (39.873, 39.938)    (39.938, 40.003)    (40.003, 40.173)    (40.173, 40.513)    (40.513, 40.578)    (40.578, 40.643)    (40.643, 40.972)    (41.099, 41.433)    (41.433, 41.513)    (41.513, 41.653)    (41.653, 41.807)    (41.807, 41.96)     (41.96, 42.113)    
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (42.489, 42.643)    (42.643, 42.796)    (42.796, 42.949)    (-1.0, -1.0)        (43.802, 44.072)    (44.072, 44.112)    (44.112, 44.152)    (44.152, 44.282)    (44.282, 44.612)    (44.612, 44.722)    (44.722, 44.902)    (44.902, 45.042)    (45.042, 45.112)    (45.112, 45.615)    (45.996, 46.372)   
Token Types      : 3                   3                   3                   3                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_ids         : 81745038802947      81745038802947      81745038802947      81745038802947      0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 1                   1                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  

B                : <emp>               <emp>               <emp>               Ġand                Ġlately             Ġi                  've                 Ġbeen               Ġpicking            Ġup                 Ġsome               Ġof                 Ġthe                Ġtravel             Ġuh                
Timings          : (42.489, 42.643)    (42.643, 42.796)    (42.796, 42.949)    (43.002, 43.602)    (43.802, 44.072)    (44.072, 44.112)    (44.112, 44.152)    (44.152, 44.282)    (44.282, 44.612)    (44.612, 44.722)    (44.722, 44.902)    (44.902, 45.042)    (45.042, 45.112)    (45.112, 45.615)    (45.996, 46.372)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġu                  hh                  uh                  <ebc>               <emp>               <emp>               <emp>              
Timings          : (46.372, 46.782)    (46.782, 47.449)    (48.055, 48.872)    (48.872, 49.152)    (49.152, 49.382)    (49.382, 49.442)    (49.442, 49.862)    (49.862, 50.272)    (50.973, 51.117)    (51.117, 51.26)     (51.26, 51.403)     (-1.0, -1.0)        (52.699, 52.884)    (52.884, 53.064)    (53.064, 53.314)   
Token Types      : 0                   0                   0                   0                   0                   0                   0                   0                   3                   3                   3                   3                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   0                   81745038802948      81745038802948      81745038802948      81745038802948      0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   0                   0                   0                  

B                : Ġboth               Ġtrade              Ġmagazines          Ġand                Ġjust               Ġthe                Ġgeneral            Ġtravel             Ġmagazines          <emp>               <emp>               Ġum                 Ġtrying             Ġto                 Ġkeep              
Timings          : (46.372, 46.782)    (46.782, 47.449)    (48.055, 48.872)    (48.872, 49.152)    (49.152, 49.382)    (49.382, 49.442)    (49.442, 49.862)    (49.862, 50.272)    (50.272, 51.203)    (51.117, 51.26)     (51.26, 51.403)     (51.944, 52.401)    (52.699, 52.884)    (52.884, 53.064)    (53.064, 53.314)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġis                 Ġit                 <eint>              <emp>               <emp>               <emp>               <emp>               <emp>               <emp>              
Timings          : (53.314, 53.464)    (53.464, 53.594)    (53.594, 53.694)    (53.694, 53.794)    (53.794, 54.124)    (54.124, 54.33)     (55.155, 55.285)    (55.285, 55.455)    (-1.0, -1.0)        (55.787, 56.107)    (56.107, 56.337)    (56.337, 56.377)    (56.377, 56.587)    (56.587, 56.737)    (56.737, 56.797)   
Token Types      : 0                   0                   0                   0                   0                   0                   5                   5                   5                   0                   0                   0                   0                   0                   0                  
turn_ids         : 0                   0                   0                   0                   0                   0                   81747186286598      81747186286598      81747186286598      0                   0                   0                   0                   0                   0                  
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   1                   1                   1                   0                   0                   0                   0                   0                   0                  

B                : Ġup                 Ġon                 Ġwhat               's                  Ġgoing              Ġon                 Ġand                Ġmy                 Ġwife               Ġalso               Ġgets               Ġa                  Ġlot                Ġof                 Ġthe               
Timings          : (53.314, 53.464)    (53.464, 53.594)    (53.594, 53.694)    (53.694, 53.794)    (53.794, 54.124)    (54.124, 54.33)     (55.137, 55.297)    (55.297, 55.447)    (55.447, 55.787)    (55.787, 56.107)    (56.107, 56.337)    (56.337, 56.377)    (56.377, 56.587)    (56.587, 56.737)    (56.737, 56.797)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                  
turn_ids         : 81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211      81743428190211     
turn_end_types   : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  
speaker_ids      : 2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                   2                  


A                : <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               <emp>               Ġyeah               Ġi                  Ġused               Ġto                 Ġtake               Ġthat               Ġright              <eot>              
Timings          : (56.797, 57.097)    (57.097, 57.857)    (57.857, 58.067)    (58.067, 58.587)    (58.697, 58.857)    (58.857, 59.077)    (59.077, 59.227)    (59.286, 59.555)    (59.555, 59.615)    (59.615, 59.875)    (59.875, 59.985)    (59.985, 60.345)    (60.345, 60.705)    (60.705, 61.125)    (-1.0, -1.0)       
Token Types      : 0                   0                   0                   0                   0                   0                   0                   4                   4                   4                   4                   4                   4                   4                   4                  
turn_ids         : 0                   0                   0                   0                   0                   0                   0                   81746112544772      81746112544772      81746112544772      81746112544772      81746112544772      81746112544772      81746112544772      81746112544772     
turn_end_types   : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  
speaker_ids      : 0                   0                   0                   0                   0                   0                   0                   1                   1                   1                   1                   1                   1                   1                   1                  

B                : Ġfood               Ġmagazines          Ġbon                Ġappetite           Ġand                Ġfood               Ġand                Ġwine               Ġand                Ġg                  <emp>               ourmet              <yield>             <emp>               Ġyeah              
Timings          : (56.797, 57.097)    (57.097, 57.857)    (57.857, 58.067)    (58.067, 58.587)    (58.697, 58.857)    (58.857, 59.077)    (59.077, 59.227)    (59.227, 59.477)    (59.477, 59.617)    (59.617, 59.951)    (59.875, 59.985)    (59.951, 60.285)    (-1.0, -1.0)        (60.705, 61.125)    (61.095, 61.321)   
Token Types      : 1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   0                   1                  
